source,target,weight
AGAIN,AGAIN,1.0
SANDWICH,SANDWICH,1.0
BOTTLE,BOTTLE,1.0
CUP,CUP,1.0
SHOES,SHOES,1.0
BALL,BALL,1.0
FRIDGE,FRIDGE,1.0
BRING,BRING,1.0
FRIDGE,FRIDGE,1.0
BREAK,BREAK,1.0
LAMB,LAMB,1.0
BATH,BATH,1.0
BATHROOM,BATHROOM,1.0
SOAP,SOAP,1.0
WIPE,WIPE,1.0
BEDROOM,BEDROOM,1.0
CLEAN,CLEAN,1.0
BAG,BAG,1.0
FOOT,FOOT,1.0
BACK,BACK,1.0
ASLEEP,ASLEEP,1.0
BUCKET,BUCKET,1.0
TOAST,TOAST,1.0
DRINK,DRINK,1.0
READ,READ,1.0
SAY,SAY,1.0
WATCH,WATCH,1.0
BRICK,BRICK,1.0
BABY,BABY,1.0
AUNT,AUNT,1.0
BROTHER,BROTHER,1.0
GRANDMA,GRANDMA,1.0
GRANDPA,GRANDPA,1.0
SISTER,SISTER,1.0
UNCLE,UNCLE,1.0
COFFEE,COFFEE,1.0
DIRTY,DIRTY,1.0
KITCHEN,KITCHEN,1.0
HE,HE,1.0
JACKET,JACKET,1.0
BOTTOM,BOTTOM,1.0
DOWN,DOWN,1.0
TOILET,TOILET,1.0
KEY,KEY,1.0
BOY,BOY,1.0
BREAKFAST,BREAKFAST,1.0
YELLOW,YELLOW,1.0
THERE,THERE,1.0
WHERE,WHERE,1.0
BROKEN,BROKEN,1.0
HUG,HUG,1.0
FOOD,FOOD,1.0
PASTA,PASTA,1.0
CLOCK,CLOCK,1.0
RAIN,RAIN,1.0
PARK,PARK,1.0
BUG,BUG,1.0
TOWEL,TOWEL,1.0
BOOTS,BOOTS,1.0
BED,BED,1.0
PYJAMAS,PYJAMAS,1.0
PILLOW,PILLOW,1.0
BEE,BEE,1.0
ROAD,ROAD,1.0
HAPPY,HAPPY,1.0
BIG,BIG,1.0
BLOCK,BLOCK,1.0
PAPER,PAPER,1.0
STAIRS,STAIRS,1.0
BLOW,BLOW,1.0
BLUE,BLUE,1.0
SOCK,SOCK,1.0
BUMP,BUMP,1.0
BUTTON,BUTTON,1.0
PLATE,PLATE,1.0
PUT,PUT,1.0
RIDE,RIDE,1.0
RUN,RUN,1.0
SINK,SINK,1.0
SPIDER,SPIDER,1.0
CRY,CRY,1.0
STOP,STOP,1.0
SWIM,SWIM,1.0
COME,COME,1.0
TAKE,TAKE,1.0
THROW,THROW,1.0
TICKLE,TICKLE,1.0
TOE,TOE,1.0
TONGUE,TONGUE,1.0
TOOTHBRUSH,TOOTHBRUSH,1.0
PULL,PULL,1.0
PENGUIN,PENGUIN,1.0
TROUSERS,TROUSERS,1.0
GOOSE,GOOSE,1.0
EAR,EAR,1.0
EYE,EYE,1.0
GET,GET,1.0
GIVE,GIVE,1.0
DRAW,DRAW,1.0
GO,GO,1.0
HAND,HAND,1.0
OWL,OWL,1.0
HAT,HAT,1.0
HEAD,HEAD,1.0
KICK,KICK,1.0
KNEE,KNEE,1.0
MOUTH,MOUTH,1.0
NOSE,NOSE,1.0
TRACTOR,TRACTOR,1.0
CHIN,CHIN,1.0
WALK,WALK,1.0
JAM,JAM,1.0
DINNER,DINNER,1.0
FEED,FEED,1.0
FROG,FROG,1.0
GARDEN,GARDEN,1.0
GRASS,GRASS,1.0
HUNGRY,HUNGRY,1.0
JUICE,JUICE,1.0
CHEESE,CHEESE,1.0
LIPS,LIPS,1.0
BUTTERFLY,BUTTERFLY,1.0
LUNCH,LUNCH,1.0
MEAT,MEAT,1.0
PEAS,PEAS,1.0
PLANT,PLANT,1.0
CHOCOLATE,CHOCOLATE,1.0
CEREAL,CEREAL,1.0
WINDOW,WINDOW,1.0
KITTEN,KITTEN,1.0
ALL,ALL,1.0
ANIMAL,ANIMAL,1.0
CHICKEN,CHICKEN,1.0
FACE,FACE,1.0
FISH,FISH,1.0
HAIR,HAIR,1.0
MEOW,MEOW,1.0
CAKE,CAKE,1.0
ANOTHER,ANOTHER,1.0
BISCUIT,BISCUIT,1.0
BITE,BITE,1.0
BOWL,BOWL,1.0
BREAD,BREAD,1.0
BUTTER,BUTTER,1.0
PIZZA,PIZZA,1.0
DROP,DROP,1.0
MUSIC,MUSIC,1.0
SWING,SWING,1.0
FEET,FEET,1.0
FLOWER,FLOWER,1.0
NONE,NONE,1.0
MUMMY,MUMMY,1.0
OFF,OFF,1.0
OLD,OLD,1.0
PEOPLE,PEOPLE,1.0
SOFT,SOFT,1.0
MINE,MINE,1.0
MEDICINE,MEDICINE,1.0
SHOW,SHOW,1.0
FINISH,FINISH,1.0
GENTLE,GENTLE,1.0
GLASS,GLASS,1.0
WATER,WATER,1.0
HURRY,HURRY,1.0
TV,TV,1.0
FAST,FAST,1.0
SOME,SOME,1.0
SORRY,SORRY,1.0
SHE,SHE,1.0
TIRED,TIRED,1.0
NIGHT,NIGHT,1.0
EGG,EGG,1.0
MONKEY,MONKEY,1.0
SNAKE,SNAKE,1.0
WHEN,WHEN,1.0
LATER,LATER,1.0
SLEEP,SLEEP,1.0
TOMORROW,TOMORROW,1.0
NOT,NOT,1.0
TREE,TREE,1.0
SKY,SKY,1.0
LIGHT,LIGHT,1.0
GLASSES,GLASSES,1.0
GOOD,GOOD,1.0
WHO,WHO,1.0
HELLO,HELLO,1.0
HELP,HELP,1.0
SUN,SUN,1.0
HOW,HOW,1.0
WHAT,WHAT,1.0
POLICE,POLICE,1.0
PICTURE,PICTURE,1.0
SAD,SAD,1.0
WHY,WHY,1.0
OUCH,OUCH,1.0
IN,IN,1.0
PHONE,PHONE,1.0
INSIDE,INSIDE,1.0
PLAY,PLAY,1.0
OPEN,OPEN,1.0
PRETTY,PRETTY,1.0
PLEASE,PLEASE,1.0
YOU,YOU,1.0
UPSTAIRS,UPSTAIRS,1.0
SHOP,SHOP,1.0
NO,NO,1.0
SHOP,SHOP,1.0
QUACK,QUACK,1.0
YES,YES,1.0
HURT,HURT,1.0
NICE,NICE,1.0
LIKE,LIKE,1.0
NOW,NOW,1.0
ARM,ARM,1.0
ME,ME,1.0
IT,IT,1.0
PURSE,PURSE,1.0
HER,HER,1.0
OUT,OUT,1.0
BICYCLE,BICYCLE,1.0
COLD,COLD,1.0
THIRSTY,THIRSTY,1.0
TODAY,TODAY,1.0
STAR,STAR,1.0
ON,ON,1.0
MOON,MOON,1.0
WAIT,WAIT,1.0
DAY,DAY,1.0
DANCE,DANCE,1.0
KISS,KISS,1.0
COMPUTER,COMPUTER,1.0
PARTY,PARTY,1.0
LADY,LADY,1.0
LOVE,LOVE,1.0
CARROTS,CARROTS,1.0
MORNING,MORNING,1.0
MAN,MAN,1.0
SNOW,SNOW,1.0
MILK,MILK,1.0
MONEY,MONEY,1.0
WET,WET,1.0
HOT,HOT,1.0
CATCH,CATCH,1.0
CAREFUL,CAREFUL,1.0
CLOSE,CLOSE,1.0
UNDER,UNDER,1.0
JUMP,JUMP,1.0
MORE,MORE,1.0
DOWNSTAIRS,DOWNSTAIRS,1.0
UP,UP,1.0
CUDDLE,CUDDLE,1.0
NAP,NAP,1.0
BIRD,BIRD,1.0
GIRL,GIRL,1.0
GIRAFFE,GIRAFFE,0.9703702833181889
WASH,WASH,0.9500280192917498
SCISSORS,SCISSORS,0.9463822918905864
HORSE,HORSE,0.9395537102803158
RABBIT,RABBIT,0.9365883540128663
BANANA,BANANA,0.935784034931225
ORANGE,ORANGE,0.9350128089774692
CAT,CAT,0.9348937134866284
LOOK,LOOK,0.934858804979013
APPLE,APPLE,0.9340656299541834
BALLOON,BALLOON,0.9308541130592889
SCARF,SCARF,0.930589744273294
TOY,TOY,0.9300092519275767
COMB,COMB,0.9279674647330121
LEG,LEG,0.9234913992379741
DONKEY,DONKEY,0.9227415286731897
BOAT,BOAT,0.9225712606462491
DOG,DOG,0.9187836661115836
BROOM,BROOM,0.9161673820452549
OVEN,OVEN,0.91536925156307
SQUIRREL,SQUIRREL,0.9140618090733952
BUS,BUS,0.9137147282107958
TOUCH,TOUCH,0.9096284028561659
SEE,SEE,0.90893816372452
EAT,EAT,0.9045002269260425
SING,SING,0.9035787121362877
FLY,FLY,0.9026285790080832
SHEEP,SHEEP,0.9007631368562921
JUMPER,JUMPER,0.9002414476498883
DUCK,DUCK,0.8984867593977606
TABLE,TABLE,0.8958947462002218
COW,COW,0.8914135192472918
TROUSERS,TROUSERS,0.8907814094615374
DRESS,DRESS,0.8901342859561114
SPOON,SPOON,0.889894009218996
FORK,FORK,0.8895568507155811
SMILE,SMILE,0.8880082316670017
PIG,PIG,0.8828827466188891
BOX,BOX,0.8770185364933636
FINGER,FINGER,0.8766605490467929
VEST,VEST,0.8763664990168016
TIGER,TIGER,0.8743159625216643
SOFA,SOFA,0.8743150426720454
BEAR,BEAR,0.8737448432003667
MOUSE,MOUSE,0.8729120545584408
WHAT,WHY,0.8720208962366642
CHAIR,CHAIR,0.8719706564252163
PUSH,PUSH,0.8717401504080016
PEN,PEN,0.8716966928781129
POTATO,POTATO,0.8683886718845697
CAR,CAR,0.8607002468952198
DOLL,DOLL,0.8593142166313517
CARRY,CARRY,0.8570477729764792
STONE,STONE,0.85676638196558
BRUSH,BRUSH,0.8558680493890005
DOOR,DOOR,0.8485544023205216
COAT,COAT,0.8480000548762541
ELEPHANT,ELEPHANT,0.8479780757634354
FIND,FIND,0.8384678306665001
HOUSE,HOUSE,0.8343742666819003
WALL,WALL,0.8313880199572463
LORRY,LORRY,0.8293873599114987
BOOK,BOOK,0.8280003940618601
AEROPLANE,AEROPLANE,0.8194388172004239
TROUSERS,TROUSERS,0.8159645151486605
TRAIN,TRAIN,0.8159246683504016
HER,SHE,0.8139076613037313
RADIO,RADIO,0.812119360630698
LION,LION,0.8018880249606273
SLIDE,SLIDE,0.7674787210207763
EMPTY,EMPTY,0.734146549540007
HIT,HIT,0.7108839060299654
FALL,FALL,0.688815175824927
SLIDE,TOY,0.6838041297971902
LAMB,SHEEP,0.6635858308853901
GLASSES,LOOK,0.6517736184854752
THERE,WHERE,0.6469340564600692
FOOD,BISCUIT,0.6368657101313087
COAT,JUMPER,0.6282581364972575
BOOTS,SHOES,0.6167050255640587
THERE,PUT,0.6132944434838636
GIRL,SHE,0.6044129520806059
BATH,WASH,0.5826079655071554
WASH,WIPE,0.575669339554626
THIRSTY,WET,0.5662679628802197
HOW,WHY,0.5635223619769759
CAT,DOG,0.5572788304742975
LADY,SHE,0.553690861904171
BAG,BUCKET,0.550485742470389
DIRTY,SOAP,0.5500447596964756
DONKEY,HORSE,0.5448889696805191
LOOK,WATCH,0.5412862391691551
DINNER,LUNCH,0.538878381868073
DUCK,GOOSE,0.5375243603681547
BROTHER,SISTER,0.5251448367957529
COAT,JACKET,0.5245432279644641
LOOK,SEE,0.5203031460981342
FEED,HUNGRY,0.5183599487576526
SOAP,WIPE,0.5139670760071382
KICK,WALK,0.5137209325464046
WHERE,PUT,0.5014954372919667
HOW,WHAT,0.5000714786098376
HURT,OUCH,0.4968352759839617
BRUSH,COMB,0.49553564863964783
JACKET,JUMPER,0.4943592754220095
CHICKEN,GOOSE,0.4874711911289359
GIRL,HER,0.48621162945845164
DIRTY,WASH,0.4849692330687998
FORK,SPOON,0.4804804942490766
SCARF,JUMPER,0.47708186592224755
PARK,TOY,0.4704209072348039
CAT,RABBIT,0.46655303400487347
PULL,PUSH,0.4568558505736767
COAT,SCARF,0.45671526236017346
GRASS,PLANT,0.4560317425654782
SANDWICH,TOAST,0.4546774492592962
GO,PUT,0.45353129803706316
BOOTS,SOCK,0.4526867544895117
BOY,HE,0.4525079503153314
GOOSE,PENGUIN,0.4521990897050867
FEET,FOOT,0.4499825182079261
JACKET,VEST,0.44984522743356936
FOOD,CAKE,0.44376071833131037
HER,LADY,0.44310400721757215
BUS,CAR,0.43024079724611053
FRIDGE,FRIDGE,0.42787123315590647
BREAKFAST,LUNCH,0.42625837055106164
BOOTS,JACKET,0.4162169173062561
GRANDMA,GRANDPA,0.4129106001088184
WATCH,CLOCK,0.4119890710134706
FACE,HEAD,0.4036031224846074
BISCUIT,CAKE,0.4032322971990344
CHICKEN,BIRD,0.3944635481728429
GOOSE,BIRD,0.39441514519951404
HAT,JUMPER,0.39144646288173257
DINNER,HUNGRY,0.389003611239478
COW,SHEEP,0.3889041401608767
DINNER,FEED,0.3847028464789368
APPLE,ORANGE,0.3826576402476868
HAT,SCARF,0.3818433544595229
CAR,LORRY,0.38123464719307354
NO,NOT,0.37972275489295804
COME,RIDE,0.37847154053588794
BISCUIT,CHEESE,0.3782301236430242
SEE,WATCH,0.376637589285586
RUN,WALK,0.37071476914624957
MONKEY,SQUIRREL,0.36799118025868816
LION,TIGER,0.3678773291981777
FOOD,CHEESE,0.36618505910867094
BOWL,SPOON,0.3635603719371163
BISCUIT,BOWL,0.3584477232974469
JACKET,SCARF,0.3475893835077014
LIGHT,YELLOW,0.34737219742796743
COME,GO,0.34402152717053025
COW,LAMB,0.3437599866002373
BISCUIT,BREAD,0.34049352192329596
JUMPER,VEST,0.3397119186925037
COAT,HAT,0.3390821950796328
BUS,LORRY,0.33884416289003194
CAT,SQUIRREL,0.3384465818541953
BOOTS,COAT,0.337926959805955
BROOM,TOOTHBRUSH,0.33741478667989944
CHAIR,SOFA,0.33606271932396126
HAT,TROUSERS,0.33585685469039017
WET,SINK,0.3310105518696441
HUNGRY,EAT,0.33096909855331047
COW,PIG,0.3286581802408992
LEG,TOE,0.3241405512764627
CEREAL,HUNGRY,0.32153463733437426
COAT,TROUSERS,0.31873881807807203
BITE,MOUTH,0.3182510831962423
CEREAL,FEED,0.31783845410731126
FEED,EAT,0.31691456888082514
BOAT,SWIM,0.3152710694183828
PIG,SQUIRREL,0.3067897426410261
BOWL,PLATE,0.3060957411384667
DRESS,TROUSERS,0.30567954709580336
CAT,DONKEY,0.3053589845106266
COME,STOP,0.3043646542533842
BUG,SPIDER,0.3012039222130243
WIPE,TOOTHBRUSH,0.29958844311525157
SOAP,WASH,0.2968469851116903
DOG,DONKEY,0.2950420513258777
CARRY,THROW,0.2944895936504226
GLASSES,SEE,0.29366049155976826
COAT,VEST,0.2934486614939884
SHOES,SOCK,0.29120944567394247
DOG,HORSE,0.2891553170444465
COW,HORSE,0.2883073086823126
HORSE,PIG,0.2882777833692777
GOOSE,OWL,0.2868521180299244
LIPS,TONGUE,0.2816447177267274
TROUSERS,JUMPER,0.28094152488077706
FRIDGE,SNOW,0.27868437270844526
FEED,MEAT,0.27824697205497584
JACKET,TROUSERS,0.2782159131823899
BEAR,LION,0.2778369909312769
BEAR,CAT,0.2774786229559373
GLASSES,WATCH,0.2771831466583412
CEREAL,DINNER,0.27561074885336556
GRASS,PEAS,0.27432342288832334
PULL,THROW,0.2731337941083718
WIPE,BROOM,0.2724738327639433
JACKET,TROUSERS,0.26999016869591375
COME,WALK,0.2699028115933183
CAT,HORSE,0.2685082895295485
RIDE,TRAIN,0.2678172936320421
ARM,FINGER,0.2668178219447378
CHIN,LIPS,0.26487936976939697
DUCK,PENGUIN,0.26451470161097634
BANANA,ORANGE,0.26269000321811464
COME,PUSH,0.2624909952551854
CHAIR,TABLE,0.26209964430502464
MOUSE,RABBIT,0.26129824785599753
BEAR,COW,0.26007937558318983
ARM,LEG,0.2599345514836505
KITTEN,MEOW,0.259545559525747
WHERE,GO,0.25926817837251726
KICK,RUN,0.2591935074696403
APPLE,BANANA,0.2591218049772749
SINK,SWIM,0.2562023324682575
DONKEY,PIG,0.25533943913678736
SHE,SISTER,0.25369299987501914
MOUSE,SQUIRREL,0.25347305424642885
CARROTS,JUICE,0.2506618292972118
GIRL,LADY,0.24970333025832236
CAT,SHEEP,0.249625317568961
DOG,RABBIT,0.24840254559154895
DONKEY,SQUIRREL,0.24798961608516845
GLASSES,WINDOW,0.24547727931743668
HER,SISTER,0.2439591626538824
THERE,GO,0.24025559774092087
PIG,SHEEP,0.239151732420524
LATER,TODAY,0.23829216227826744
TODAY,TOMORROW,0.2381498244907615
BEAR,RABBIT,0.23748871726834764
GRANDPA,UNCLE,0.23738947794035037
PYJAMAS,JUMPER,0.236985618179822
PEAS,POTATO,0.23691038077546922
BROKEN,BREAK,0.2366192834198373
COME,PULL,0.23554276180956912
BUTTON,DRESS,0.23324805316438957
CAT,PIG,0.2301421101139962
JACKET,HAT,0.23009840223623312
BOOTS,JUMPER,0.22931966441568408
ARM,HAND,0.2280314300454973
DRESS,VEST,0.2256125960630394
BREAD,LAMB,0.2254510573088414
BUMP,FALL,0.22494829440174724
IT,YOU,0.22296370096730345
HURRY,RUN,0.2228436069460834
CAT,MOUSE,0.22126030541825548
PLAY,TOY,0.22012053019874522
NOW,TODAY,0.2178812085173124
SHOW,TV,0.21430024396543423
OWL,BIRD,0.2109766985425554
HUNGRY,SANDWICH,0.21080165387817007
KITCHEN,PASTA,0.2106799046998601
BRUSH,BUCKET,0.2102317047543658
FEED,SANDWICH,0.2078657227846057
PLANT,PEAS,0.20728218763929407
RABBIT,SQUIRREL,0.20701060883451472
BEAR,TIGER,0.20669867109125295
GOOD,YES,0.2065982730102367
BOTTLE,BUCKET,0.20646975299484194
PASTA,PIZZA,0.20645919546733582
DONKEY,SHEEP,0.20456265438729904
BREAD,CHEESE,0.20390753548604224
JUMPER,TROUSERS,0.20384511160118413
DRESS,JUMPER,0.20362797845214364
COW,SQUIRREL,0.20320974443194317
HAIR,HAT,0.2030123572926812
LATER,WHEN,0.20250967592746605
TROUSERS,VEST,0.20229529374392607
ANIMAL,KITTEN,0.19976143278122738
EMPTY,GO,0.1988625480087648
PYJAMAS,TROUSERS,0.19809689694453358
BRUSH,TOOTHBRUSH,0.19772997994692065
BREAD,POTATO,0.19755186101063682
HORSE,RUN,0.19730553300775566
LIGHT,STAR,0.19690654430158494
CAT,COW,0.19635853423493954
BUG,BUTTERFLY,0.1940776004450928
COW,DONKEY,0.19400077511993608
BITE,HUNGRY,0.19387374002507674
AEROPLANE,BIRD,0.1937462700401953
BOAT,SINK,0.1931036184630871
BITE,DINNER,0.1929965453924578
BED,PILLOW,0.19245232344679297
ME,YOU,0.19123363142445493
DRESS,HAT,0.18969609062696058
FISH,SWIM,0.188817262295641
BOOTS,SCARF,0.18603741237261107
DIRTY,BROOM,0.186005101760653
COAT,DRESS,0.18518843552184272
BANANA,BISCUIT,0.1850645705463536
HORSE,SHEEP,0.18308703406085114
BITE,FEED,0.18250854735924793
JACKET,PYJAMAS,0.1819277402904883
CHICKEN,PENGUIN,0.1816769045953076
BISCUIT,SPOON,0.18044004447007977
DOG,PIG,0.17996731186344717
DRESS,JACKET,0.17841374164919077
AEROPLANE,BUTTERFLY,0.1777803028738627
SINK,TOILET,0.1774396466530016
BISCUIT,PEAS,0.17740297283523143
SOCK,JUMPER,0.17604949780895895
COME,EMPTY,0.17487562663950584
SOCK,TOE,0.17455764478327496
COAT,SOCK,0.1726267101969643
HUNGRY,MEAT,0.17234790134557043
DINNER,SANDWICH,0.17066918008302978
AUNT,UNCLE,0.1697169182826127
AUNT,GRANDMA,0.1693971940051755
CAKE,CHEESE,0.1691540189549534
AUNT,GRANDPA,0.16893939929857238
BACK,FOOT,0.16776928477779562
BAG,BOTTLE,0.16675692375135465
CHICKEN,OWL,0.16625829229946898
CHICKEN,DUCK,0.16583625156101733
SHEEP,SQUIRREL,0.1656819800479754
BUTTON,JUMPER,0.16399105325363506
RADIO,SING,0.16336784154661887
DONKEY,GIRAFFE,0.16307043399399113
HORSE,SQUIRREL,0.16299712212243267
JUICE,ORANGE,0.16298361907336367
BEAR,SHEEP,0.16276146323068175
DANCE,PARTY,0.16236154466097708
GET,GIVE,0.16226748252702372
COAT,SHOES,0.16148572765694746
DINNER,BISCUIT,0.1608676130326554
RIDE,WALK,0.15924257493775573
DOG,SHEEP,0.1589920038960424
BANANA,CHEESE,0.15802036946181952
HAT,VEST,0.15768799617920504
CHIN,NOSE,0.15734026584269134
SAD,CRY,0.1562281061395735
BUTTER,SANDWICH,0.1554696150245518
KICK,PUSH,0.1553720408675595
BATH,WIPE,0.15536174799352076
KITCHEN,EAT,0.15492580651051968
WET,WASH,0.15265753317032438
BOTTLE,CUP,0.1520622788833692
KITCHEN,MEAT,0.15097453024385077
CEREAL,LUNCH,0.15095992852525275
BUTTERFLY,BIRD,0.15089467642469268
EAR,HAIR,0.1507508265360249
BEAR,ELEPHANT,0.15047601609782602
HAPPY,NICE,0.15041929156115008
DRESS,SCARF,0.14662801476689102
BEAR,DOG,0.14648211202565264
ARM,EYE,0.14637278153247535
KITCHEN,OVEN,0.14636934675963764
HORSE,LION,0.1462990075902687
COME,SLIDE,0.14600065300739573
BANANA,PEAS,0.14536236892777743
BISCUIT,POTATO,0.1443842182960221
GO,RIDE,0.14416144874340775
JACKET,SOCK,0.14396469963358582
BROOM,BRUSH,0.14365867010016153
BUTTON,TROUSERS,0.14362749535227382
FACE,LOOK,0.14353783504923323
THIRSTY,FISH,0.14353750315947955
BITE,BISCUIT,0.1429640834988556
SOAP,TOOTHBRUSH,0.14286883113957904
CARRY,RIDE,0.14223822057995283
FROG,PEAS,0.14205941068353545
BISCUIT,FORK,0.14160713793576352
ELEPHANT,HORSE,0.14056061658421193
BITE,CEREAL,0.14007520779177574
TOOTHBRUSH,WASH,0.13980247738677387
DINNER,MEAT,0.13888829278278336
COME,THROW,0.1384935185042594
TROUSERS,VEST,0.1384290474890677
TROUSERS,HAT,0.13621509105427565
IT,WHO,0.1360530516043289
FOOT,KNEE,0.13547541608549896
TROUSERS,SCARF,0.13441711980049198
KNEE,RUN,0.13323008605507902
TOE,WALK,0.13322381734430255
PIZZA,SANDWICH,0.13255635986923286
RABBIT,SHEEP,0.13193012968213025
BIRD,DUCK,0.1314118609429713
FORK,HUNGRY,0.13086512836576536
PULL,RIDE,0.13031078521317563
CARRY,COME,0.12995371332454597
KICK,TOE,0.1292650664053817
PENGUIN,BIRD,0.12897767276773264
OUT,GO,0.12894787850955258
BOWL,POTATO,0.12728110527814074
CAT,LION,0.12664565084478352
IT,ME,0.1250944753867661
DONKEY,RABBIT,0.12247047917534493
CEREAL,EAT,0.12203590101534023
EAR,EYE,0.12089138921404508
BISCUIT,SQUIRREL,0.12058239556178718
