source,target,weight
BLOCK,BLOCK,1.0
BLOCK,COFFEE,0.5750134663739579
COFFEE,COFFEE,1.0
BROKEN,COFFEE,0.3616158927068285
CAREFUL,COFFEE,0.3616158927068285
BROOM,COFFEE,0.3317765730599149
CLOSE,COFFEE,0.21422710631228625
BUTTER,COFFEE,0.1011987729011048
BRUSH,COFFEE,0.08492265279648525
BLOW,COFFEE,0.057795852777801526
CHIPS,COFFEE,0.044232452768459884
CARRY,COFFEE,0.00263794588632571
BLOCK,COMPUTER,0.554350124921041
COMPUTER,COMPUTER,1.0
COFFEE,COMPUTER,0.9737775068354253
BROKEN,COMPUTER,0.3437438544320559
CAREFUL,COMPUTER,0.3437438544320559
BROOM,COMPUTER,0.314294844127849
COMB,COMPUTER,0.2598584181425885
CLOSE,COMPUTER,0.19828295963936782
BUTTER,COMPUTER,0.08673307070813574
BRUSH,COMPUTER,0.07067004707567692
BLOW,COMPUTER,0.04389807373218124
CHIPS,COMPUTER,0.0305120870604334
BLOCK,FRIDGE,0.3562660285934167
FRIDGE,FRIDGE,1.0
COMPUTER,FRIDGE,0.699811019713729
COFFEE,FRIDGE,0.7224024532355482
BROKEN,FRIDGE,0.17241890155684714
CAREFUL,FRIDGE,0.17241890155684714
BROOM,FRIDGE,0.14671140823891493
COMB,FRIDGE,0.09919169681523998
CLOSE,FRIDGE,0.045439665332291046
COOKER,FRIDGE,0.10853987620357919
EMPTY,FRIDGE,0.09373859217204239
DUMMY,FRIDGE,0.012721037473104824
BLOCK,MEDICINE,0.21874743778054118
GENTLE,MEDICINE,0.1564210297150299
FRIDGE,MEDICINE,0.3328955801225695
COMPUTER,MEDICINE,0.5275781515775453
COFFEE,MEDICINE,0.5478866663552744
MEDICINE,MEDICINE,1.0
BROKEN,MEDICINE,0.05347739162701237
CAREFUL,MEDICINE,0.05347739162701237
BROOM,MEDICINE,0.030367550318732395
GLASSES,MEDICINE,0.012860161604506093
BLOCK,GENTLE,0.17670789405156118
GENTLE,GENTLE,1.0
FRIDGE,GENTLE,0.2869338985969512
COMPUTER,GENTLE,0.4749264837217748
COFFEE,GENTLE,0.49453737317201596
BROKEN,GENTLE,0.017117079371519628
CAREFUL,GENTLE,0.017117079371519628
BLOCK,RADIO,0.17670789405156118
PURSE,RADIO,0.07594934678814691
GENTLE,RADIO,0.11652327592825751
FRIDGE,RADIO,0.2869338985969512
COMPUTER,RADIO,0.4749264837217748
COFFEE,RADIO,0.49453737317201596
MEDICINE,RADIO,0.1564210297150299
RADIO,RADIO,1.0
BROKEN,RADIO,0.017117079371519628
CAREFUL,RADIO,0.017117079371519628
POLICE,RADIO,0.017117079371519628
PIZZA,RADIO,0.012383450964055909
BLOCK,PURSE,0.13395609090058014
PURSE,PURSE,1.0
GENTLE,PURSE,0.07594934678814691
FRIDGE,PURSE,0.24019300165525648
COMPUTER,PURSE,0.42138253703478346
COFFEE,PURSE,0.44028377313464895
MEDICINE,PURSE,0.1144031364272482
BLOCK,BROKEN,0.07196566560773299
BLOCK,POLICE,0.07196566560773299
GENTLE,POLICE,0.017117079371519628
FRIDGE,POLICE,0.17241890155684714
COMPUTER,POLICE,0.3437438544320559
COFFEE,POLICE,0.3616158927068285
MEDICINE,POLICE,0.05347739162701237
BLOCK,VEST,0.07196566560773299
GENTLE,VEST,0.017117079371519628
FRIDGE,VEST,0.17241890155684714
COMPUTER,VEST,0.3437438544320559
COFFEE,VEST,0.3616158927068285
MEDICINE,VEST,0.05347739162701237
RADIO,VEST,0.017117079371519628
BLOCK,CAREFUL,0.07196566560773299
BLOCK,PIZZA,0.06697804545028996
GENTLE,PIZZA,0.012383450964055909
FRIDGE,PIZZA,0.16696579691364932
