source,target,weight
AEROPLANE,AEROPLANE,1.0
AEROPLANE,GIRAFFE,0.23413915982132316
CHAIR,GIRAFFE,0.126324594716678
COMPUTER,GIRAFFE,0.2824703461429081
CHEESE,GIRAFFE,0.22670436484700396
CAR,GIRAFFE,0.7955230622521867
GIRAFFE,GIRAFFE,1.0
BREAD,GIRAFFE,0.6877068241513733
BOOK,GIRAFFE,0.5575862011275987
ARM,GIRAFFE,0.312212872032525
COOKER,GIRAFFE,0.126324594716678
CAKE,GIRAFFE,0.6914258946347012
ELEPHANT,GIRAFFE,0.9219262877887999
BUS,GIRAFFE,0.8884663644120252
EAR,GIRAFFE,0.7806517993073783
FROG,GIRAFFE,0.5018185468355263
BED,GIRAFFE,0.05196827999263931
FRIDGE,GIRAFFE,0.4757950914292408
FLOWER,GIRAFFE,0.04825088250547793
FISH,GIRAFFE,0.08914727385274368
BOAT,GIRAFFE,0.2713164806852575
APPLE,GIRAFFE,0.6728355612065648
BICYCLE,GIRAFFE,0.6505295032874372
DOG,GIRAFFE,0.7062954845833396
BATHROOM,GIRAFFE,0.15978451809345273
BEE,GIRAFFE,0.7471918759306035
CHIN,GIRAFFE,0.04453348501832011
COW,GIRAFFE,0.7806517993073783
AEROPLANE,ELEPHANT,0.15964064042293202
CHAIR,ELEPHANT,0.052327974168939306
COMPUTER,ELEPHANT,0.20774597226172276
CHEESE,ELEPHANT,0.1522393053719906
CAR,ELEPHANT,0.7184029578572257
BREAD,ELEPHANT,0.6110919645993995
BOOK,ELEPHANT,0.48157696618874724
ARM,ELEPHANT,0.23734963946932552
COOKER,ELEPHANT,0.052327974168939306
CAKE,ELEPHANT,0.6147926321248711
ELEPHANT,ELEPHANT,1.0
BUS,ELEPHANT,0.8109146270055021
EAR,ELEPHANT,0.7036019607515094
BOAT,ELEPHANT,0.19664396968530795
APPLE,ELEPHANT,0.5962892944975167
BICYCLE,ELEPHANT,0.5740869623408571
DOG,ELEPHANT,0.6295936292305875
BATHROOM,ELEPHANT,0.0856323089020119
BEE,ELEPHANT,0.670297626018435
COW,ELEPHANT,0.7036019607515094
AEROPLANE,BUS,0.12771150854064572
BREAD,BUS,0.5782560687936034
BOOK,BUS,0.449002057785286
ARM,BUS,0.20526491894333532
BUS,BUS,1.0
