source,target,weight
YELLOW,YELLOW,1.0
LOVE,YELLOW,0.05321581458236224
FRIDGE,YELLOW,0.05321581458236224
MUSIC,YELLOW,0.12638720694142425
DOOR,DOOR,1.0
BREAD,DOOR,0.05899205794752671
CAR,DOOR,0.23305358769269713
DOG,DOOR,0.2497446512189594
BOOK,DOOR,0.07568255716709071
BLUE,DOOR,0.05422310203906644
COMPUTER,DOOR,0.03514784271192273
CHOCOLATE,DOOR,0.17105941810950487
DOOR,MUSIC,0.4858014791607177
BUS,MUSIC,0.28641837924344493
GIRL,MUSIC,0.06080066091600589
HEAD,MUSIC,0.5251534067759689
BROTHER,MUSIC,0.312652997653613
LIKE,MUSIC,0.4438260897044506
DRESS,MUSIC,0.3992272384071658
EAR,MUSIC,0.3651222344739482
BREAD,MUSIC,0.5304003304580025
HAPPY,MUSIC,0.11064643589532341
ALL,MUSIC,0.228702218741077
DINNER,MUSIC,0.186726829284809
CAR,MUSIC,0.7219130448522248
LOVE,MUSIC,0.9134257592464472
DOG,MUSIC,0.7402772777393425
HAND,MUSIC,0.8504626750620456
GIVE,MUSIC,0.024072195141771502
FLOWER,MUSIC,0.11064643589532341
BIRD,MUSIC,0.3939803147251322
HUG,MUSIC,0.34151107790479696
FOOD,MUSIC,0.8189811329698449
FOOT,MUSIC,0.1499983635105746
BED,MUSIC,0.09490566484922347
HOUSE,MUSIC,0.1499983635105746
FRIDGE,MUSIC,0.9134257592464472
BOY,MUSIC,0.20509106217192663
EAT,MUSIC,0.38873339104309856
BOX,MUSIC,0.228702218741077
LEG,MUSIC,0.09490566484922347
EYE,MUSIC,0.3651222344739482
FACE,MUSIC,0.1893502911258258
BOOK,MUSIC,0.5487645633451201
BLUE,MUSIC,0.5251534067759689
LUNCH,MUSIC,0.5041657120478353
MAN,MUSIC,0.312652997653613
CHAIR,MUSIC,0.06080066091600589
HAIR,MUSIC,0.6563264988268065
MONEY,MUSIC,0.480554555478685
CHEESE,MUSIC,0.3624987726329314
MUSIC,MUSIC,1.0
GOOD,MUSIC,0.25756029899226096
APPLE,MUSIC,0.42283839497631615
COMPUTER,MUSIC,0.5041657120478353
CHOCOLATE,MUSIC,0.6537030369857897
COFFEE,MUSIC,0.12638720694142425
COAT,MUSIC,0.34675800158683057
CLOSE,MUSIC,0.16573913455667544
DOOR,LOVE,0.4071156817445649
BUS,LOVE,0.21079168843950047
HEAD,LOVE,0.4458638011924929
BROTHER,LOVE,0.23662395617368492
LIKE,LOVE,0.3657841662312098
DRESS,LOVE,0.3218698189591258
EAR,LOVE,0.2882879273353556
BREAD,LOVE,0.45103059332334894
HAPPY,LOVE,0.037716566803191576
ALL,LOVE,0.1539609251469738
DINNER,LOVE,0.11262940963361778
CAR,LOVE,0.6396049627388285
LOVE,LOVE,1.0
DOG,LOVE,0.6576876065834281
HAND,LOVE,0.7661823410376245
FLOWER,LOVE,0.037716566803191576
BIRD,LOVE,0.31670359113496716
HUG,LOVE,0.26503905566659913
FOOD,LOVE,0.7351838454792823
FOOT,LOVE,0.07646468625111869
BED,LOVE,0.02221675471732265
HOUSE,LOVE,0.07646468625111869
FRIDGE,LOVE,0.8281798964610072
BOY,LOVE,0.13071205347821735
EAT,LOVE,0.31153679900411113
BOX,LOVE,0.1539609251469738
LEG,LOVE,0.02221675471732265
EYE,LOVE,0.2882879273353556
FACE,LOVE,0.11521280569904668
BOOK,LOVE,0.4691132371679476
BLUE,LOVE,0.4458638011924929
HAIR,LOVE,0.5750245755567169
CHEESE,LOVE,0.2857050955766258
GOOD,LOVE,0.182376024639888
APPLE,LOVE,0.34511869062788136
COMPUTER,LOVE,0.4251983255891645
CHOCOLATE,LOVE,0.5724417437979872
COFFEE,LOVE,0.05321581458236224
COAT,LOVE,0.270205283490756
CLOSE,LOVE,0.09196393403028935
DOOR,FRIDGE,0.4071156817445649
BUS,FRIDGE,0.21079168843950047
BROTHER,FRIDGE,0.23662395617368492
DRESS,FRIDGE,0.3218698189591258
EAR,FRIDGE,0.2882879273353556
BREAD,FRIDGE,0.45103059332334894
ALL,FRIDGE,0.1539609251469738
DINNER,FRIDGE,0.11262940963361778
CAR,FRIDGE,0.6396049627388285
DOG,FRIDGE,0.6576876065834281
FLOWER,FRIDGE,0.037716566803191576
BIRD,FRIDGE,0.31670359113496716
FOOD,FRIDGE,0.7351838454792823
FOOT,FRIDGE,0.07646468625111869
BED,FRIDGE,0.02221675471732265
FRIDGE,FRIDGE,1.0
BOY,FRIDGE,0.13071205347821735
EAT,FRIDGE,0.31153679900411113
BOX,FRIDGE,0.1539609251469738
EYE,FRIDGE,0.2882879273353556
FACE,FRIDGE,0.11521280569904668
BOOK,FRIDGE,0.4691132371679476
BLUE,FRIDGE,0.4458638011924929
CHEESE,FRIDGE,0.2857050955766258
APPLE,FRIDGE,0.34511869062788136
COMPUTER,FRIDGE,0.4251983255891645
CHOCOLATE,FRIDGE,0.5724417437979872
COFFEE,FRIDGE,0.05321581458236224
COAT,FRIDGE,0.270205283490756
CLOSE,FRIDGE,0.09196393403028935
DOOR,HAND,0.34988990376313645
BUS,HAND,0.15579040746329476
BROTHER,HAND,0.18132980002099242
DRESS,HAND,0.26561013404541267
EAR,HAND,0.23240858513638774
BREAD,HAND,0.39330709683390097
ALL,HAND,0.09960351811368096
DINNER,HAND,0.058740377160025226
CAR,HAND,0.5797450010891119
DOG,HAND,0.5976222372954814
HAND,HAND,1.0
BIRD,HAND,0.2605020298111942
FOOD,HAND,0.6742404149685743
FOOT,HAND,0.022985340440587976
FRIDGE,HAND,0.7661823410376245
BOY,HAND,0.07661817767309298
EAT,HAND,0.2553939255769757
BOX,HAND,0.09960351811368096
EYE,HAND,0.23240858513638774
FACE,HAND,0.06129442927713491
BOOK,HAND,0.41118433304027047
BLUE,HAND,0.3881989925996825
HAIR,HAND,0.5158959553881699
CHEESE,HAND,0.22985453301927805
GOOD,HAND,0.1276969627884874
APPLE,HAND,0.28859547448600154
COMPUTER,HAND,0.3677677042762033
CHOCOLATE,HAND,0.5133424675777585
COAT,HAND,0.21453078462331998
CLOSE,HAND,0.038309088836546934
DOOR,PHONE,0.3451209478546753
BUS,PHONE,0.1512071084586193
PHONE,PHONE,1.0
HEAD,PHONE,0.3833939210625221
BROTHER,PHONE,0.17672223582828384
LIKE,PHONE,0.3042973083699101
DRESS,PHONE,0.26092130968813
EAR,PHONE,0.22775192626091556
BREAD,PHONE,0.3884969465364545
PEN,PHONE,0.12314018619863809
ALL,PHONE,0.09507382824535604
DINNER,PHONE,0.054249624453892586
CAR,PHONE,0.5747565298749606
LOVE,PHONE,0.7610161132134667
DOG,PHONE,0.592616836880377
PASTA,PHONE,0.2354067466251637
HAND,PHONE,0.699779807526272
BIRD,PHONE,0.25581884852089587
HUG,PHONE,0.2047885937815659
FOOD,PHONE,0.6691622189893716
FOOT,PHONE,0.018529010443059768
HOUSE,PHONE,0.018529010443059768
FRIDGE,PHONE,0.7610161132134667
BOY,PHONE,0.07211049576600725
EAT,PHONE,0.2507158230469626
BOX,PHONE,0.09507382824535604
EYE,PHONE,0.22775192626091556
FACE,PHONE,0.05680141934420835
BOOK,PHONE,0.4063572535418709
BLUE,PHONE,0.3833939210625221
LUNCH,PHONE,0.36298181916678995
MAN,PHONE,0.17672223582828384
HAIR,PHONE,0.5109689936041475
MONEY,PHONE,0.3400179223807429
CHEESE,PHONE,0.22520069567729806
MUSIC,PHONE,0.845215751380012
GOOD,PHONE,0.12314018619863809
NIGHT,PHONE,0.40125422806793853
APPLE,PHONE,0.2838852064741779
COMPUTER,PHONE,0.36298181916678995
CHOCOLATE,PHONE,0.5084171987138317
COAT,PHONE,0.20989161925549915
CLOSE,PHONE,0.033838086864858674
DOOR,TOOTHBRUSH,0.3331988402368742
SLEEP,TOOTHBRUSH,0.5902851216024505
BUS,TOOTHBRUSH,0.13974829664023058
PHONE,TOOTHBRUSH,0.6819195005208547
HEAD,TOOTHBRUSH,0.3713803957595738
BROTHER,TOOTHBRUSH,0.16520247888646455
LIKE,TOOTHBRUSH,0.29247282581093703
DRESS,TOOTHBRUSH,0.24920065956166937
PIZZA,TOOTHBRUSH,0.21356525586230024
EAR,TOOTHBRUSH,0.21611027907223423
SMILE,TOOTHBRUSH,0.47828717116437947
BREAD,TOOTHBRUSH,0.37647100648614185
PEN,TOOTHBRUSH,0.11174909118406262
TOOTHBRUSH,TOOTHBRUSH,1.0
ALL,TOOTHBRUSH,0.08374932142119551
DINNER,TOOTHBRUSH,0.04302274268856099
CAR,TOOTHBRUSH,0.5622853518395834
SUN,TOOTHBRUSH,0.16520247888646455
LOVE,TOOTHBRUSH,0.7481002614997241
DOG,TOOTHBRUSH,0.5801033358426171
PASTA,TOOTHBRUSH,0.2237464773154354
HAND,TOOTHBRUSH,0.6870101112474227
PLATE,TOOTHBRUSH,0.49865017837734804
ROAD,TOOTHBRUSH,0.4222881959453435
BIRD,TOOTHBRUSH,0.24411004883510135
HUG,TOOTHBRUSH,0.1932016843426334
SANDWICH,TOOTHBRUSH,0.16520247888646455
FOOD,TOOTHBRUSH,0.6564653182746207
SCARF,TOOTHBRUSH,0.0022967282626238372
SHOES,TOOTHBRUSH,0.3306538170269384
SING,TOOTHBRUSH,0.11174909118406262
FOOT,TOOTHBRUSH,0.007387338989191861
HOUSE,TOOTHBRUSH,0.007387338989191861
FRIDGE,TOOTHBRUSH,0.7481002614997241
TIRED,TOOTHBRUSH,0.13974829664023058
BOY,TOOTHBRUSH,0.060840726691593794
EAT,TOOTHBRUSH,0.23901887380183595
BOX,TOOTHBRUSH,0.08374932142119551
