source,target,weight
POLICE,POLICE,1.0
LORRY,POLICE,0.16986830390139462
LION,POLICE,0.2224101204182063
GRANDPA,POLICE,0.42951687293127794
HIT,POLICE,0.12931409890579637
BROTHER,POLICE,0.44762591162797105
KICK,POLICE,0.13594561167363883
MEAT,POLICE,0.15481997879244114
MAN,POLICE,0.5226128944436876
BOY,POLICE,0.4098775774574974
CAR,POLICE,0.13314014091564563
BEAR,POLICE,0.07396661159742601
BLUE,POLICE,0.07090609804325165
BALL,POLICE,0.06554979925631499
AEROPLANE,POLICE,0.048971017336709055
FAST,POLICE,0.03494286341248065
DIRTY,POLICE,0.02729117945991333
BOAT,POLICE,0.0
PIG,POLICE,0.019894538303527387
POLICE,UNCLE,0.4642046935475772
LORRY,UNCLE,0.47773536399407823
TRACTOR,UNCLE,0.5183275753671466
LION,UNCLE,0.5441005000639105
GRANDPA,UNCLE,0.8056945955531338
HIT,UNCLE,0.4265119687083492
BROTHER,UNCLE,0.8285680337160575
KICK,UNCLE,0.4348881742356365
TROUSERS,UNCLE,0.5821152789438067
MEAT,UNCLE,0.45872797455413017
UNCLE,UNCLE,1.0
MAN,UNCLE,0.9232831269086952
BOY,UNCLE,0.7808882330455051
CAR,UNCLE,0.43134437958689453
BEAR,UNCLE,0.35660323802334015
BLUE,UNCLE,0.3527373893339303
BALL,UNCLE,0.34597185407711417
AEROPLANE,UNCLE,0.32503154029246084
FAST,UNCLE,0.30731276708231636
SNAKE,UNCLE,0.3527373893339303
DIRTY,UNCLE,0.29764794532522565
BOAT,UNCLE,0.263176761060506
BLOCK,UNCLE,0.24932383653977142
DONKEY,UNCLE,0.2422362472422872
PIG,UNCLE,0.2883051776088026
STONE,UNCLE,0.26543193947944466
THROW,UNCLE,0.25898865829686213
MONKEY,UNCLE,0.2422362472422872
ROAD,UNCLE,0.24062557697181575
COMPUTER,UNCLE,0.18102597615879934
CHIN,UNCLE,0.18102597615879934
JACKET,UNCLE,0.1687837219085362
TIGER,UNCLE,0.21259767388967865
DOG,UNCLE,0.1613740785703841
COLD,UNCLE,0.15944115422567906
JUMPER,UNCLE,0.15332012711733034
BREAK,UNCLE,0.14880997031301857
MONEY,UNCLE,0.18779131138204996
RUN,UNCLE,0.18424751673330775
TRAIN,UNCLE,0.18424751673330775
PIZZA,UNCLE,0.18102597615879934
ELEPHANT,UNCLE,0.13237961329911152
CHIPS,UNCLE,0.10725119675081474
FROG,UNCLE,0.10564032644677779
CARRY,UNCLE,0.10274103994650297
CHAIR,UNCLE,0.09887499122352716
BUS,UNCLE,0.09887499122352716
TV,UNCLE,0.14107807290063268
STOP,UNCLE,0.1372120241776571
PUSH,UNCLE,0.13656771606275542
CATCH,UNCLE,0.09275396411517844
TOILET,UNCLE,0.13173530518420984
FORK,UNCLE,0.08824380731086667
POTATO,UNCLE,0.12722514837989807
SOCK,UNCLE,0.12722514837989807
DROP,UNCLE,0.08341139643232132
BOX,UNCLE,0.07696811524973879
SPIDER,UNCLE,0.10435171021697442
RIDE,UNCLE,0.10274103994650297
KEY,UNCLE,0.05828277985045882
ARM,UNCLE,0.05151744462720842
DOOR,UNCLE,0.05151744462720842
FEET,UNCLE,0.05055108247163864
RADIO,UNCLE,0.09082103977047362
HAND,UNCLE,0.04668503374866306
FINISH,UNCLE,0.041852622870117706
DUMMY,UNCLE,0.0344429795319654
SANDWICH,UNCLE,0.0734243206009968
TAKE,UNCLE,0.07052503410072197
FLY,UNCLE,0.026711082119579732
FALL,UNCLE,0.02316728747083774
BOTTLE,UNCLE,0.01994574689632911
TOE,UNCLE,0.05828277985045882
HAT,UNCLE,0.015113336017783752
FRIDGE,UNCLE,0.010925233254140077
FOOT,UNCLE,0.01060317921347198
FOOD,UNCLE,0.00899230890943481
HEAD,UNCLE,0.004159898030889453
BLOW,UNCLE,0.0028712818010860897
QUACK,UNCLE,0.041852622870117706
PEN,UNCLE,0.041852622870117706
POLICE,TROUSERS,0.2525069706696783
LORRY,TROUSERS,0.26408191294499206
TRACTOR,TROUSERS,0.29880653973736804
LION,TROUSERS,0.32085383927423017
GRANDPA,TROUSERS,0.5446347897177146
