source,target,weight
AUNT,AUNT,1.0
AUNT,LADY,0.8257210290848362
LADY,LADY,1.0
CUDDLE,LADY,0.41651680921660383
DOLL,LADY,0.5678137858701022
FLOWER,LADY,0.5812197988977812
GIRL,LADY,0.7676281055760596
GRANDMA,LADY,0.8870059463382749
GRANDPA,LADY,0.800415325898373
HAMMER,LADY,0.4531927752611167
BOY,LADY,0.7583112271050745
BROTHER,LADY,0.8392386586933285
BUTTERFLY,LADY,0.3067145489107064
KITTEN,LADY,0.2677731870922335
KISS,LADY,0.23010850253832538
KICK,LADY,0.17104028657206416
CAR,LADY,0.165025415315879
RABBIT,LADY,0.16116292053099812
HIT,LADY,0.15682329993118627
HARD,LADY,0.13768516429279365
HUG,LADY,0.11775288770329939
CLEAN,LADY,0.06093664145908706
GENTLE,LADY,0.042423518595482435
BEAR,LADY,0.03816625780664795
BLUE,LADY,0.03160452542112702
DANCE,LADY,0.02263371846731399
BALL,LADY,0.020121644038091357
AUNT,MAN,0.8257210290848362
LADY,MAN,1.0
CUDDLE,MAN,0.41651680921660383
DOLL,MAN,0.5678137858701022
FLOWER,MAN,0.5812197988977812
GIRL,MAN,0.7676281055760596
GRANDMA,MAN,0.8870059463382749
GRANDPA,MAN,0.800415325898373
HAMMER,MAN,0.4531927752611167
BOY,MAN,0.7583112271050745
MAN,MAN,1.0
BROTHER,MAN,0.8392386586933285
LION,MAN,0.3564079740328132
BUTTERFLY,MAN,0.3067145489107064
KITTEN,MAN,0.2677731870922335
LORRY,MAN,0.24376560277562587
KISS,MAN,0.23010850253832538
LOVE,MAN,0.17393069512081238
KICK,MAN,0.17104028657206416
CAR,MAN,0.165025415315879
RABBIT,MAN,0.16116292053099812
HIT,MAN,0.15682329993118627
HARD,MAN,0.13768516429279365
HUG,MAN,0.11775288770329939
CLEAN,MAN,0.06093664145908706
GENTLE,MAN,0.042423518595482435
BEAR,MAN,0.03816625780664795
BLUE,MAN,0.03160452542112702
DANCE,MAN,0.02263371846731399
BALL,MAN,0.020121644038091357
AUNT,GRANDMA,0.7225542442555535
CUDDLE,GRANDMA,0.3364237967351851
DOLL,GRANDMA,0.47918961953775097
FLOWER,GRANDMA,0.49183976588171685
GIRL,GRANDMA,0.6677368766354232
GRANDMA,GRANDMA,1.0
BOY,GRANDMA,0.6589454176884826
BROTHER,GRANDMA,0.7353095947376289
BUTTERFLY,GRANDMA,0.23281315063749686
CAR,GRANDMA,0.09911351987396322
RABBIT,GRANDMA,0.09546884775217812
CLEAN,GRANDMA,0.000893934590679768
AUNT,UNCLE,0.7113925861742125
LADY,UNCLE,0.8747812254899405
CUDDLE,UNCLE,0.32775858275397574
DOLL,UNCLE,0.4696014145848604
FLOWER,UNCLE,0.48216980228435236
GIRL,UNCLE,0.656929706402303
GRANDMA,UNCLE,0.7688478724116274
GRANDPA,UNCLE,0.687668151280745
HAMMER,UNCLE,0.3621429020872098
BOY,UNCLE,0.6481949574955244
MAN,UNCLE,0.8747812254899405
MUMMY,UNCLE,0.6024668266303936
NECKLACE,UNCLE,0.5497994308155545
PRETTY,UNCLE,0.49413962853520976
PURSE,UNCLE,0.604262310587464
SISTER,UNCLE,0.5928910457852414
TROUSERS,UNCLE,0.33189721335278954
BROTHER,UNCLE,0.7240655768453106
UNCLE,UNCLE,1.0
LION,UNCLE,0.2714058358839493
BUTTERFLY,UNCLE,0.22481783653000265
KITTEN,UNCLE,0.1883097963287963
LORRY,UNCLE,0.16580232282721385
KISS,UNCLE,0.15299867863602534
LOVE,UNCLE,0.1003312828211862
KICK,UNCLE,0.09762142461231771
CAR,UNCLE,0.09198248280964383
RABBIT,UNCLE,0.08836145657032901
HIT,UNCLE,0.08429296206358794
PONY,UNCLE,0.15299867863602534
POLICE,UNCLE,0.14427154450495716
HARD,UNCLE,0.06635054660062378
MEAT,UNCLE,0.13555663409279362
HUG,UNCLE,0.04766388700634705
SHOES,UNCLE,0.05843679074876884
SOFT,UNCLE,0.03689098326392526
AUNT,BROTHER,0.6789412175385117
BOY,BROTHER,0.616939309035252
BROTHER,BROTHER,1.0
AUNT,GRANDPA,0.6434944366047879
CUDDLE,GRANDPA,0.2750462998402099
DOLL,GRANDPA,0.4112744369173944
FLOWER,GRANDPA,0.42334525914083687
GIRL,GRANDPA,0.5911873399143699
GRANDMA,GRANDPA,0.6986755099595254
GRANDPA,GRANDPA,1.0
BOY,GRANDPA,0.5827984621359283
BROTHER,GRANDPA,0.655665653634312
BUTTERFLY,GRANDPA,0.17618026017684696
CAR,GRANDPA,0.04860310947362256
RABBIT,GRANDPA,0.04512536125097144
AUNT,GIRL,0.6135587493973305
CUDDLE,GIRL,0.25180580398204655
DOLL,GIRL,0.3855585377867212
FLOWER,GIRL,0.39740993423639215
GIRL,GIRL,1.0
BOY,GIRL,0.5539657150735287
BROTHER,GIRL,0.6255087371535728
BUTTERFLY,GIRL,0.15473645060876118
CAR,GIRL,0.029477598331802968
RABBIT,GIRL,0.026063172980851812
AUNT,BOY,0.6050520429842066
BOY,BOY,1.0
AUNT,PURSE,0.5622666221536268
