source,target,weight
AEROPLANE,AEROPLANE,1.0
AEROPLANE,BEE,0.5296340391174787
BEE,BEE,1.0
BANANA,BEE,0.3742845510932291
APPLE,BEE,0.896433104458108
AEROPLANE,GIRAFFE,0.44989890488848516
EAR,GIRAFFE,0.5744426084249348
FLOWER,GIRAFFE,0.2952935179388234
FISH,GIRAFFE,0.0204396867591079
FINGER,GIRAFFE,0.22228437319320093
EYE,GIRAFFE,0.32105994204564325
ELEPHANT,GIRAFFE,0.5916202244961504
COW,GIRAFFE,0.6989846013841969
DRESS,GIRAFFE,0.033322043523924094
DOG,GIRAFFE,0.7290479953746001
FOOT,GIRAFFE,0.0204396867591079
FRIDGE,GIRAFFE,0.8149394968850387
FROG,GIRAFFE,0.7290479953746001
GIRAFFE,GIRAFFE,1.0
BEE,GIRAFFE,0.9180103250438769
BOAT,GIRAFFE,0.44560364558209287
BIRD,GIRAFFE,0.2523477671836041
COMPUTER,GIRAFFE,0.7762872948590314
BANANA,GIRAFFE,0.2952935179388234
BREAD,GIRAFFE,0.34682807672965055
COFFEE,GIRAFFE,0.06767898624353563
COAT,GIRAFFE,0.37688976014286624
CHOCOLATE,GIRAFFE,0.5744426084249348
CAT,GIRAFFE,0.23516844053520458
CAR,GIRAFFE,0.6989846013841969
BUTTERFLY,GIRAFFE,0.1965179490863811
BUS,GIRAFFE,0.1965179490863811
APPLE,GIRAFFE,0.8149394968850387
AEROPLANE,HAND,0.44150510265173537
EAR,HAND,0.5659855148324162
FLOWER,HAND,0.28697840225248683
FISH,HAND,0.012263127824589048
FINGER,HAND,0.21400689020489239
EYE,HAND,0.31273285231903003
ELEPHANT,HAND,0.5831545780177123
COW,HAND,0.6904659270130935
DRESS,HAND,0.02514035285786065
DOG,HAND,0.7205122152316648
FOOT,HAND,0.012263127824589048
FRIDGE,HAND,0.8063609523125272
FROG,HAND,0.7205122152316648
HAND,HAND,1.0
GRASS,HAND,0.22688411523816399
GIRAFFE,HAND,0.8278235642270424
BEE,HAND,0.9093787525786965
BOAT,HAND,0.4372132644997073
BIRD,HAND,0.24405488900064398
COMPUTER,HAND,0.767729277212716
BANANA,HAND,0.28697840225248683
BREAD,HAND,0.3384873023855697
COFFEE,HAND,0.059480189805643846
COAT,HAND,0.3685335906041409
CHOCOLATE,HAND,0.5659855148324162
CAT,HAND,0.22688411523816399
CAR,HAND,0.6904659270130935
BUTTERFLY,HAND,0.1882524401383492
BUS,HAND,0.1882524401383492
APPLE,HAND,0.8063609523125272
AEROPLANE,FRIDGE,0.42891525458520263
EAR,FRIDGE,0.5533015850208187
FLOWER,FRIDGE,0.2745065840115757
FINGER,FRIDGE,0.2015898104338376
EYE,FRIDGE,0.30024050715192274
ELEPHANT,FRIDGE,0.5704569635886543
COW,FRIDGE,0.6776862048792509
DRESS,FRIDGE,0.012866961570171753
DOG,FRIDGE,0.7077102555944421
FOOT,FRIDGE,0.0
FRIDGE,FRIDGE,1.0
BEE,FRIDGE,0.896433104458108
BOAT,FRIDGE,0.42462683758753883
BIRD,FRIDGE,0.23161386114902882
COMPUTER,FRIDGE,0.7548913954546528
BANANA,FRIDGE,0.2745065840115757
BREAD,FRIDGE,0.32597614086945015
COFFEE,FRIDGE,0.047181139860210664
COAT,FRIDGE,0.3560001915846449
CHOCOLATE,FRIDGE,0.5533015850208187
CAT,FRIDGE,0.2144584825811897
CAR,FRIDGE,0.6776862048792509
BUTTERFLY,FRIDGE,0.17585588729349055
BUS,FRIDGE,0.17585588729349055
APPLE,FRIDGE,0.7934939907423555
AEROPLANE,APPLE,0.42891525458520263
APPLE,APPLE,1.0
AEROPLANE,COMPUTER,0.3911457103855973
BEE,COMPUTER,0.8575961600963389
BOAT,COMPUTER,0.38686584627384946
BIRD,COMPUTER,0.19429590932572438
COMPUTER,COMPUTER,1.0
BANANA,COMPUTER,0.2370894187116619
BREAD,COMPUTER,0.2884409457439112
COFFEE,COMPUTER,0.010283990023914669
COAT,COMPUTER,0.31839657337178906
CHOCOLATE,COMPUTER,0.5152480850088423
CAT,COMPUTER,0.1771781634559133
CAR,COMPUTER,0.639348749054907
BUTTERFLY,COMPUTER,0.13866451818172365
BUS,COMPUTER,0.13866451818172365
APPLE,COMPUTER,0.7548913954546528
AEROPLANE,DOG,0.3449823639492422
COW,DOG,0.5924909082822722
DOG,DOG,1.0
BEE,DOG,0.8101276432693894
BOAT,DOG,0.34071618445495844
BIRD,DOG,0.1486833687422795
COMPUTER,DOG,0.6693043766827813
BANANA,DOG,0.19135713772541152
BREAD,DOG,0.24256668685147886
COAT,DOG,0.2724367856202008
CHOCOLATE,DOG,0.46873749140435095
CAT,DOG,0.13161351903359275
CAR,DOG,0.5924909082822722
BUTTERFLY,DOG,0.09320764012192839
BUS,DOG,0.09320764012192839
APPLE,DOG,0.7077102555944421
AEROPLANE,FROG,0.3449823639492422
EAR,FROG,0.46873749140435095
FLOWER,FROG,0.19135713772541152
FINGER,FROG,0.11881155939637011
EYE,FROG,0.21696105699985324
ELEPHANT,FROG,0.4858073411130377
COW,FROG,0.5924909082822722
DOG,FROG,0.6223627176281816
FRIDGE,FROG,0.7077102555944421
FROG,FROG,1.0
BEE,FROG,0.8101276432693894
BOAT,FROG,0.34071618445495844
BIRD,FROG,0.1486833687422795
COMPUTER,FROG,0.6693043766827813
BANANA,FROG,0.19135713772541152
BREAD,FROG,0.24256668685147886
COAT,FROG,0.2724367856202008
CHOCOLATE,FROG,0.46873749140435095
CAT,FROG,0.13161351903359275
CAR,FROG,0.5924909082822722
BUTTERFLY,FROG,0.09320764012192839
BUS,FROG,0.09320764012192839
APPLE,FROG,0.7077102555944421
AEROPLANE,LION,0.3365902722896763
EAR,LION,0.46028039781182883
FLOWER,LION,0.18304202203907494
FINGER,LION,0.11053407640806157
EYE,LION,0.20863396727323646
ELEPHANT,LION,0.4773416946346032
COW,LION,0.5839722339111653
DOG,LION,0.6138286480624302
FRIDGE,LION,0.6991317110219342
FROG,LION,0.6138286480624302
JACKET,LION,0.3579160380295505
HORSE,LION,0.35364985853526676
HAT,LION,0.18304202203907494
HAND,LION,0.7119285389276051
GRASS,LION,0.1233291937365486
GIRAFFE,LION,0.7204574767618084
BEE,LION,0.8014977813813928
BOAT,LION,0.33232409279539254
BIRD,LION,0.14039049055932296
COMPUTER,LION,0.660744648459282
BANANA,LION,0.18304202203907494
BREAD,LION,0.2342242019302141
COAT,LION,0.2640806160814755
CHOCOLATE,LION,0.46028039781182883
CAT,LION,0.1233291937365486
CAR,LION,0.5839722339111653
BUTTERFLY,LION,0.08494213117390004
BUS,LION,0.08494213117390004
LION,LION,1.0
LAMB,LION,0.4218933352491767
APPLE,LION,0.6991317110219342
AEROPLANE,WATER,0.33239251588270946
EAR,WATER,0.45605185101556955
FLOWER,WATER,0.17888531948450037
FINGER,WATER,0.10639447962531534
EYE,WATER,0.20447042240992985
ELEPHANT,WATER,0.4731097266839761
COW,WATER,0.5797111861484296
DOG,WATER,0.6095607579909625
FRIDGE,WATER,0.6948432940242704
FROG,WATER,0.6095607579909625
JACKET,WATER,0.3537131498910355
HORSE,WATER,0.349450391551116
HAT,WATER,0.17888531948450037
HAND,WATER,0.7076349901983932
GRASS,WATER,0.11918788637661848
GIRAFFE,WATER,0.7161639280325964
BEE,WATER,0.7971819951488008
BOAT,WATER,0.32812975754278995
BIRD,WATER,0.13624405146784468
