source,target,weight
WATER,WATER,1.0
CUDDLE,WATER,0.17364329631101172
MUMMY,WATER,0.02237944121666624
PUPPY,WATER,0.07551148247072925
GOOD,WATER,0.20698624760283013
PRETTY,WATER,0.06710800181257204
LOVE,WATER,0.3411721700400512
PLAY,WATER,0.04189731918859718
MUSIC,WATER,0.1579204610074405
HAPPY,WATER,0.23138377555487155
CHOCOLATE,WATER,0.11942688839470184
HUG,WATER,0.22162471624415425
NICE,WATER,0.010993831912578855
KISS,WATER,0.14246883769418295
SMILE,WATER,0.24791976553037576
FLOWER,WATER,0.08120428712277272
FOOD,WATER,0.058975492495225046
SUN,WATER,0.021837257885542583
SLEEP,WATER,0.10017998176358067
CUDDLE,CUDDLE,1.0
BUTTERFLY,CUDDLE,0.2441791096497803
CAKE,CUDDLE,0.263078759047519
CLEAN,CUDDLE,0.24316669718904538
CHOCOLATE,CUDDLE,0.4932482172083166
BED,CUDDLE,0.22325463533057177
BOOK,CUDDLE,0.14191895357895135
BROTHER,CUDDLE,0.09062018024166485
BABY,CUDDLE,0.07644544319336122
BATH,CUDDLE,0.06092090308057818
CUDDLE,LOVE,0.7693169957989818
DOG,LOVE,0.41022774828350705
GENTLE,LOVE,0.4643524687390279
GIVE,LOVE,0.4087345181150117
DANCE,LOVE,0.3400521872513038
GOOD,LOVE,0.8152295519515351
LOVE,LOVE,1.0
LIKE,LOVE,0.5237028931605245
BUTTERFLY,LOVE,0.41918616669646713
LIGHT,LOVE,0.4553938096765646
GRANDMA,LOVE,0.5278088549872564
KITTEN,LOVE,0.352370313381003
CAKE,LOVE,0.44008946385937775
CLEAN,LOVE,0.418066424557223
HAPPY,LOVE,0.8488242226238927
CHOCOLATE,LOVE,0.6946622255602981
BED,LOVE,0.396043385255068
HUG,LOVE,0.83538635435495
GARDEN,LOVE,0.31728265318965265
KISS,LOVE,0.7263904186844123
BOOK,LOVE,0.30608426919919784
FLOWER,LOVE,0.64203049462377
FOOD,LOVE,0.6114220436388997
FAST,LOVE,0.3105637190551811
GRANDPA,LOVE,0.28891368648327087
DINNER,LOVE,0.27846203790181545
FINISH,LOVE,0.25718549335915664
BROTHER,LOVE,0.24934681708544093
BABY,LOVE,0.2336692238885063
LADY,LOVE,0.2250840528552942
BATH,LOVE,0.2164986411725791
EAT,LOVE,0.20940645965835958
GIRL,LOVE,0.19858156369715596
DRESS,LOVE,0.15042928261661093
LIPS,LOVE,0.14893605244811536
BISCUIT,LOVE,0.13997763403515573
BIRD,LOVE,0.11683461194425315
BALLOON,LOVE,0.09107861754561108
AUNT,LOVE,0.08883913326712278
ANIMAL,LOVE,0.08883913326712278
LAMB,LOVE,0.08659940833913105
CHIPS,LOVE,0.08435992406064274
CAREFUL,LOVE,0.06681585331546436
APPLE,LOVE,0.06681585331546436
HOUSE,LOVE,0.0600969191809928
HORSE,LOVE,0.036207402330594274
CHEESE,LOVE,0.024262764230146727
CAR,LOVE,0.0227697747111546
DRAW,LOVE,0.0227697747111546
KEY,LOVE,0.011944638100447547
GRASS,LOVE,0.011944638100447547
HEAD,LOVE,0.0011197421392441509
CUDDLE,SMILE,0.6532194932835926
SING,SMILE,0.3779549653332357
DOG,SMILE,0.3132907592275249
GENTLE,SMILE,0.3645274449929381
MUMMY,SMILE,0.45604669177924473
GIVE,SMILE,0.31187718404464926
PUPPY,SMILE,0.5253046562550461
DANCE,SMILE,0.2468597044679708
GOOD,SMILE,0.696682478141204
PRETTY,SMILE,0.5143505315105257
LOVE,SMILE,0.8715937566855438
PLEASE,SMILE,0.27936856458106174
LIKE,SMILE,0.4207111625994093
BUTTERFLY,SMILE,0.3217712477267647
PLAY,SMILE,0.4814883979264677
LIGHT,SMILE,0.35604695649369833
SKY,SMILE,0.24791976553037576
GRANDMA,SMILE,0.42459789272855875
PIZZA,SMILE,0.3012765734205993
MUSIC,SMILE,0.6327248189774273
KITTEN,SMILE,0.2585203761544259
CAKE,SMILE,0.34155913444149233
PARTY,SMILE,0.3104638495112768
CLEAN,SMILE,0.3207111866643595
MEDICINE,SMILE,0.3500398635902353
HAPPY,SMILE,0.728484550662857
OUTSIDE,SMILE,0.2468597044679708
CHOCOLATE,SMILE,0.5825481942744188
BED,SMILE,0.2998632388872269
HUG,SMILE,0.7157635772644939
NICE,SMILE,0.4412058369055747
GARDEN,SMILE,0.22530496909940045
KISS,SMILE,0.6125836587917326
BOOK,SMILE,0.21470435847535052
SMILE,SMILE,1.0
FLOWER,SMILE,0.5327250836918811
FOOD,SMILE,0.5037499208864757
FAST,SMILE,0.21894460272497063
SLEEP,SMILE,0.5574600022476663
GRANDPA,SMILE,0.19844992841880527
DINNER,SMILE,0.18855586473668984
FINISH,SMILE,0.1684144639014915
BROTHER,SMILE,0.1609940364646567
BABY,SMILE,0.1461531815909869
LADY,SMILE,0.13802596656271415
BATH,SMILE,0.1298987515344412
EAT,SMILE,0.12318487103954068
GIRL,SMILE,0.112937533886458
READ,SMILE,0.19597629217352486
PARK,SMILE,0.17936858864601213
OPEN,SMILE,0.1786618010545744
DRESS,SMILE,0.06735466755354014
LIPS,SMILE,0.06594109237066492
BISCUIT,SMILE,0.05746060387142471
MOON,SMILE,0.1298987515344412
PLANT,SMILE,0.11823807984798651
BIRD,SMILE,0.035552595031887346
BALLOON,SMILE,0.011170949947069131
AUNT,SMILE,0.009050827822259189
ANIMAL,SMILE,0.009050827822259189
LAMB,SMILE,0.006930705697449024
CHIPS,SMILE,0.004810583572639082
PENGUIN,SMILE,0.08184224895624292
SISTER,SMILE,0.07760200470662304
PILLOW,SMILE,0.05746060387142471
PEOPLE,SMILE,0.05392714721324254
CUDDLE,HAPPY,0.6326326502176314
DOG,HAPPY,0.29610140585033373
GENTLE,HAPPY,0.34682598947254695
GIVE,HAPPY,0.2947020289881579
DANCE,HAPPY,0.23033430307061553
GOOD,HAPPY,0.675661022072132
BUTTERFLY,HAPPY,0.3044971857243828
GRANDMA,HAPPY,0.40629601669722515
CAKE,HAPPY,0.3240872585473289
CLEAN,HAPPY,0.30344771324012654
HAPPY,HAPPY,1.0
CHOCOLATE,HAPPY,0.5626676575008887
BED,HAPPY,0.28280792728342097
GARDEN,HAPPY,0.20899494900757332
BOOK,HAPPY,0.19850022416501245
FLOWER,HAPPY,0.5133424507408515
FOOD,HAPPY,0.4846567892880169
FAST,HAPPY,0.20269811410203675
GRANDPA,HAPPY,0.18240823252325078
DINNER,HAPPY,0.17261331643652955
FINISH,HAPPY,0.1526733392356634
BROTHER,HAPPY,0.14532679119636738
BABY,HAPPY,0.13063417641678177
BATH,HAPPY,0.11454242542452375
EAT,HAPPY,0.10789568614106737
GIRL,HAPPY,0.09775086567642588
DRESS,HAPPY,0.05262330820390981
BISCUIT,HAPPY,0.04282839211718881
BIRD,HAPPY,0.021139133676226773
CUDDLE,HUG,0.6204829787403008
DOG,HUG,0.2859568260351961
GENTLE,HUG,0.33637915388115913
GIVE,HUG,0.2845658719056383
DANCE,HUG,0.22058150064698623
GOOD,HUG,0.6632548182241944
BUTTERFLY,HUG,0.294302550812541
GRANDMA,HUG,0.3954949450368568
CAKE,HUG,0.3137759086263461
CLEAN,HUG,0.29325933521537295
HAPPY,HUG,0.6945515267887417
CHOCOLATE,HUG,0.5509347909634186
BED,HUG,0.27274252115489617
HUG,HUG,1.0
GARDEN,HUG,0.19936945017123398
BOOK,HUG,0.18893729419955285
FLOWER,HUG,0.5019034172470129
FOOD,HUG,0.47338861694158085
FAST,HUG,0.1931101565882254
GRANDPA,HUG,0.17294108106013795
DINNER,HUG,0.1632044021532355
FINISH,HUG,0.14338330580704106
BROTHER,HUG,0.13608079662686423
BABY,HUG,0.12147553761700691
BATH,HUG,0.10547956512709544
EAT,HUG,0.0988725330116973
GIRL,HUG,0.08878811557240529
DRESS,HUG,0.04392960424467218
BISCUIT,HUG,0.03419292533776952
BIRD,HUG,0.012632895680124712
CUDDLE,GOOD,0.6022583511995534
DOG,GOOD,0.27073983598773754
GENTLE,GOOD,0.3207087801693258
GIVE,GOOD,0.26936139563235595
DANCE,GOOD,0.20595241733629388
GOOD,GOOD,1.0
BUTTERFLY,GOOD,0.2790107187695301
CAKE,GOOD,0.29830888374487197
CLEAN,GOOD,0.27797688850299385
CHOCOLATE,GOOD,0.5333356114819654
BED,GOOD,0.2576446526116125
GARDEN,GOOD,0.18493096126722164
BOOK,GOOD,0.17459265860186002
FLOWER,GOOD,0.48474510765575873
