source,target,weight
DANCE,DANCE,1.0
BOOTS,DANCE,0.42981585341241146
BICYCLE,DANCE,0.5857666887157984
BATH,DANCE,0.3159423223516389
COLD,DANCE,0.20959543276938364
CHAIR,DANCE,0.17056886959962125
BED,DANCE,0.12968409868223252
CAR,DANCE,0.11202932487852135
CUDDLE,DANCE,0.07495417987731035
ASLEEP,DANCE,0.06841164842229341
BUMP,DANCE,0.023755255837602407
DANCE,RUN,0.8366789407055708
KICK,RUN,0.9174219677759974
HURRY,RUN,0.6819216388392222
BOOTS,RUN,0.5569622683816049
GO,RUN,0.45314986215458886
KNEE,RUN,0.7043501463463615
LEG,RUN,0.7761217704139323
BICYCLE,RUN,0.7267788538758633
TROUSERS,RUN,0.7940645764196437
RUN,RUN,1.0
FOOT,RUN,0.8271172717109774
JUMP,RUN,0.9577934813112106
BATH,RUN,0.4329642053981635
DOWNSTAIRS,RUN,0.3384098342194657
COLD,RUN,0.3171616586734396
PYJAMAS,RUN,0.30704352746637076
JUMPER,RUN,0.2959134831274135
CHAIR,RUN,0.2746653075813874
FAST,RUN,0.2746653075813874
GRASS,RUN,0.2746653075813874
BED,RUN,0.23014553027028417
FALL,RUN,0.2109209809656718
PLAY,RUN,0.2109209809656718
RIDE,RUN,0.2109209809656718
CAR,RUN,0.2109209809656718
HOT,RUN,0.2109209809656718
CUDDLE,RUN,0.17054946743045885
OUCH,RUN,0.16842462987361984
ASLEEP,RUN,0.16342507092292902
PUSH,RUN,0.14717645432759374
OUTSIDE,RUN,0.13967721591273885
BUMP,RUN,0.11479843446497306
NAP,RUN,0.11479843446497306
HURT,RUN,0.10999229713882008
HORSE,RUN,0.08980644036003227
ROAD,RUN,0.06962078360360668
PARK,RUN,0.06962078360360668
BRING,RUN,0.06218395216585204
CLEAN,RUN,0.06218395216585204
BATHROOM,RUN,0.06218395216585204
HOUSE,RUN,0.03790023724652403
ME,RUN,0.03149212081910768
DANCE,WALK,0.8340180432172315
STAIRS,WALK,0.633514026868204
KICK,WALK,0.9146440572055956
HURRY,WALK,0.6794849664192455
BOOTS,WALK,0.5547066161996912
GO,WALK,0.4510446267892749
KNEE,WALK,0.7018810703036598
LEG,WALK,0.7735486827427307
BICYCLE,WALK,0.7242771741880742
TROUSERS,WALK,0.791465485841317
RUN,WALK,0.997102476056823
FOOT,WALK,0.824470375788013
SOCK,WALK,0.9549571642109587
JUMP,WALK,0.9549571642109587
BATH,WALK,0.43088797327541206
SWIM,WALK,0.633514026868204
WALK,WALK,1.0
UPSTAIRS,WALK,0.4425576779483946
TOE,WALK,0.713079122245867
DOWNSTAIRS,WALK,0.3364708174373896
COLD,WALK,0.3152534453351885
PYJAMAS,WALK,0.3051499157605819
JUMPER,WALK,0.2940360732329874
CHAIR,WALK,0.2728187011307863
FAST,WALK,0.2728187011307863
GRASS,WALK,0.2728187011307863
TIRED,WALK,0.23038395692638436
BED,WALK,0.2283631309980454
FALL,WALK,0.20916658482418327
PLAY,WALK,0.20916658482418327
RIDE,WALK,0.20916658482418327
CAR,WALK,0.20916658482418327
HOT,WALK,0.20916658482418327
SLIDE,WALK,0.20916658482418327
CUDDLE,WALK,0.1688534778188202
OUCH,WALK,0.1667318406197813
ASLEEP,WALK,0.1617394824741405
PUSH,WALK,0.1455144685175802
OUTSIDE,WALK,0.13802583128793788
STOP,WALK,0.13237980006164696
BUMP,WALK,0.11318325388778439
NAP,WALK,0.11318325388778439
HURT,WALK,0.10838391732195651
SOFA,WALK,0.10307972431317824
SNOW,WALK,0.09922189300763828
HORSE,WALK,0.0882274638304561
ROAD,WALK,0.0680710103389559
PARK,WALK,0.0680710103389559
BRING,WALK,0.06064498010877628
CLEAN,WALK,0.06064498010877628
BATHROOM,WALK,0.06064498010877628
TOWEL,WALK,0.05559321532147288
HOUSE,WALK,0.03639646912524808
ME,WALK,0.029997553726506476
UP,WALK,0.027757903333592626
TICKLE,WALK,0.007601449842092212
DANCE,JUMP,0.797918607300296
HURRY,JUMP,0.6464268705241245
BOOTS,JUMP,0.5241041948489842
GO,JUMP,0.4224824335360693
BICYCLE,JUMP,0.6903375797414151
FOOT,JUMP,0.7885587608694651
JUMP,JUMP,1.0
BATH,JUMP,0.40272262438940687
DOWNSTAIRS,JUMP,0.31016347627664764
COLD,JUMP,0.289363750867347
CHAIR,JUMP,0.24776410002638283
FAST,JUMP,0.24776410002638283
GRASS,JUMP,0.24776410002638283
BED,JUMP,0.2041836277295801
FALL,JUMP,0.185364723776118
CAR,JUMP,0.185364723776118
HOT,JUMP,0.185364723776118
CUDDLE,JUMP,0.14584510548279295
ASLEEP,JUMP,0.13887112579186356
BUMP,JUMP,0.0912704040311707
HURT,JUMP,0.08656567804280524
HORSE,JUMP,0.06680586889614237
BRING,JUMP,0.03976604584392529
CLEAN,JUMP,0.03976604584392529
BATHROOM,JUMP,0.03976604584392529
HOUSE,JUMP,0.01599498823968526
DANCE,SOCK,0.797918607300296
KICK,SOCK,0.8769578438869465
HURRY,SOCK,0.6464268705241245
BOOTS,SOCK,0.5241041948489842
GO,SOCK,0.4224824335360693
KNEE,SOCK,0.6683821251215885
LEG,SOCK,0.7386391798603082
BICYCLE,SOCK,0.6903375797414151
TROUSERS,SOCK,0.7562035435561696
RUN,SOCK,0.9577934813112106
FOOT,SOCK,0.7885587608694651
SOCK,SOCK,1.0
JUMP,SOCK,0.9164774621802716
BATH,SOCK,0.40272262438940687
DOWNSTAIRS,SOCK,0.31016347627664764
COLD,SOCK,0.289363750867347
PYJAMAS,SOCK,0.27945904352106576
JUMPER,SOCK,0.2685638254356837
CHAIR,SOCK,0.24776410002638283
FAST,SOCK,0.24776410002638283
GRASS,SOCK,0.24776410002638283
BED,SOCK,0.2041836277295801
FALL,SOCK,0.185364723776118
PLAY,SOCK,0.185364723776118
RIDE,SOCK,0.185364723776118
CAR,SOCK,0.185364723776118
HOT,SOCK,0.185364723776118
SLIDE,SOCK,0.185364723776118
CUDDLE,SOCK,0.14584510548279295
OUCH,SOCK,0.14376507293515406
ASLEEP,SOCK,0.13887112579186356
PUSH,SOCK,0.1229653475258532
OUTSIDE,SOCK,0.11562412677737366
BUMP,SOCK,0.0912704040311707
NAP,SOCK,0.0912704040311707
HURT,SOCK,0.08656567804280524
SNOW,SOCK,0.07758387387709953
HORSE,SOCK,0.06680586889614237
ROAD,SOCK,0.04704605974947995
PARK,SOCK,0.04704605974947995
BRING,SOCK,0.03976604584392529
CLEAN,SOCK,0.03976604584392529
BATHROOM,SOCK,0.03976604584392529
HOUSE,SOCK,0.01599498823968526
ME,SOCK,0.00972188690695619
DANCE,KICK,0.7608434622990852
KICK,KICK,1.0
HURRY,KICK,0.6124752747357154
BOOTS,KICK,0.4926746810293392
GO,KICK,0.393148153963613
BICYCLE,KICK,0.6554804827179679
FOOT,KICK,0.7516766374480666
JUMP,KICK,0.8769578438869465
BATH,KICK,0.37379579036936317
DOWNSTAIRS,KICK,0.2831452556395806
COLD,KICK,0.26277417815311765
JUMPER,KICK,0.24240330068901694
CHAIR,KICK,0.22203242322491645
FAST,KICK,0.22203242322491645
GRASS,KICK,0.22203242322491645
BED,KICK,0.17935045138046424
FALL,KICK,0.16091959081025253
CAR,KICK,0.16091959081025253
HOT,KICK,0.16091959081025253
CUDDLE,KICK,0.12221486362175282
ASLEEP,KICK,0.11538449998709854
BUMP,KICK,0.06876528795919379
HURT,KICK,0.0641575728166408
HORSE,KICK,0.044805209222391174
BRING,KICK,0.018323048516824203
CLEAN,KICK,0.018323048516824203
BATHROOM,KICK,0.018323048516824203
DANCE,FOOT,0.6779123906052698
BOOTS,FOOT,0.42237202119196926
BICYCLE,FOOT,0.5775111657483307
FOOT,FOOT,1.0
BATH,FOOT,0.30909135641364704
DOWNSTAIRS,FOOT,0.22270949892197933
