source,target,weight
ZIP,ZIP,1.0
HUG,ZIP,0.06757556984512703
CARRY,ZIP,0.2917555404721499
FINGER,ZIP,0.22525240582710038
SWIM,ZIP,0.06046245856529131
JACKET,ZIP,0.038292721643570005
DOOR,ZIP,0.06046245856529131
PEN,ZIP,0.09117344816525219
PUT,ZIP,0.019146360821785002
CATCH,ZIP,0.10077067988492838
PUSH,ZIP,0.1612331384502197
CLEAN,ZIP,0.020153984073982834
CUDDLE,ZIP,0.15317164608929512
HAND,ZIP,0.1612331384502197
DRAW,ZIP,0.021273762376613492
BUTTON,ZIP,0.08836830604606871
FORK,ZIP,0.17231800691108012
WIPE,ZIP,0.07658569645881186
TOUCH,ZIP,0.3446362669938319
THROW,ZIP,0.22627623206626835
WASH,ZIP,0.06046245856529131
ARM,ZIP,0.3224665300721108
TICKLE,ZIP,0.042547524753227206
DOG,DOG,1.0
CARRY,DOG,0.2917555404721499
CATCH,DOG,0.10077067988492838
CLEAN,DOG,0.020153984073982834
CUDDLE,DOG,0.15317164608929512
BUTTON,DOG,0.08836830604606871
ARM,DOG,0.3224665300721108
DOG,TOUCH,0.3446362669938319
HUG,TOUCH,0.6261689885462602
TAKE,TOUCH,0.5077973077218121
CAR,TOUCH,0.3718296893912716
CARRY,TOUCH,0.928649387362531
FINGER,TOUCH,0.8389182582092811
DROP,TOUCH,0.2902491690272815
DRAWER,TOUCH,0.27665233124272604
SWIM,TOUCH,0.6165712504832412
JACKET,TOUCH,0.586658511163225
SPOON,TOUCH,0.31355792529866044
PUPPY,TOUCH,0.48332320224694936
SOAP,TOUCH,0.4058215306809887
DOOR,TOUCH,0.6165712504832412
PEN,TOUCH,0.658009123800694
BATH,TOUCH,0.3799876401590021
DANCE,TOUCH,0.35415400280868625
SCISSORS,TOUCH,0.3799876401590021
CUP,TOUCH,0.43165542120297573
PUT,TOUCH,0.5608246206412382
CATCH,TOUCH,0.6709583484497919
PUSH,TOUCH,0.7525388688137817
CLEAN,TOUCH,0.5621844056883623
PULL,TOUCH,0.5349907301192514
BOTTLE,TOUCH,0.3446362669938319
CUDDLE,TOUCH,0.7416616011234747
COMB,TOUCH,0.48332320224694936
COLD,TOUCH,0.2902491690272815
HAND,TOUCH,0.7525388688137817
HOT,TOUCH,0.317442591424721
DRAW,TOUCH,0.5636950810516446
BUTTON,TOUCH,0.654223954141496
FORK,TOUCH,0.7674954916454615
BALL,TOUCH,0.4857835245496771
TOUCH,TOUCH,1.0
THROW,TOUCH,0.8402998160201465
BROOM,TOUCH,0.5115055131929025
ARM,TOUCH,0.9700870075083121
BRUSH,TOUCH,0.3446362669938319
TICKLE,TOUCH,0.5923994319840378
HIT,TOUCH,0.48332320224694936
PAPER,TOUCH,0.2508184407207392
PHONE,TOUCH,0.2508184407207392
FISH,TOUCH,0.23586207106073087
KEY,TOUCH,0.2310632020292216
PLAY,TOUCH,0.2249848033704238
SOFT,TOUCH,0.21924388254961058
BICYCLE,TOUCH,0.21924388254961058
BAG,TOUCH,0.2086686486632916
GIVE,TOUCH,0.1905395316172176
BRING,TOUCH,0.18147497309418048
COMPUTER,TOUCH,0.18147497309418048
TOOTHBRUSH,TOUCH,0.13313108292410236
SPLASH,TOUCH,0.1270881282993015
GARDEN,TOUCH,0.0998944527301906
OPEN,TOUCH,0.09581535076048953
PEEKABOO,TOUCH,0.08876983631691937
BOOK,TOUCH,0.08876983631691937
SANDWICH,TOUCH,0.07572238105931572
DIRTY,TOUCH,0.0727010303327511
TIRED,TOUCH,0.0727010303327511
ANIMAL,TOUCH,0.06998171341017412
FLOWER,TOUCH,0.06998171341017412
HORSE,TOUCH,0.06998171341017412
RADIO,TOUCH,0.06752113793577497
BLOCK,TOUCH,0.052758950947735306
ME,TOUCH,0.04701828329859392
TEDDY,TOUCH,0.045507354763640206
BUMP,TOUCH,0.04291766173682343
CARDIGAN,TOUCH,0.04291766173682343
SNOW,TOUCH,0.01831393236620049
BED,TOUCH,0.01831393236620049
DOG,THROW,0.22627623206626835
HUG,THROW,0.49005022672789034
