source,target,weight
YOU,YOU,1.0
OUCH,YOU,0.5054375182252977
ME,YOU,0.46878458053244976
COLD,YOU,0.26057557616958604
SAD,YOU,0.19852920720930234
LOVE,YOU,0.5692691407906632
HAPPY,YOU,0.6090330630168503
SLEEP,YOU,0.2596787464157331
CRY,YOU,0.38536100049454713
I,YOU,0.4025664821837893
HURT,YOU,0.4102134518859142
SLEEPY,YOU,0.6314001691988114
SORRY,YOU,0.177477624788126
THIRSTY,YOU,0.6269268280186346
HUNGRY,YOU,0.6149722335023653
TIRED,YOU,0.5848522832733145
NAP,YOU,0.1574285463252294
ASLEEP,YOU,0.1287267919533095
LIKE,YOU,0.1233452130085746
TICKLE,YOU,0.09458741928582226
MEDICINE,YOU,0.054326548102077155
JUMP,YOU,0.012574429764580453
PLAY,YOU,0.0051185942769012005
OUCH,OUCH,1.0
ME,OUCH,0.6616532128860884
COLD,OUCH,0.4261300285060168
LOVE,OUCH,0.7753198295843342
HAPPY,OUCH,0.82030021481084
CRY,OUCH,0.5672855479117433
I,OUCH,0.5867482145962895
HURT,OUCH,0.5953982886783098
HUNGRY,OUCH,0.8270187325539995
NAP,OUCH,0.30945169698162034
ASLEEP,OUCH,0.27698449851485707
LIKE,OUCH,0.27089702389017556
MEDICINE,OUCH,0.19282380087297302
JUMP,OUCH,0.1455944364132491
GOOD,OUCH,0.11781252795713137
HUG,OUCH,0.11185914749336967
HURRY,OUCH,0.08425756566260811
DOWN,OUCH,0.055633665960237
CAREFUL,OUCH,0.0331434733469842
ARM,OUCH,0.029054402001085
DRINK,OUCH,0.029054402001085
DANCE,OUCH,0.021306561467462126
NOW,OUCH,0.021306561467462126
EAT,OUCH,0.0
OUCH,SLEEPY,0.8456017815710193
ME,SLEEPY,0.8006746337278037
COLD,SLEEPY,0.545463024135548
SAD,SLEEPY,0.4694098195753056
LOVE,SLEEPY,0.9238429225001796
HAPPY,SLEEPY,0.9725835481675231
SLEEP,SLEEPY,0.5443636521565443
CRY,SLEEPY,0.6984184294211395
I,SLEEPY,0.7195080385446659
HURT,SLEEPY,0.7288812203929598
SLEEPY,SLEEPY,1.0
HUNGRY,SLEEPY,0.9798634601216976
NAP,SLEEPY,0.41903104359881493
ASLEEP,SLEEPY,0.3838499394274657
LIKE,SLEEPY,0.3772535074129053
MEDICINE,SLEEPY,0.2926539015696821
JUMP,SLEEPY,0.24147656484383329
PLAY,SLEEPY,0.23233774756634107
GOOD,SLEEPY,0.2113720254362612
HUG,SLEEPY,0.2049210955933254
HURRY,SLEEPY,0.17501229363258863
DOWN,SLEEPY,0.14399551364968466
CAREFUL,SLEEPY,0.11962540095655161
ARM,SLEEPY,0.11519428943003751
DRINK,SLEEPY,0.11519428943003751
DANCE,SLEEPY,0.10679879411322624
NOW,SLEEPY,0.10679879411322624
EAT,SLEEPY,0.08371138213253326
HOT,SLEEPY,0.05654950906526546
FALL,SLEEPY,0.04651466259607484
KISS,SLEEPY,0.04651466259607484
RUN,SLEEPY,0.04651466259607484
CUDDLE,SLEEPY,0.03753615789007014
OLD,SLEEPY,0.007522282146523285
OUCH,THIRSTY,0.8405414281908756
ME,THIRSTY,0.795737366778952
COLD,THIRSTY,0.5412250482288661
SAD,THIRSTY,0.46538018996939656
LOVE,THIRSTY,0.9185684187436416
HAPPY,THIRSTY,0.9671753505311429
SLEEP,THIRSTY,0.5401286783579429
CRY,THIRSTY,0.6937613592264487
I,THIRSTY,0.7147931277342949
HURT,THIRSTY,0.724140691593637
SLEEPY,THIRSTY,0.9945167496616123
SORRY,THIRSTY,0.4396471202078096
THIRSTY,THIRSTY,1.0
HUNGRY,THIRSTY,0.9744354485719873
NAP,THIRSTY,0.4151395109645992
ASLEEP,THIRSTY,0.3800546743923583
LIKE,THIRSTY,0.37347645516681793
MEDICINE,THIRSTY,0.2891086120673936
JUMP,THIRSTY,0.23807137371862508
PLAY,THIRSTY,0.2289575740084684
GOOD,THIRSTY,0.20804949235353054
HUG,THIRSTY,0.2016161748779992
HURRY,THIRSTY,0.17178923039758498
DOWN,THIRSTY,0.1408575101436227
CAREFUL,THIRSTY,0.11655404424987204
ARM,THIRSTY,0.11213514129621815
DRINK,THIRSTY,0.11213514129621815
DANCE,THIRSTY,0.10376266214135543
NOW,THIRSTY,0.10376266214135543
EAT,THIRSTY,0.08073829443034874
HOT,THIRSTY,0.05365087364347221
FALL,THIRSTY,0.0436436465686203
KISS,THIRSTY,0.0436436465686203
RUN,THIRSTY,0.0436436465686203
CUDDLE,THIRSTY,0.03468975914887418
OLD,THIRSTY,0.004758141166727237
OUCH,TIRED,0.7929474076696654
ME,TIRED,0.7493009591335034
COLD,TIRED,0.5013650585441096
SAD,TIRED,0.4274799764394557
LOVE,TIRED,0.8689581824357062
HAPPY,TIRED,0.9163090322024126
SLEEP,TIRED,0.5002969084891411
CRY,TIRED,0.6499598017728048
I,TIRED,0.6704481887181177
HURT,TIRED,0.6795541829472656
SLEEPY,TIRED,0.9429439352313194
SORRY,TIRED,0.4024117735473849
THIRSTY,TIRED,0.9376169946536457
HUNGRY,TIRED,0.9233815985585079
TIRED,TIRED,1.0
NAP,TIRED,0.37853720882803876
ASLEEP,TIRED,0.34435920903658523
LIKE,TIRED,0.3379507089878513
TICKLE,TIRED,0.30370586225647656
MEDICINE,TIRED,0.2557629967763362
JUMP,TIRED,0.20604448443697154
PLAY,TIRED,0.19716625014084865
GOOD,TIRED,0.17679834779982495
HUG,TIRED,0.17053114697140304
HURRY,TIRED,0.14147494370546987
DOWN,TIRED,0.11134258476302028
CAREFUL,TIRED,0.08766695973912864
ARM,TIRED,0.0833623370330645
DRINK,TIRED,0.0833623370330645
DANCE,TIRED,0.07520620980052173
NOW,TIRED,0.07520620980052173
EAT,TIRED,0.05277685991102943
HOT,TIRED,0.026389330587938575
FALL,TIRED,0.016640484948530654
KISS,TIRED,0.016640484948530654
RUN,TIRED,0.016640484948530654
CUDDLE,TIRED,0.007917959991505796
OUCH,SLEEP,0.4251155161154163
ME,SLEEP,0.39041635036122346
COLD,SLEEP,0.1933057392901294
SAD,SLEEP,0.1345666927316358
LOVE,SLEEP,0.4855445493825763
HAPPY,SLEEP,0.5231887831635373
SLEEP,SLEEP,1.0
CRY,SLEEP,0.31143949281185224
I,SLEEP,0.3277279305528342
HURT,SLEEP,0.33496721397765494
HUNGRY,SLEEP,0.5288115314573893
NAP,SLEEP,0.09565697032456177
ASLEEP,SLEEP,0.06848529037089834
LIKE,SLEEP,0.06339051281810071
OUCH,SAD,0.3559439438373626
ME,SAD,0.3229273595919053
COLD,SAD,0.13537466008631238
SAD,SAD,1.0
LOVE,SAD,0.4134427194776171
HAPPY,SAD,0.44926167154575936
CRY,SAD,0.2477801912502957
I,SAD,0.2632786742850828
HURT,SAD,0.270166911205048
HUNGRY,SAD,0.4546118284259204
NAP,SAD,0.04246081598498441
ASLEEP,SAD,0.016606661197492656
LIKE,SAD,0.011758857069433803
OUCH,SORRY,0.3321308222633932
ME,SORRY,0.2996934447368942
COLD,SORRY,0.1154312558278423
SAD,SORRY,0.06052089777441694
LOVE,SORRY,0.38862088958866914
HAPPY,SORRY,0.4238114003653364
SLEEP,SORRY,0.11463729831087366
CRY,SORRY,0.22586460212361104
I,SORRY,0.24109129430686216
HURT,SORRY,0.24785864634146093
SLEEPY,SORRY,0.44360610020356295
SORRY,SORRY,1.0
HUNGRY,SORRY,0.42906749119231513
NAP,SORRY,0.024147356273575227
OUCH,TICKLE,0.23836658101318742
ME,TICKLE,0.20821000506555687
COLD,TICKLE,0.03690351364728306
LOVE,TICKLE,0.29088465920769546
HAPPY,TICKLE,0.3236008325045845
SLEEP,TICKLE,0.03616559548114662
CRY,TICKLE,0.13957220760417965
I,TICKLE,0.15372834804599766
HURT,TICKLE,0.16001976587960032
SLEEPY,TICKLE,0.3420037550367867
THIRSTY,TICKLE,0.3383231705303462
HUNGRY,TICKLE,0.32848746389714845
OUCH,PLAY,0.1371607142535487
ME,PLAY,0.10946586693175941
LOVE,PLAY,0.1853915819688583
HAPPY,PLAY,0.21543707991751804
CRY,PLAY,0.046431203991442516
I,PLAY,0.05943153282234781
HURT,PLAY,0.06520959017422023
HUNGRY,PLAY,0.21992483121647988
OUCH,WALK,0.02255984152071555
LOVE,WALK,0.06593610032965125
HAPPY,WALK,0.09295747473876137
SLEEPY,WALK,0.10815694780875118
THIRSTY,WALK,0.10511701316664546
HUNGRY,WALK,0.09699350884190872
TIRED,WALK,0.07652553623154179
OUCH,TUMMY,0.021306561467462126
LOVE,TUMMY,0.0646297830336462
HAPPY,TUMMY,0.0916179341133343
SLEEPY,TUMMY,0.10679879411322624
THIRSTY,TUMMY,0.10376266214135543
HUNGRY,TUMMY,0.0956491648435529
TIRED,TUMMY,0.07520620980052173
ME,ME,1.0
COLD,ME,0.3914062454655658
LOVE,ME,0.7321022822225765
HAPPY,ME,0.7759884991240851
CRY,ME,0.5291283539301295
I,ME,0.5481174881001438
HURT,ME,0.5565572144760049
HUNGRY,ME,0.7825435020471374
ASLEEP,ME,0.2458886630191719
LIKE,ME,0.23994909225257977
JUMP,ME,0.11769444503930648
GOOD,ME,0.09058821104179349
HUG,ME,0.08477973232804037
HURRY,ME,0.057849622004571444
DOWN,ME,0.029922011236289903
CAREFUL,ME,0.00797880271526652
ARM,ME,0.00398920121709434
DRINK,ME,0.00398920121709434
ME,NAP,0.27756590677974047
COLD,NAP,0.09643731828489943
LOVE,NAP,0.36498088958066344
HAPPY,NAP,0.399572980146659
CRY,NAP,0.2049927459061751
I,NAP,0.21996045623236626
HURT,NAP,0.22661272745722028
HUNGRY,NAP,0.4047398082933835
NAP,NAP,1.0
ME,MEDICINE,0.16377500280697088
LOVE,MEDICINE,0.2434127244150841
HAPPY,MEDICINE,0.2749270537771622
CRY,MEDICINE,0.09765877599250183
I,MEDICINE,0.11129475117427434
HURT,MEDICINE,0.11735520682623313
HUNGRY,MEDICINE,0.27963415910652456
COLD,COLD,1.0
ASLEEP,COLD,0.06924622469898334
COLD,HUNGRY,0.5298998957067651
HAPPY,HUNGRY,0.9527228019515304
CRY,HUNGRY,0.6813162202498595
HUNGRY,HUNGRY,1.0
ASLEEP,HUNGRY,0.3699127527349704
GOOD,HUNGRY,0.1991700572141757
HUG,HUNGRY,0.19278417304631312
DOWN,HUNGRY,0.13247142143212942
CAREFUL,HUNGRY,0.10834648089888699
ARM,HUNGRY,0.10396000071250011
DRINK,HUNGRY,0.10396000071250011
DANCE,HUNGRY,0.0956491648435529
EAT,HUNGRY,0.07279371574719762
HOT,HUNGRY,0.04590523465577512
FALL,HUNGRY,0.03597125901808229
CUDDLE,HUNGRY,0.027083217835564
COLD,HAPPY,0.5242731446021394
HAPPY,HAPPY,1.0
CRY,HAPPY,0.6751330784476859
ASLEEP,HAPPY,0.36487381439246613
GOOD,HAPPY,0.19475875960099165
DOWN,HAPPY,0.12830509583829763
CAREFUL,HAPPY,0.104268817563693
ARM,HAPPY,0.09989854876093962
DRINK,HAPPY,0.09989854876093962
DANCE,HAPPY,0.0916179341133343
EAT,HAPPY,0.06884674418376568
FALL,HAPPY,0.03215958245880235
CUDDLE,HAPPY,0.023303964043551284
COLD,LOVE,0.4866020919889946
LOVE,LOVE,1.0
HAPPY,LOVE,0.8974698032958743
CRY,LOVE,0.6337370101285122
I,LOVE,0.6540242558324456
HURT,LOVE,0.6630407872408004
HUNGRY,LOVE,0.9044727207445067
ASLEEP,LOVE,0.3311385254725867
LIKE,LOVE,0.3247930696935388
JUMP,LOVE,0.19418275513065253
GOOD,LOVE,0.16522382016652082
HUG,LOVE,0.15901826262401442
HURRY,LOVE,0.13024745976624774
DOWN,LOVE,0.10041110868051528
CAREFUL,LOVE,0.07696824710311545
ARM,LOVE,0.07270585405071417
DRINK,LOVE,0.07270585405071417
DANCE,LOVE,0.0646297830336462
EAT,LOVE,0.042420787877247124
HOT,LOVE,0.01629244055175527
FALL,LOVE,0.006639462230377813
KISS,LOVE,0.006639462230377813
COLD,HURT,0.33591768139587597
HAPPY,HURT,0.7051785763963456
CRY,HURT,0.4681531371328944
HURT,HURT,1.0
HUNGRY,HURT,0.7114723959164124
ASLEEP,HURT,0.19619736979306857
GOOD,HURT,0.047084062428637274
HUG,HURT,0.04150714631814445
HURRY,HURT,0.015649789282033533
COLD,I,0.3286733944575879
HAPPY,I,0.6959338847738883
CRY,I,0.4601923470661098
I,I,1.0
HURT,I,0.4863857400666747
HUNGRY,I,0.7021936804023785
ASLEEP,I,0.1897098142315532
GOOD,I,0.041404274081259684
HUG,I,0.03585737905156994
HURRY,I,0.010140120392539531
COLD,CRY,0.31237334856536236
CRY,CRY,1.0
ASLEEP,CRY,0.17511276418300903
COLD,LIKE,0.06414784461648959
HAPPY,LIKE,0.3583678459013919
CRY,LIKE,0.16951043022410306
I,LIKE,0.18403783136518448
HURT,LIKE,0.19049456528374198
HUNGRY,LIKE,0.363382567238715
LOVE,NOW,0.0646297830336462
HAPPY,NOW,0.0916179341133343
HUNGRY,NOW,0.0956491648435529
LOVE,RUN,0.006639462230377813
HAPPY,RUN,0.03215958245880235
HUNGRY,RUN,0.03597125901808229
HAPPY,JUMP,0.22445080935833128
CRY,JUMP,0.05419285422223452
I,JUMP,0.06728965079278648
HURT,JUMP,0.07311053821993774
HUNGRY,JUMP,0.22897158384617677
HAPPY,HUG,0.18839609173561667
CRY,HUG,0.023145853017989104
HAPPY,HURRY,0.1588969774575706
HUNGRY,HURRY,0.16317618231522157
HAPPY,HOT,0.04205693237791541
HAPPY,KISS,0.03215958245880235
HUNGRY,KISS,0.03597125901808229
CRY,GOOD,0.028624700264525682
BAA BAA,BAA BAA,0.0
CHOO CHOO,CHOO CHOO,0.0
COCKADOODLEDOO,COCKADOODLEDOO,0.0
GRR,GRR,0.0
MEOW,MEOW,0.0
MOO,MOO,0.0
QUACK,QUACK,0.0
UHOH,UHOH,0.0
VROOM,VROOM,0.0
WOOF,WOOF,0.0
YUM,YUM,0.0
TWEET TWEET,TWEET TWEET,0.0
ANIMAL,ANIMAL,0.0
BEAR,BEAR,0.0
BEE,BEE,0.0
BIRD,BIRD,0.0
BUG,BUG,0.0
RABBIT,RABBIT,0.0
BUTTERFLY,BUTTERFLY,0.0
CAT,CAT,0.0
CHICKEN (ANIMAL),CHICKEN (ANIMAL),0.0
COW,COW,0.0
DOG,DOG,0.0
DONKEY,DONKEY,0.0
DUCK,DUCK,0.0
ELEPHANT,ELEPHANT,0.0
FISH,FISH,0.0
FLY,FLY,0.0
FROG,FROG,0.0
GIRAFFE,GIRAFFE,0.0
GOOSE,GOOSE,0.0
HORSE,HORSE,0.0
KITTEN,KITTEN,0.0
LAMB,LAMB,0.0
LION,LION,0.0
MONKEY,MONKEY,0.0
MOUSE,MOUSE,0.0
OWL,OWL,0.0
PENGUIN,PENGUIN,0.0
PIG,PIG,0.0
PUPPY,PUPPY,0.0
SHEEP,SHEEP,0.0
SNAKE,SNAKE,0.0
SPIDER,SPIDER,0.0
SQUIRREL,SQUIRREL,0.0
TIGER,TIGER,0.0
AEROPLANE,AEROPLANE,0.0
BICYCLE,BICYCLE,0.0
BOAT,BOAT,0.0
BUS,BUS,0.0
CAR,CAR,0.0
FIRE ENGINE,FIRE ENGINE,0.0
LORRY,LORRY,0.0
PRAM,PRAM,0.0
PUSHCHAIR,PUSHCHAIR,0.0
TRACTOR,TRACTOR,0.0
TRAIN,TRAIN,0.0
BALL,BALL,0.0
BALLOON,BALLOON,0.0
BLOCK,BLOCK,0.0
BOOK,BOOK,0.0
BRICK,BRICK,0.0
BUBBLES,BUBBLES,0.0
DOLL,DOLL,0.0
PEN,PEN,0.0
TEDDY,TEDDY,0.0
TOY,TOY,0.0
APPLE,APPLE,0.0
BANANA,BANANA,0.0
BISCUIT,BISCUIT,0.0
BREAD,BREAD,0.0
BUTTER,BUTTER,0.0
CAKE,CAKE,0.0
CARROTS,CARROTS,0.0
CEREAL,CEREAL,0.0
CHEESE,CHEESE,0.0
CHICKEN,CHICKEN,0.0
CHIPS,CHIPS,0.0
CHOCOLATE,CHOCOLATE,0.0
COFFEE,COFFEE,0.0
EGG,EGG,0.0
FISH (FOOD),FISH (FOOD),0.0
FOOD,FOOD,0.0
ICE CREAM,ICE CREAM,0.0
JAM,JAM,0.0
JUICE,JUICE,0.0
MEAT,MEAT,0.0
MILK,MILK,0.0
ORANGE,ORANGE,0.0
PASTA,PASTA,0.0
PEAS,PEAS,0.0
PIZZA,PIZZA,0.0
POTATO,POTATO,0.0
SANDWICH,SANDWICH,0.0
SAUSAGES,SAUSAGES,0.0
TEA (DRINK),TEA (DRINK),0.0
TOAST,TOAST,0.0
WATER,WATER,0.0
YOGHURT,YOGHURT,0.0
BACK,BACK,0.0
TUMMY,TUMMY,0.0
BELLY BUTTON,BELLY BUTTON,0.0
BOTTOM,BOTTOM,0.0
CHEEK,CHEEK,0.0
CHIN,CHIN,0.0
EAR,EAR,0.0
EYE,EYE,0.0
FACE,FACE,0.0
FEET,FEET,0.0
FINGER,FINGER,0.0
FOOT,FOOT,0.0
HAIR,HAIR,0.0
HAND,HAND,0.0
HEAD,HEAD,0.0
KNEE,KNEE,0.0
LEG,LEG,0.0
LIPS,LIPS,0.0
MOUTH,MOUTH,0.0
NOSE,NOSE,0.0
TOE,TOE,0.0
TONGUE,TONGUE,0.0
TOOTH,TOOTH,0.0
BIB,BIB,0.0
BOOTS,BOOTS,0.0
BUTTON,BUTTON,0.0
CARDIGAN,CARDIGAN,0.0
COAT,COAT,0.0
DRESS,DRESS,0.0
GLASSES,GLASSES,0.0
HAT,HAT,0.0
JACKET,JACKET,0.0
JUMPER,JUMPER,0.0
NAPPY,NAPPY,0.0
PYJAMAS,PYJAMAS,0.0
SCARF,SCARF,0.0
SHOES,SHOES,0.0
SOCK,SOCK,0.0
TROUSERS,TROUSERS,0.0
VEST,VEST,0.0
ZIP,ZIP,0.0
BATH (FURNITURE),BATH (FURNITURE),0.0
BATHROOM,BATHROOM,0.0
BED,BED,0.0
BEDROOM,BEDROOM,0.0
CHAIR,CHAIR,0.0
COOKER,COOKER,0.0
COT,COT,0.0
DOOR,DOOR,0.0
DOWNSTAIRS,DOWNSTAIRS,0.0
DRAWER,DRAWER,0.0
HIGH CHAIR,HIGH CHAIR,0.0
KITCHEN,KITCHEN,0.0
LIVING ROOM,LIVING ROOM,0.0
OVEN,OVEN,0.0
FRIDGE,FRIDGE,0.0
SOFA,SOFA,0.0
SINK,SINK,0.0
STAIRS,STAIRS,0.0
TABLE,TABLE,0.0
TV,TV,0.0
TOILET,TOILET,0.0
UPSTAIRS,UPSTAIRS,0.0
WINDOW,WINDOW,0.0
BAG,BAG,0.0
BIN,BIN,0.0
BOTTLE,BOTTLE,0.0
BOWL,BOWL,0.0
BOX,BOX,0.0
BROOM,BROOM,0.0
BRUSH,BRUSH,0.0
BUCKET,BUCKET,0.0
CLOCK,CLOCK,0.0
COMB,COMB,0.0
COMPUTER,COMPUTER,0.0
CUP,CUP,0.0
DUMMY,DUMMY,0.0
FORK,FORK,0.0
GLASS,GLASS,0.0
HOOVER,HOOVER,0.0
KEY,KEY,0.0
LIGHT,LIGHT,0.0
MONEY,MONEY,0.0
PAPER,PAPER,0.0
PHONE,PHONE,0.0
PICTURE,PICTURE,0.0
PILLOW,PILLOW,0.0
PLANT,PLANT,0.0
PLATE,PLATE,0.0
PURSE,PURSE,0.0
RADIO,RADIO,0.0
RUBBISH,RUBBISH,0.0
SCISSORS,SCISSORS,0.0
SOAP,SOAP,0.0
SPOON,SPOON,0.0
TOOTHBRUSH,TOOTHBRUSH,0.0
TOWEL,TOWEL,0.0
WATCH,WATCH,0.0
FLOWER,FLOWER,0.0
GARDEN,GARDEN,0.0
GRASS,GRASS,0.0
HOUSE,HOUSE,0.0
MOON,MOON,0.0
OUTSIDE,OUTSIDE,0.0
PARK,PARK,0.0
PARTY,PARTY,0.0
RAIN,RAIN,0.0
ROAD,ROAD,0.0
SHOP,SHOP,0.0
SKY,SKY,0.0
SLIDE,SLIDE,0.0
SNOW,SNOW,0.0
STAR,STAR,0.0
STONE,STONE,0.0
SUN,SUN,0.0
SWING,SWING,0.0
TREE,TREE,0.0
WALL,WALL,0.0
WATER (OUTSIDE),WATER (OUTSIDE),0.0
AUNT,AUNT,0.0
BABY,BABY,0.0
BOY,BOY,0.0
BROTHER,BROTHER,0.0
CHILD'S OWN NAME,CHILD'S OWN NAME,0.0
DADDY,DADDY,0.0
GIRL,GIRL,0.0
GRANDMA,GRANDMA,0.0
GRANDPA,GRANDPA,0.0
LADY,LADY,0.0
MAN,MAN,0.0
MUMMY,MUMMY,0.0
PEOPLE,PEOPLE,0.0
POLICE,POLICE,0.0
SISTER,SISTER,0.0
UNCLE,UNCLE,0.0
BATH,BATH,0.0
BREAKFAST,BREAKFAST,0.0
BRUSH TEETH,BRUSH TEETH,0.0
BYE BYE,BYE BYE,0.0
CLAP HANDS,CLAP HANDS,0.0
DINNER,DINNER,0.0
DON'T,DON'T,0.0
GOODNIGHT,GOODNIGHT,0.0
HELLO,HELLO,0.0
SHH,SHH,0.0
LUNCH,LUNCH,0.0
MUSIC,MUSIC,0.0
NO,NO,0.0
OOPS,OOPS,0.0
PEEKABOO,PEEKABOO,0.0
PHONE (VERB),PHONE (VERB),0.0
PLEASE,PLEASE,0.0
TEA (DINNER),TEA (DINNER),0.0
THANK YOU,THANK YOU,0.0
THIS LITTLE PIGGY,THIS LITTLE PIGGY,0.0
WAIT,WAIT,0.0
WANT TO,WANT TO,0.0
YES,YES,0.0
BITE,BITE,0.0
BLOW,BLOW,0.0
BREAK,BREAK,0.0
BRING,BRING,0.0
BUMP,BUMP,0.0
CARRY,CARRY,0.0
CATCH,CATCH,0.0
CLEAN (ACTION),CLEAN (ACTION),0.0
COME,COME,0.0
DRAW,DRAW,0.0
DRINK (ACTION),DRINK (ACTION),0.0
DROP,DROP,0.0
FEED,FEED,0.0
FIND,FIND,0.0
FINISH,FINISH,0.0
GET,GET,0.0
GIVE,GIVE,0.0
GO,GO,0.0
HELP,HELP,0.0
HIT,HIT,0.0
KICK,KICK,0.0
LOOK,LOOK,0.0
OPEN,OPEN,0.0
PULL,PULL,0.0
PUSH,PUSH,0.0
PUT,PUT,0.0
READ,READ,0.0
RIDE,RIDE,0.0
SAY,SAY,0.0
SEE,SEE,0.0
SHOW,SHOW,0.0
CLOSE,CLOSE,0.0
SING,SING,0.0
SMILE,SMILE,0.0
SPLASH,SPLASH,0.0
STOP,STOP,0.0
SWIM,SWIM,0.0
SWING (ACTION),SWING (ACTION),0.0
TAKE,TAKE,0.0
THROW,THROW,0.0
TOUCH,TOUCH,0.0
WALK,WALK,0.0
WASH,WASH,0.0
WIPE,WIPE,0.0
ALL GONE,ALL GONE,0.0
BIG,BIG,0.0
BLUE,BLUE,0.0
BROKEN,BROKEN,0.0
CLEAN,CLEAN,0.0
DIRTY,DIRTY,0.0
EMPTY,EMPTY,0.0
FAST,FAST,0.0
GENTLE,GENTLE,0.0
NAUGHTY,NAUGHTY,0.0
NICE,NICE,0.0
PRETTY,PRETTY,0.0
SOFT,SOFT,0.0
WET,WET,0.0
YELLOW,YELLOW,0.0
HOW,HOW,0.0
WHAT,WHAT,0.0
WHEN,WHEN,0.0
WHERE,WHERE,0.0
WHO,WHO,0.0
WHY,WHY,0.0
DAY,DAY,0.0
LATER,LATER,0.0
MORNING,MORNING,0.0
NIGHT,NIGHT,0.0
TODAY,TODAY,0.0
TOMORROW,TOMORROW,0.0
TONIGHT,TONIGHT,0.0
HE,HE,0.0
HER,HER,0.0
HIS,HIS,0.0
IT,IT,0.0
MINE,MINE,0.0
MY,MY,0.0
SHE,SHE,0.0
THAT,THAT,0.0
THIS,THIS,0.0
YOUR,YOUR,0.0
BACK (PLACE),BACK (PLACE),0.0
IN,IN,0.0
INSIDE,INSIDE,0.0
OFF,OFF,0.0
ON,ON,0.0
OUT,OUT,0.0
THERE,THERE,0.0
TO,TO,0.0
UNDER,UNDER,0.0
UP,UP,0.0
AGAIN,AGAIN,0.0
ALL,ALL,0.0
ANOTHER,ANOTHER,0.0
MORE,MORE,0.0
NONE,NONE,0.0
NOT,NOT,0.0
SOME,SOME,0.0
BAA BAA,BAA BAA,0.0
CHOO CHOO,CHOO CHOO,0.0
