source,target,weight
APPLE,APPLE,1.0
APPLE,DRINK,0.4014995582401799
DRINK,DRINK,1.0
DINNER,DRINK,0.510071128308955
COFFEE,DRINK,0.5591867534852564
CHOCOLATE,DRINK,0.7679284157632567
CHIN,DRINK,0.30378524728976974
CHEESE,DRINK,0.5358568315265129
CEREAL,DRINK,0.36681713645183534
CAKE,DRINK,0.45578534327456754
BUTTER,DRINK,0.7392777195033196
BREAKFAST,DRINK,0.7272140131677869
BREAD,DRINK,0.8293229472336341
BITE,DRINK,0.8941757394850058
BANANA,DRINK,0.5387220798476089
BISCUIT,DRINK,0.6389998996754644
BLOW,DRINK,0.23993493456057724
CHICKEN,DRINK,0.11714587161982282
CUP,DRINK,0.0717136630530264
APPLE,TONGUE,0.3993062035025772
LOVE,TONGUE,0.3074252665173627
JUICE,TONGUE,0.533512607067085
JAM,TONGUE,0.2759448056780114
ICE CREAM,TONGUE,0.8511796557158053
HELLO,TONGUE,0.3993062035025772
CHIPS,TONGUE,0.7775889282557036
FOOD,TONGUE,0.4405643497655394
EAT,TONGUE,0.9456212935125765
DRINK,TONGUE,0.9971350069576213
DINNER,TONGUE,0.5077560056232797
COFFEE,TONGUE,0.5568164905966806
CHOCOLATE,TONGUE,0.7653238070123529
CHIN,TONGUE,0.30170166240053375
CHEESE,TONGUE,0.533512607067085
CEREAL,TONGUE,0.36466258407923635
CAKE,TONGUE,0.4535312322022871
BUTTER,TONGUE,0.7367052758707748
BREAKFAST,TONGUE,0.7246550993072503
BREAD,TONGUE,0.8266494132291045
BITE,TONGUE,0.8914294510460938
KISS,TONGUE,0.6549374605434832
LUNCH,TONGUE,0.4341650228844607
BANANA,TONGUE,0.5363745367648582
MEAT,TONGUE,0.3851045379110596
TONGUE,TONGUE,1.0
TOAST,TONGUE,0.3605742954243589
THIRSTY,TONGUE,0.4505186880614058
SMILE,TONGUE,0.6704303258862576
SING,TONGUE,0.5506839299750057
SAY,TONGUE,0.533512607067085
SANDWICH,TONGUE,0.8225611245742273
POTATO,TONGUE,0.4586952653711611
PIZZA,TONGUE,0.6433179391757613
PHONE,TONGUE,0.32745851912305657
PASTA,TONGUE,0.7246550993072503
NO,TONGUE,0.533512607067085
MOUTH,TONGUE,0.9686668349804344
MILK,TONGUE,0.5363745367648582
MEDICINE,TONGUE,0.5077560056232797
BISCUIT,TONGUE,0.6365397786784577
BLOW,TONGUE,0.2379228277121388
DUMMY,TONGUE,0.22443134751168348
OUCH,TONGUE,0.18240710981860686
CHICKEN,TONGUE,0.1152716152786355
FISH,TONGUE,0.10106969440840063
FEED,TONGUE,0.09564731917778824
PEOPLE,TONGUE,0.08352643040961771
CUP,TONGUE,0.06989046245526587
FORK,TONGUE,0.06989046245526587
ME,TONGUE,0.04985746512828926
PARTY,TONGUE,0.04168063253981669
PLEASE,TONGUE,0.04168063253981669
HOT,TONGUE,0.019732534276911684
APPLE,MOUTH,0.3796813968442956
LOVE,MOUTH,0.2887243135363837
JUICE,MOUTH,0.5125386523887578
JAM,MOUTH,0.2575601430275598
ICE CREAM,MOUTH,0.8270121642861503
HELLO,MOUTH,0.3796813968442956
CHIPS,MOUTH,0.7541612345482984
FOOD,MOUTH,0.42052471519191736
EAT,MOUTH,0.920504165255188
DRINK,MOUTH,0.9714999181831709
DINNER,MOUTH,0.48704090356412477
COFFEE,MOUTH,0.5356081900560263
CHOCOLATE,MOUTH,0.7420194129253233
CHIN,MOUTH,0.2830581471309097
CHEESE,MOUTH,0.5125386523887578
CEREAL,MOUTH,0.34538623286984094
CAKE,MOUTH,0.4333611502042103
BUTTER,MOUTH,0.7136883256192359
BREAKFAST,MOUTH,0.7017596617250663
BREAD,MOUTH,0.8027285210401995
BITE,MOUTH,0.8668570875710664
KISS,MOUTH,0.6327427630398281
LUNCH,MOUTH,0.41418971854755604
BANANA,MOUTH,0.5153717355914949
MEAT,MOUTH,0.3656224320556549
MOUTH,MOUTH,1.0
MILK,MOUTH,0.5153717355914949
MEDICINE,MOUTH,0.48704090356412477
BISCUIT,MOUTH,0.6145301582447238
BLOW,MOUTH,0.21992057257995157
DUMMY,MOUTH,0.2065643900995766
CHICKEN,MOUTH,0.0985021010714815
FISH,MOUTH,0.08444313628284084
FEED,MOUTH,0.0790751354189776
CUP,MOUTH,0.05357738659434452
FORK,MOUTH,0.05357738659434452
ME,MOUTH,0.03374580417518547
HOT,MOUTH,0.003923633882327193
APPLE,EAT,0.3620191729633291
EAT,EAT,1.0
DRINK,EAT,0.9484285935648828
DINNER,EAT,0.4683971330157837
COFFEE,EAT,0.5165207450973086
CHOCOLATE,EAT,0.7210452029682788
CHIN,EAT,0.2662786770537877
CHEESE,EAT,0.49366206765039156
CEREAL,EAT,0.32803723597479584
CAKE,EAT,0.415208280628915
BUTTER,EAT,0.6929732235600814
BREAKFAST,EAT,0.6811535636781274
BREAD,EAT,0.7811995904308264
BITE,EAT,0.844742037027157
BANANA,EAT,0.49646936770269834
BISCUIT,EAT,0.5947212956313899
BLOW,EAT,0.20371828768226585
DUMMY,EAT,0.19048438370739773
CHICKEN,EAT,0.08340976803588829
CUP,EAT,0.03889554173590026
APPLE,BITE,0.3204858362432981
BITE,BITE,1.0
BANANA,BITE,0.4520197269181452
BISCUIT,BITE,0.5481405881162145
APPLE,ICE CREAM,0.28963821134371814
ICE CREAM,ICE CREAM,1.0
HELLO,ICE CREAM,0.28963821134371814
CHIPS,ICE CREAM,0.6466689828955601
FOOD,ICE CREAM,0.3285781715763998
EAT,ICE CREAM,0.8052613964715887
DRINK,ICE CREAM,0.8538807598217848
DINNER,ICE CREAM,0.39199502104390116
COFFEE,ICE CREAM,0.43829951698713954
CHOCOLATE,ICE CREAM,0.6350928589097506
CHIN,ICE CREAM,0.19751680180696485
CHEESE,ICE CREAM,0.4163049579977165
CEREAL,ICE CREAM,0.2569408368597961
CAKE,ICE CREAM,0.3408164885544511
BUTTER,ICE CREAM,0.6080820731286729
BREAKFAST,ICE CREAM,0.5967088957229838
BREAD,ICE CREAM,0.6929732235600814
BITE,ICE CREAM,0.754114007985629
BANANA,ICE CREAM,0.41900606210369573
BISCUIT,ICE CREAM,0.5135439399768256
BLOW,ICE CREAM,0.13732131447095908
DUMMY,ICE CREAM,0.12458750150295361
CHICKEN,ICE CREAM,0.021560329891580743
FISH,ICE CREAM,0.008156410291102034
FEED,ICE CREAM,0.0030385825700289804
APPLE,BREAD,0.27083795494177476
BREAD,BREAD,1.0
BITE,BREAD,0.7305739916426854
BANANA,BREAD,0.39888550417674296
BISCUIT,BREAD,0.49245893905654636
BLOW,BREAD,0.12007519489891871
APPLE,SANDWICH,0.26770440868897283
LOVE,SANDWICH,0.1820178097749796
JUICE,SANDWICH,0.3928632239608689
JAM,SANDWICH,0.15265948091115122
ICE CREAM,SANDWICH,0.689114685750623
HELLO,SANDWICH,0.26770440868897283
CHIPS,SANDWICH,0.6204850448792749
FOOD,SANDWICH,0.3061810380500585
EAT,SANDWICH,0.7771894170633913
DRINK,SANDWICH,0.8252300635618477
DINNER,SANDWICH,0.36884302835099914
COFFEE,SANDWICH,0.414596122265231
CHOCOLATE,SANDWICH,0.6090467714007168
CHIN,SANDWICH,0.17667993179973784
CHEESE,SANDWICH,0.3928632239608689
CEREAL,SANDWICH,0.23539633424867779
CAKE,SANDWICH,0.31827359088062757
BUTTER,SANDWICH,0.5823573815245093
BREAKFAST,SANDWICH,0.5711197571176174
BREAD,SANDWICH,0.6662381387935068
BITE,SANDWICH,0.7266508683177926
KISS,SANDWICH,0.506102310093695
LUNCH,SANDWICH,0.3002133874796511
BANANA,SANDWICH,0.3955321629484898
MEAT,SANDWICH,0.25446029356541944
SANDWICH,SANDWICH,1.0
POTATO,SANDWICH,0.32308993443676703
PIZZA,SANDWICH,0.4952659838301354
PHONE,SANDWICH,0.20070038268832513
PASTA,SANDWICH,0.5711197571176174
NO,SANDWICH,0.3928632239608689
MOUTH,SANDWICH,0.7986813322587798
MILK,SANDWICH,0.3955321629484898
MEDICINE,SANDWICH,0.36884302835099914
BISCUIT,SANDWICH,0.48894477223649924
BLOW,SANDWICH,0.1172007565440063
DUMMY,SANDWICH,0.1046188344126946
OUCH,SANDWICH,0.06542767992235476
CHICKEN,SANDWICH,0.002818021758426381
APPLE,CHIPS,0.233237442137888
CHIPS,CHIPS,1.0
FOOD,CHIPS,0.2709855060402775
EAT,CHIPS,0.7330762336280188
DRINK,CHIPS,0.7802073220573322
DINNER,CHIPS,0.3324609608639857
COFFEE,CHIPS,0.3773478940909869
CHOCOLATE,CHIPS,0.5681169135679873
CHIN,CHIPS,0.14393609658929774
CHEESE,CHIPS,0.35602650507864264
CEREAL,CHIPS,0.2015410155038424
CAKE,CHIPS,0.2828490738615783
BUTTER,CHIPS,0.5419329755517022
BREAKFAST,CHIPS,0.5309079983161813
BREAD,CHIPS,0.624225643921418
BITE,CHIPS,0.6834944695142324
BANANA,CHIPS,0.35864489888027085
BISCUIT,CHIPS,0.4502889372159866
BLOW,CHIPS,0.0855832110335546
DUMMY,CHIPS,0.07323920866661049
APPLE,CHOCOLATE,0.22383731393691608
CHOCOLATE,CHOCOLATE,1.0
CHIN,CHOCOLATE,0.135005936506567
CHEESE,CHOCOLATE,0.34598026644460833
CEREAL,CHOCOLATE,0.19230758430515826
CAKE,CHOCOLATE,0.27318779553298
BUTTER,CHOCOLATE,0.5309079983161813
BREAKFAST,CHOCOLATE,0.5199412246281674
BREAD,CHOCOLATE,0.6127674587029235
BITE,CHOCOLATE,0.6717245889821197
BANANA,CHOCOLATE,0.3485848751955116
BISCUIT,CHOCOLATE,0.4397464367558468
BLOW,CHOCOLATE,0.07696015124753441
APPLE,BUTTER,0.20190351128217054
BUTTER,BUTTER,1.0
BREAKFAST,BUTTER,0.494352086022801
BREAD,BUTTER,0.5860323739363493
BITE,BUTTER,0.6442614493142833
BANANA,BUTTER,0.3251109760403055
BISCUIT,BUTTER,0.41514726901552024
BLOW,BUTTER,0.05683984859929847
APPLE,BREAKFAST,0.19266829313246658
BREAKFAST,BREAKFAST,1.0
BREAD,BREAKFAST,0.5747753483469555
BITE,BREAKFAST,0.6326980892643301
BANANA,BREAKFAST,0.31522734994908475
BISCUIT,BREAKFAST,0.40478959034658435
BLOW,BREAKFAST,0.04836816909253794
APPLE,PASTA,0.19266829313246658
LOVE,PASTA,0.1105134752700021
JUICE,PASTA,0.3126684360885481
JAM,PASTA,0.08236516752538203
ICE CREAM,PASTA,0.5967088957229838
HELLO,PASTA,0.19266829313246658
CHIPS,PASTA,0.5309079983161813
FOOD,PASTA,0.2295591311027252
EAT,PASTA,0.6811535636781274
DRINK,PASTA,0.7272140131677869
DINNER,PASTA,0.28963821134371814
COFFEE,PASTA,0.3335053060957751
CHOCOLATE,PASTA,0.5199412246281674
CHIN,PASTA,0.1053956475489286
CHEESE,PASTA,0.3126684360885481
CEREAL,PASTA,0.16169200775945192
CAKE,PASTA,0.24115312459873395
BUTTER,PASTA,0.494352086022801
BREAKFAST,PASTA,0.4835775372087876
BREAD,PASTA,0.5747753483469555
BITE,PASTA,0.6326980892643301
KISS,PASTA,0.4212400061573227
LUNCH,PASTA,0.22383731393691608
BANANA,PASTA,0.31522734994908475
MEAT,PASTA,0.17996996390614206
PASTA,PASTA,1.0
NO,PASTA,0.3126684360885481
MOUTH,PASTA,0.7017596617250663
MILK,PASTA,0.31522734994908475
MEDICINE,PASTA,0.28963821134371814
BISCUIT,PASTA,0.40478959034658435
BLOW,PASTA,0.04836816909253794
DUMMY,PASTA,0.03630471803572233
APPLE,SMILE,0.1511099390981565
LOVE,SMILE,0.0709110667663615
JUICE,SMILE,0.26825274737337357
JAM,SMILE,0.043433120932931724
ICE CREAM,SMILE,0.545530618512251
HELLO,SMILE,0.1511099390981565
CHIPS,SMILE,0.4812963665924914
FOOD,SMILE,0.1871221077240448
EAT,SMILE,0.6279644560125415
DRINK,SMILE,0.6729284834121163
DINNER,SMILE,0.24577086131294457
COFFEE,SMILE,0.2885936108332119
CHOCOLATE,SMILE,0.47059048775338663
CHIN,SMILE,0.06591500699336073
CHEESE,SMILE,0.26825274737337357
CEREAL,SMILE,0.12087089866022094
CAKE,SMILE,0.19844040020555043
BUTTER,SMILE,0.44561069944581555
BREAKFAST,SMILE,0.43509270574252024
BREAD,SMILE,0.5241191161127587
BITE,SMILE,0.5806625861214663
KISS,SMILE,0.37423936515246403
LUNCH,SMILE,0.18153660939318472
BANANA,SMILE,0.2707509048992325
MEAT,SMILE,0.13871385987291718
SMILE,SMILE,1.0
SING,SMILE,0.28324092669237655
SAY,SMILE,0.26825274737337357
SANDWICH,SMILE,0.5205505749259629
POTATO,SMILE,0.20294811179267702
PIZZA,SMILE,0.3640971417207879
PHONE,SMILE,0.08839714833250678
PASTA,SMILE,0.43509270574252024
NO,SMILE,0.26825274737337357
MOUTH,SMILE,0.6480799083651516
MILK,SMILE,0.2707509048992325
MEDICINE,SMILE,0.24577086131294457
BISCUIT,SMILE,0.3581808021725241
BLOW,SMILE,0.010245356033397712
APPLE,KISS,0.13923616012817042
JUICE,KISS,0.25556258706599766
JAM,KISS,0.03230960611259781
ICE CREAM,KISS,0.5309079983161813
HELLO,KISS,0.13923616012817042
CHIPS,KISS,0.46712150526627205
FOOD,KISS,0.17499738977511736
EAT,KISS,0.6127674587029235
DRINK,KISS,0.6574182591165774
DINNER,KISS,0.233237442137888
COFFEE,KISS,0.27576177083782727
