source,target,weight
TOAST,TOAST,1.0
BISCUIT,TOAST,0.26870990206249856
BREAKFAST,TOAST,0.4048259546088995
POTATO,TOAST,0.23241215460301445
SOAP,TOAST,0.22549845998698514
PLANT,TOAST,0.21116483914185236
CHOCOLATE,TOAST,0.24854450904841485
PIZZA,TOAST,0.5996586689811734
COFFEE,TOAST,0.5510246035770099
PASTA,TOAST,0.2233378178234764
DINNER,TOAST,0.3220886127512317
OUTSIDE,TOAST,0.14453382954306848
ORANGE,TOAST,0.15127637824008744
FISH,TOAST,0.23668259558099236
FLOWER,TOAST,0.5913553896051773
BABY,TOAST,0.13907557583595787
FOOD,TOAST,0.488406014968362
CHIPS,TOAST,0.49290104743304153
MEAT,TOAST,0.2018458938090617
LUNCH,TOAST,0.24854450904841485
SANDWICH,TOAST,0.18274180566350862
CAKE,TOAST,0.12755235113457752
CHEESE,TOAST,0.10990770731125377
ME,TOAST,0.10684209356897689
GRASS,TOAST,0.0991385255068471
BREAD,TOAST,0.08722176527707526
NOSE,TOAST,0.08722176527707526
JAM,TOAST,0.08722176527707526
CHICKEN,TOAST,0.08722176527707526
NAPPY,TOAST,0.06587016089918274
EGG,TOAST,0.06453582324289697
DOG,TOAST,0.023167152314063078
BISCUIT,BISCUIT,1.0
BABY,BISCUIT,0.12956907058958467
BISCUIT,PIZZA,0.5863138912236574
BREAKFAST,PIZZA,0.7564589569066587
CHOCOLATE,PIZZA,0.5611071999987189
PIZZA,PIZZA,1.0
COFFEE,PIZZA,0.9392073682021291
PASTA,PIZZA,0.5295989360528788
DINNER,PIZZA,0.6530375798405721
OUTSIDE,PIZZA,0.4310939507023688
ORANGE,PIZZA,0.4395221365736426
FISH,PIZZA,0.5462797581217747
FLOWER,PIZZA,0.9896207506520058
BABY,PIZZA,0.42427113356848056
FOOD,PIZZA,0.8609340323559869
CHIPS,PIZZA,0.866552822936836
MEAT,PIZZA,0.5027338308641949
LUNCH,PIZZA,0.5611071999987189
CAKE,PIZZA,0.409867252819754
CHEESE,PIZZA,0.3878114480405994
ME,PIZZA,0.3839793808200873
GRASS,PIZZA,0.37434997078509147
BREAD,PIZZA,0.3594538703698775
NOSE,PIZZA,0.3594538703698775
JAM,PIZZA,0.3594538703698775
CHICKEN,PIZZA,0.3594538703698775
NAPPY,PIZZA,0.33276451502551074
EGG,PIZZA,0.3310962926991552
DOG,PIZZA,0.279385604166112
DIRTY,PIZZA,0.24602375985765468
CLEAN,PIZZA,0.21766638235759794
BUTTER,PIZZA,0.18300723196597413
APPLE,PIZZA,0.1578005407410359
DONKEY,PIZZA,0.13259384951609743
BANANA,PIZZA,0.1206538694891266
EAT,PIZZA,0.09677370926451889
COW,PIZZA,0.08722176527707526
OVEN,PIZZA,0.07857939679370629
CEREAL,PIZZA,0.03918080555481618
LAMB,PIZZA,0.03918080555481618
PIG,PIZZA,0.019163739003874802
MAN,PIZZA,0.012491450210449617
ICE CREAM,PIZZA,0.006560393391405572
BISCUIT,FLOWER,0.5780798708979276
BREAKFAST,FLOWER,0.7473425842873633
CHOCOLATE,FLOWER,0.553003891117567
COFFEE,FLOWER,0.9291433876523123
DINNER,FLOWER,0.6444572642635111
FISH,FLOWER,0.5382533147761783
FLOWER,FLOWER,1.0
BABY,FLOWER,0.4168770293552284
CAKE,FLOWER,0.4025480124354024
CHEESE,FLOWER,0.3806065051062537
BREAD,FLOWER,0.352396052874681
CHICKEN,FLOWER,0.352396052874681
NAPPY,FLOWER,0.3258450154601815
EGG,FLOWER,0.32418560064310853
DOG,FLOWER,0.2727429406311823
DIRTY,FLOWER,0.23955404377772505
CLEAN,FLOWER,0.21134359154615234
BUTTER,FLOWER,0.17686419441215584
APPLE,FLOWER,0.15178821463179526
DONKEY,FLOWER,0.12671223485143446
BANANA,FLOWER,0.11483410756010581
EAT,FLOWER,0.09107785297744875
COW,FLOWER,0.08157555131505134
