source,target,weight
ASLEEP,ASLEEP,1.0
ASLEEP,TUMMY,0.4194761569363541
BATH,TUMMY,0.7304876855188283
CARDIGAN,TUMMY,0.49608011383071626
COLD,TUMMY,0.6537226058811603
CUDDLE,TUMMY,0.9128047746773493
DANCE,TUMMY,0.5481705963603072
HUG,TUMMY,0.7144010307051913
HUNGRY,TUMMY,0.6071555310835794
JACKET,TUMMY,0.5937499186880564
JUMPER,TUMMY,0.5937499186880564
LOVE,TUMMY,0.5177844481926333
NAP,TUMMY,0.45267124495440636
SOFA,TUMMY,0.437820731833511
SWIM,TUMMY,0.4618100068632285
TOILET,TUMMY,0.4309667104400132
TUMMY,TUMMY,1.0
BED,TUMMY,0.5394887825545502
ME,TUMMY,0.39117539741775276
BATHROOM,TUMMY,0.36585350720178633
BACK,TUMMY,0.3516100565410729
TOWEL,TUMMY,0.34414917283986957
HOT,TUMMY,0.341864432324545
COAT,TUMMY,0.3224446383254762
TIRED,TUMMY,0.31787535744730344
CHAIR,TUMMY,0.2938862825700619
BUMP,TUMMY,0.2790359696016427
HURT,TUMMY,0.27469506269876387
DRESS,TUMMY,0.26989720769282055
OUCH,TUMMY,0.245908132815579
TICKLE,TUMMY,0.23924445642690606
PYJAMAS,TUMMY,0.2139225662109394
HER,TUMMY,0.18353641804326548
PLAY,TUMMY,0.18353641804326548
RIDE,TUMMY,0.18353641804326548
CLEAN,TUMMY,0.17394070803137818
JUMP,TUMMY,0.16074685695562874
OUTSIDE,TUMMY,0.15136290826351528
PUSH,TUMMY,0.14995163315413684
FALL,TUMMY,0.12710502861079576
SOAP,TUMMY,0.11516753462787954
SLIDE,TUMMY,0.11516753462787954
BICYCLE,TUMMY,0.11263540565202579
SUN,TUMMY,0.09774005837647137
HURRY,TUMMY,0.08731351543605936
RUN,TUMMY,0.07580354714221293
PARTY,TUMMY,0.04028729085817573
SLEEP,TUMMY,0.02400888997238093
ASLEEP,CUDDLE,0.35757119773843704
BATH,CUDDLE,0.6550338047524604
CARDIGAN,CUDDLE,0.43083781224536843
COLD,CUDDLE,0.5816128726864127
CUDDLE,CUDDLE,1.0
BED,CUDDLE,0.47235564052695356
BATHROOM,CUDDLE,0.3062845275530899
BACK,CUDDLE,0.29266154956846124
COAT,CUDDLE,0.26476689942398135
CHAIR,CUDDLE,0.23745249130787838
BUMP,CUDDLE,0.22324907114239645
CLEAN,CUDDLE,0.12273229746420844
BICYCLE,CUDDLE,0.0640976295742095
ASLEEP,BATH,0.22813359217051565
BATH,BATH,1.0
BACK,BATH,0.16940565322662793
ASLEEP,HUG,0.21671249157608274
BATH,HUG,0.48334561268774556
CARDIGAN,HUG,0.2823857214425949
COLD,HUG,0.41753427761268536
CUDDLE,HUG,0.6396476836053706
DANCE,HUG,0.3270435417701205
HUG,HUG,1.0
BED,HUG,0.31960047163929484
BATHROOM,HUG,0.17074127070001932
BACK,HUG,0.15853016828219757
HOT,HUG,0.15017520347000346
COAT,HUG,0.1335265205033196
CHAIR,HUG,0.10904306900997174
BUMP,HUG,0.09631177030661964
DRESS,HUG,0.08847700177995588
HER,HUG,0.014439199782394274
CLEAN,HUG,0.006212732859892656
ASLEEP,COLD,0.17363347398047835
BATH,COLD,0.43083781224536843
CARDIGAN,COLD,0.23698433466614865
COLD,COLD,1.0
BED,COLD,0.27288308233212066
BATHROOM,COLD,0.1292878915157567
BACK,COLD,0.11750851798900408
COAT,COLD,0.09338894369730855
CHAIR,COLD,0.0697713518158134
BUMP,COLD,0.05749019603133654
ASLEEP,HUNGRY,0.1405726882739271
BATH,HUNGRY,0.3905411142208135
CARDIGAN,HUNGRY,0.20214139131190145
COLD,HUNGRY,0.3288429125307659
CUDDLE,HUNGRY,0.5370745433871524
DANCE,HUNGRY,0.24400788520695071
HUG,HUNGRY,0.37761186471854247
HUNGRY,HUNGRY,1.0
BED,HUNGRY,0.23703016958318845
BATHROOM,HUNGRY,0.09747465619308793
BACK,HUNGRY,0.08602673516685022
HOT,HUNGRY,0.07819396816494817
COAT,HUNGRY,0.0625858779218007
CHAIR,HUNGRY,0.03963259210866843
BUMP,HUNGRY,0.027696899498037553
DRESS,HUNGRY,0.02035190408052845
ASLEEP,YOU,0.13957092513076463
