source,target,weight
ZOO,ZOO,1.0
FRIEND,ZOO,0.1843100540230574
LION,ZOO,0.17466050904260838
NAUGHTY,ZOO,0.1591576616047174
FAST,ZOO,0.12293193211789982
SING,ZOO,0.11897711663450833
LOVE,ZOO,0.3992919805089841
PARTY,ZOO,0.25612897657537986
FINISH,ZOO,0.07325982998755115
GOOD,ZOO,0.03640127150938344
FOOD,ZOO,0.1759260207402899
BEACH,ZOO,0.08607337363973216
SMILE,ZOO,0.2425244698265206
SNOW,ZOO,0.1591576616047174
STAR,ZOO,0.15457016341499447
OPEN,ZOO,0.028017238226616004
SUN,ZOO,0.09319189522481813
HAPPY,ZOO,0.2080388006383878
EAT,ZOO,0.04162159869045651
RUN,ZOO,0.1048980612846458
HUG,ZOO,0.11723705633582354
PRETTY,ZOO,0.15852497889838596
KICK,ZOO,0.013779902486406481
CUDDLE,ZOO,0.1591576616047174
PUPPY,ZOO,0.17466050904260838
PLAY,ZOO,0.19079589290181204
MOUTH,ZOO,0.09034445733377999
CAKE,ZOO,0.05032219275391786
PEOPLE,ZOO,0.01172342769204665
DANCE,ZOO,0.1267284672109445
BUTTERFLY,ZOO,0.023904142352877467
RED,ZOO,0.06440110181876163
PIZZA,ZOO,0.08939536013177357
RIDE,ZOO,0.013147219780075159
DOG,ZOO,0.08290952125301893
GARDEN,ZOO,0.016469206272116454
KISS,ZOO,0.37603792877967573
TICKLE,ZOO,0.16849093837451007
MONEY,ZOO,0.14871715352759002
TIGER,ZOO,0.09683029621253453
SWEETS,ZOO,0.16358702568911215
MAN,ZOO,0.005395869203638937
FRIEND,FRIEND,1.0
FAST,FRIEND,0.28323778483521717
FINISH,FRIEND,0.21997243990245713
FOOD,FRIEND,0.3507342776518914
BEACH,FRIEND,0.23629243545539264
EAT,FRIEND,0.17967603719735453
CUDDLE,FRIEND,0.32937710376142676
CAKE,FRIEND,0.19075756622688506
DANCE,FRIEND,0.2880733824168333
BUTTERFLY,FRIEND,0.15710996391148585
DOG,FRIEND,0.2322628683273918
DINNER,FRIEND,0.12326107341021103
COFFEE,FRIEND,0.09908323178714945
BEAR,FRIEND,0.08054687191430038
CATCH,FRIEND,0.07671873925719391
ANIMAL,FRIEND,0.0662416599253654
FLOWER,FRIEND,0.05616759582034442
CHEESE,FRIEND,0.05314534733183446
BED,FRIEND,0.04992151808741113
BOOK,FRIEND,0.03259420389498491
CLEAN,FRIEND,0.030780854801878865
FACE,FRIEND,0.02634812616205162
DOCTOR,FRIEND,0.018893295318733128
BAD,FRIEND,0.013050379097626241
BANANA,FRIEND,0.007207462876519355
BREAKFAST,FRIEND,0.0070058821206060995
CHIPS,FRIEND,0.0011629658994992131
FRIEND,LOVE,0.6352268953784175
LION,LOVE,0.618853652078637
FAST,LOVE,0.5310826407956735
LOVE,LOVE,1.0
FINISH,LOVE,0.4468011123512829
GOOD,LOVE,0.384260902256739
FOOD,LOVE,0.6210009698696746
BEACH,LOVE,0.4685424307011294
HAPPY,LOVE,0.6754887748190821
EAT,LOVE,0.39311846014537805
HUG,LOVE,0.5214197838785133
KICK,LOVE,0.34587776131258624
CUDDLE,LOVE,0.5925492651372082
CAKE,LOVE,0.4078812516731349
DANCE,LOVE,0.5375245941687867
BUTTERFLY,LOVE,0.36305630364088776
DOG,LOVE,0.46317420936604453
GARDEN,LOVE,0.35044082990416875
KISS,LOVE,0.9605432733028378
DINNER,LOVE,0.31796292259913367
LIKE,LOVE,0.2895110715816483
COFFEE,LOVE,0.285753302018587
BEAR,LOVE,0.2610593668491816
GIRL,LOVE,0.2610593668491816
LADY,LOVE,0.25783846330513444
CATCH,LOVE,0.2559594322385849
HIT,LOVE,0.2548858464855755
ANIMAL,LOVE,0.24200208602436818
FLOWER,LOVE,0.2285814595441466
CHEESE,LOVE,0.22455525697157824
BED,LOVE,0.22026062138950292
HURRY,LOVE,0.21059776447234263
BOOK,LOVE,0.19717713799212105
GREEN,LOVE,0.19717713799212105
CLEAN,LOVE,0.19476138719157626
GENTLE,LOVE,0.19476138719157626
KITTEN,LOVE,0.19476138719157626
KNOW,LOVE,0.1899298855904868
FACE,LOVE,0.18885629983747726
DOCTOR,LOVE,0.17892500991081
BAD,LOVE,0.17114103777518047
BANANA,LOVE,0.1633570656395507
BREAKFAST,LOVE,0.16308863263004375
CHIPS,LOVE,0.1553046604944141
HARD,LOVE,0.1553046604944141
BISCUIT,LOVE,0.14000514923266189
BICYCLE,LOVE,0.13946828321364774
FINGER,LOVE,0.1389314171946337
HAIR,LOVE,0.1386631304701454
CAR,LOVE,0.13222117709703235
AEROPLANE,LOVE,0.13222117709703235
BLUE,LOVE,0.1316843110780182
BREAK,LOVE,0.13087915833451574
HORSE,LOVE,0.12067943539834142
ELEPHANT,LOVE,0.11880055061681077
BIRD,LOVE,0.11826368459779663
BALLOON,LOVE,0.11477434804424241
GIRAFFE,LOVE,0.10940612670915756
HAMMER,LOVE,0.10940612670915756
DIRTY,LOVE,0.1080639616616223
JEANS,LOVE,0.10645350988959862
GLASS,LOVE,0.10645350988959862
DRIVE,LOVE,0.10511149112708223
BATH,LOVE,0.10350103935505856
CALL,LOVE,0.10001155651648558
CRY,LOVE,0.10001155651648558
RABBIT,LOVE,0.09034869959932529
BEE,LOVE,0.08202800772970037
BLOW,LOVE,0.07639135338510844
DRAW,LOVE,0.07397560258456365
APPLE,LOVE,0.0686073812494788
HURT,LOVE,0.060554976104342184
BOAT,LOVE,0.05921281105680681
GIVE,LOVE,0.05464988875024318
HELP,LOVE,0.0380082124409557
CHEEK,LOVE,0.0380082124409557
LEG,LOVE,0.02109824940717997
LAMB,LOVE,0.017072046834611665
BROTHER,LOVE,0.005261872126413658
HAVE,LOVE,0.004456573097892491
BALL,LOVE,0.003114554335375941
FRIEND,KISS,0.6056090064760378
FAST,KISS,0.504273863109405
FINISH,KISS,0.4222654575722245
GOOD,KISS,0.36141220631453913
FOOD,KISS,0.5917669328566393
BEACH,KISS,0.44342046556670084
HAPPY,KISS,0.6447850122221133
