source,target,weight
ZOO,ZOO,1.0
HAPPY,ZOO,0.15741395849322903
SMILE,ZOO,0.050266443641955316
OPEN,ZOO,0.07213336223384625
MAKE,ZOO,0.1005601519185444
KNOW,ZOO,0.13086138523429192
PLAY,ZOO,0.027150123167986928
HAVE,HAVE,1.0
HAND,HAVE,0.03471924015280914
HAPPY,HAVE,0.6390335050550904
GOOD,HAVE,0.2627465574990697
FOOD,HAVE,0.3984771792736066
FRIDGE,HAVE,0.010496657128588716
FRIEND,HAVE,0.056853806574685084
GARDEN,HAVE,0.10738744363604802
ARM,HAVE,0.05100690567754218
GIVE,HAVE,0.06938281500990828
FINISH,HAVE,0.38386015423603803
CALL,HAVE,0.1717026718887531
BOOK,HAVE,0.1579208534921226
BATH,HAVE,0.001726305782874693
BICYCLE,HAVE,0.1324452333012065
BIRD,HAVE,0.2009369491691786
BLOW,HAVE,0.010496657128588716
CAR,HAVE,0.30492744653518766
FAST,HAVE,0.30492744653518766
DRIVE,HAVE,0.18464928364444555
DOG,HAVE,0.24645889197433668
DRAW,HAVE,0.2527233961919486
EAT,HAVE,0.006320169513321705
EYE,HAVE,0.16919705196593915
DINNER,HAVE,0.08232942676560118
CLEAN,HAVE,0.1821436637216316
COAT,HAVE,0.08024118295796745
COFFEE,HAVE,0.06186550083088971
DANCE,HAVE,0.10738744363604802
HAVE,KNOW,0.6035347235570532
GREEN,KNOW,0.129886674546146
HAIR,KNOW,0.08944140670973577
HAMMER,KNOW,0.17276849189763244
HAND,KNOW,0.2526843168823074
HAPPY,KNOW,0.957796163229732
HARD,KNOW,0.16887010355562637
HAT,KNOW,0.04704717190761132
APPLE,KNOW,0.13086138523429192
GOOSE,KNOW,0.019758680718859445
HEAD,KNOW,0.46514375505815764
HEAR,KNOW,0.16058619873283053
HIT,KNOW,0.3676854097397455
HORSE,KNOW,0.4427283628995575
HOUSE,KNOW,0.19908227239823817
HUG,KNOW,0.36719805439567255
GOOD,KNOW,0.5187460267475155
FROG,KNOW,0.04704717190761132
FLOWER,KNOW,0.01244925937892094
FOOD,KNOW,0.6771158378899353
FOOT,KNOW,0.16350987638669068
FORK,KNOW,0.2020059500520981
FRIDGE,KNOW,0.224421569415987
FRIEND,KNOW,0.278510969244129
GARDEN,KNOW,0.3374732408971337
GENTLE,KNOW,0.009038226380987835
GIRAFFE,KNOW,0.033890168054663716
GIRL,KNOW,0.12306460855028045
ARM,KNOW,0.2716889032482632
GIVE,KNOW,0.29312958471871764
JACKET,KNOW,0.2010314665692412
JAM,KNOW,0.08310669605794274
JEANS,KNOW,0.15327677739289203
ALL,KNOW,0.09870002222067731
JUG,KNOW,0.22978156937963412
KEY,KNOW,0.43736813573062183
KICK,KNOW,0.24245121788850876
KISS,KNOW,0.49974144038155965
KITTEN,KNOW,0.05240739907654701
KNOW,KNOW,1.0
ANIMAL,KNOW,0.13086138523429192
FISH,KNOW,0.16058619873283053
FINISH,KNOW,0.6600606729002712
BOWL,KNOW,0.05240739907654701
BOY,KNOW,0.006114548727127689
BREAKFAST,KNOW,0.18105239672042805
BROTHER,KNOW,0.1094204765585487
