source,target,weight
AEROPLANE,AEROPLANE,1.0
AEROPLANE,MOON,0.8113699002000658
HOUSE,MOON,0.4001189186120728
GIVE,MOON,0.23277972619608178
GOOD,MOON,0.397504201087443
GRANDPA,MOON,0.20177719280753448
HAPPY,MOON,0.5192733301359704
HARD,MOON,0.3254137952867764
HEAR,MOON,0.27312035451428596
HELP,MOON,0.35006648234524396
HORSE,MOON,0.4255184858764134
HUG,MOON,0.38853963723273344
ALL,MOON,0.795308245921361
HURRY,MOON,0.20737997698772026
HURT,MOON,0.4255184858764134
KISS,MOON,0.3171962935819612
KNOW,MOON,0.4001189186120728
LION,MOON,0.4998500781267625
LORRY,MOON,0.6204986139504487
LOVE,MOON,0.9652621558619816
MAKE,MOON,0.2783497895635454
GIRAFFE,MOON,0.6686833948425419
GARDEN,MOON,0.35006648234524396
FRIEND,MOON,0.6063046150464793
FRIDGE,MOON,0.1913183227090154
BAD,MOON,0.3575371038441859
BEACH,MOON,0.6507540851891016
BEAR,MOON,0.6436571767091275
BED,MOON,0.21821219621716548
BOAT,MOON,0.39937185646217865
BROTHER,MOON,0.2555647578798137
BUS,MOON,0.4378448294056472
CAR,MOON,0.36127223264963626
CHURCH,MOON,0.6178838964258189
CLEAN,MOON,0.21821219621716548
DANCE,MOON,0.25108238498044844
DARK,MOON,0.5674581110280636
ELEPHANT,MOON,0.7404000876242405
FALL,MOON,0.23277972619608178
FAST,MOON,0.5047058001570541
FINISH,MOON,0.4285067344759903
FOOD,MOON,0.19878894420795779
MAN,MOON,0.35006648234524396
MEDICINE,MOON,0.5368289267704427
MONEY,MOON,0.4098305446166768
MOON,MOON,1.0
ANIMAL,MOON,0.20439172838814335
COW,MOON,0.1745097882244373
LIKE,MOON,0.16517169329478065
DOCTOR,MOON,0.163304037920045
KICK,MOON,0.14238666161104885
AUNT,MOON,0.13118091130665654
HAVE,MOON,0.13043384915676226
DONKEY,MOON,0.13043384915676226
GREEN,MOON,0.11997516100226413
COLD,MOON,0.10839587962292474
DRIVE,MOON,0.10839587962292474
CRY,MOON,0.08561084793919282
COOKER,MOON,0.07627275300953607
AWAY,MOON,0.07552569085964189
DIRTY,MOON,0.07552569085964189
CALL,MOON,0.07328450440995926
BLOW,MOON,0.07328450440995926
CUDDLE,MOON,0.06581406485503793
CAREFUL,MOON,0.06431994055524948
HIT,MOON,0.04452315747109448
BLOCK,MOON,0.042655502096359044
BICYCLE,MOON,0.0404143156466763
BATHROOM,MOON,0.03854666027194076
BREAK,MOON,0.018002815037891695
BATH,MOON,0.01501456643831478
BROKEN,MOON,0.01501456643831478
SOFA,MOON,0.012026499782758826
EAT,MOON,0.0015676296842397353
AEROPLANE,SKY,0.7966386206023222
HOUSE,SKY,0.38910257203345733
GIVE,SKY,0.22327497054326306
GOOD,SKY,0.38651150723154704
GRANDPA,SKY,0.19255244900291046
HAPPY,SKY,0.5071806027295971
HARD,SKY,0.3150722790817504
HEAR,SKY,0.26325116498756596
HELP,SKY,0.3395022666586125
HORSE,SKY,0.4142727078874189
HUG,SKY,0.37762790846614647
ALL,SKY,0.7807221576523107
HURRY,SKY,0.19810465274528055
HURT,SKY,0.4142727078874189
KISS,SKY,0.30692901053747
KNOW,SKY,0.38910257203345733
LION,SKY,0.48793274475655535
LORRY,SKY,0.6074916178389562
LOVE,SKY,0.9491408239444155
MAKE,SKY,0.26843329459138654
GIRAFFE,SKY,0.65524100668899
GARDEN,SKY,0.3395022666586125
FRIEND,SKY,0.5934258894697351
FRIDGE,SKY,0.1821881897952693
BAD,SKY,0.34690538692579387
BEACH,SKY,0.6374738091581886
