source,target,weight
ZOO,ZOO,1.0
BABY,ZOO,0.00941370558727328
MEOW,ZOO,0.18102641954345078
MOO,ZOO,0.19324275879079367
NO,ZOO,0.052074390346017685
PARTY,ZOO,0.040895924264358285
RADIO,ZOO,0.17423936645197236
BYE BYE,ZOO,0.049216725455724974
CALL,ZOO,0.13216027073781622
DOG,ZOO,0.026523667289100272
HEAR,ZOO,0.14709154999419005
QUACK,ZOO,0.15587477188268362
TV,ZOO,0.11275760504877885
TRAIN,ZOO,0.049216725455724974
YES,ZOO,0.052074390346017685
WOOF,ZOO,0.165755649064657
SING,ZOO,0.21156756459290627
HER,HER,1.0
BYE BYE,HER,0.01945928055178514
CALL,HER,0.10000362255939943
HEAR,HER,0.11450316399880678
HER,SING,0.1771140553919024
HOOVER,SING,0.1371233750693086
HORSE,SING,0.35806742988516493
BABY,SING,0.6640339435795282
KITTEN,SING,0.4309822262983165
LADY,SING,0.15503762413946887
LAMB,SING,0.21475244755355494
LION,SING,0.5969261296793125
MAN,SING,0.5013826101708403
ME,SING,0.6337232170623737
MEOW,SING,0.9492425980520924
MUMMY,SING,0.27924410052344983
MONKEY,SING,0.16129356647307413
MOO,SING,0.9695455588312556
MOTORCYCLE,SING,0.4670466856847737
MOUSE,SING,0.13452027910731434
NASTY,SING,0.1150548619794971
NO,SING,0.7349333696513058
OUTSIDE,SING,0.4737252599483299
ANIMAL,SING,0.41910913940063876
OWL,SING,0.6208120590449469
PARTY,SING,0.7163553805993534
PEOPLE,SING,0.53190356390561
PERSON,SING,0.5708688421686503
PHONE,SING,0.6060254842104911
PIG,SING,0.1371233750693086
PLAY,SING,0.36553188178895835
PLEASE,SING,0.17452362849010328
POLICE,SING,0.41910913940063876
PUPPY,SING,0.4010620631524937
HI,SING,0.4309822262983165
HELP,SING,0.20740280900778107
RADIO,SING,0.9379631753970019
HELLO,SING,0.5491544689021093
BROTHER,SING,0.28138141056920296
BUS,SING,0.3454959610442234
BYE BYE,SING,0.7301840557106085
CALL,SING,0.8680305569813747
BEAR,SING,0.3454959610442234
CAR,SING,0.3965502940904575
CAT,SING,0.4523537431233231
CHICKEN,SING,0.21726666214011714
CHILD,SING,0.346920834408059
CHURCH,SING,0.5431829865607005
COW,SING,0.1371233750693086
CRY,SING,0.5685616875346544
DADDY,SING,0.53190356390561
DOCTOR,SING,0.3102957691079615
DOG,SING,0.6924696491877846
DONKEY,SING,0.4822739062691459
DUCK,SING,0.36686747786923024
EAR,SING,0.14840279772439913
ELEPHANT,SING,0.38075910237333077
FIRE ENGINE,SING,0.5939403885086081
FRIEND,SING,0.26000969579013056
GIRL,SING,0.4416679847108198
GOOSE,SING,0.4523537431233231
GRANDMA,SING,0.5491544689021093
BABYSITTER,SING,0.23863817896512374
HAMMER,SING,0.4523537431233231
HAPPY,SING,0.3836595253417825
HEAR,SING,0.892845286822574
BIRD,SING,0.5147587622882459
QUACK,SING,0.907442221662232
BEE,SING,0.14840279772439913
SHOW,SING,0.29277940770955846
SAY,SING,0.6040918688981898
AEROPLANE,SING,0.28375586958548604
RAIN,SING,0.390910582762912
SING,SING,1.0
SHEEP,SING,0.4309822262983165
SAME,SING,0.10328490914997146
BAD,SING,0.09651725555691693
GOODNIGHT,SING,0.09532299867944838
GRANDPA,SING,0.08903736323601041
CLOCK,SING,0.06766564845693823
SCHOOL,SING,0.05816721852960893
GOOD,SING,0.04755133790224497
CLOSE,SING,0.04629413163193119
FALL,SING,0.03560837321942789
BEACH,SING,0.01304952790924685
BOY,SING,0.010229672245474108
HER,MOO,0.15931937057733503
HOOVER,MOO,0.11994393149047333
HORSE,MOO,0.337488917046755
BABY,MOO,0.6387482810163834
KITTEN,MOO,0.4092819077704295
LADY,MOO,0.1375826285013868
LAMB,MOO,0.19637854914318553
LION,MOO,0.5726727975680155
MAN,MOO,0.4785992849503242
ME,MOO,0.608903736323601
MEOW,MOO,0.9195688877178807
MUMMY,MOO,0.25987825429060485
MONKEY,MOO,0.14374216720506872
MOO,MOO,1.0
ANIMAL,MOO,0.39759153247525525
HI,MOO,0.4092819077704295
HELP,MOO,0.18914214032290677
HELLO,MOO,0.5256359422821373
BROTHER,MOO,0.261982506007411
BUS,MOO,0.3251108493278567
BYE BYE,MOO,0.7038805133424009
CALL,MOO,0.8396065306629856
BEAR,MOO,0.3251108493278567
CAR,MOO,0.3753797006419848
CAT,MOO,0.43032462289255635
CHICKEN,MOO,0.1988541626869651
CHILD,MOO,0.32651374979041603
CHURCH,MOO,0.5197563106271441
COW,MOO,0.11994393149047333
CRY,MOO,0.5447446461838317
DADDY,MOO,0.5086504936875418
DOCTOR,MOO,0.2904520617608768
DOG,MOO,0.6667463101857067
DONKEY,MOO,0.45978454283597303
DUCK,MOO,0.3461535644499836
EAR,MOO,0.13104974843007589
ELEPHANT,MOO,0.35983139856328905
FIRE ENGINE,MOO,0.569732981740519
FRIEND,MOO,0.24093979088528417
GIRL,MOO,0.4198033643085255
GOOSE,MOO,0.43032462289255635
GRANDMA,MOO,0.5256359422821373
BABYSITTER,MOO,0.21989707576315753
HAMMER,MOO,0.43032462289255635
HAPPY,MOO,0.36268728186699195
HEAR,MOO,0.8640394071117374
BIRD,MOO,0.49176956483955725
BEE,MOO,0.13104974843007589
AEROPLANE,MOO,0.2643205414756329
BAD,MOO,0.07996255500896043
GOODNIGHT,MOO,0.07878670785958808
GRANDPA,MOO,0.07259767400013883
CLOCK,MOO,0.0515549588780122
GOOD,MOO,0.03174985257370966
CLOSE,MOO,0.030512045801819765
FALL,MOO,0.01999078721778924
