source,target,weight
APPLE,APPLE,1.0
TEA (DRINK),APPLE,0.8547555313279492
APPLE,PASTA,0.9523329311658716
FOOD,PASTA,0.8795778485761571
BREAD,PASTA,0.8344194524163725
BREAKFAST,PASTA,0.8927489878721987
BUTTER,PASTA,0.8887766963856839
CAKE,PASTA,0.8411096275515552
CARROTS,PASTA,0.8252206046068459
CEREAL,PASTA,0.8822342416445387
CHEESE,PASTA,0.6961221323045627
CHICKEN,PASTA,0.7139973009925297
COFFEE,PASTA,0.8887766963856839
DINNER,PASTA,0.9495289607048022
DRINK,PASTA,0.9219991989064401
EAT,PASTA,0.8645250975233455
EGG,PASTA,0.7318724696804965
FISH,PASTA,0.7644683402877274
CHIPS,PASTA,0.9158816011746703
BANANA,PASTA,0.8494722034691843
ICE CREAM,PASTA,0.8728876734409742
JAM,PASTA,0.8645250975233455
JUICE,PASTA,0.9284993252481325
LAMB,PASTA,0.4111709222199931
LUNCH,PASTA,0.9364439082211619
MEAT,PASTA,0.8946305996289688
MEDICINE,PASTA,0.6853970310917826
MILK,PASTA,0.9046657193303934
PASTA,PASTA,1.0
TEA (DRINK),PASTA,0.8990579214096045
BISCUIT,PASTA,0.8728876734409742
FEED,PASTA,0.27658134109811594
DUCK,PASTA,0.21725580124299637
ME,PASTA,0.1961004676001128
NASTY,PASTA,0.19173149037007464
KISS,PASTA,0.18965897181171698
MOUTH,PASTA,0.14199190297758846
GOOD,PASTA,0.10834454344745648
HOT,PASTA,0.0746971839173246
IT,PASTA,0.07049122822572074
HUNGRY,PASTA,0.0433505730993583
GOOSE,PASTA,0.036622502606557084
APPLE,PIZZA,0.9523329311658716
FOOD,PIZZA,0.8795778485761571
BREAD,PIZZA,0.8344194524163725
BREAKFAST,PIZZA,0.8927489878721987
BUTTER,PIZZA,0.8887766963856839
CAKE,PIZZA,0.8411096275515552
CARROTS,PIZZA,0.8252206046068459
CEREAL,PIZZA,0.8822342416445387
CHEESE,PIZZA,0.6961221323045627
CHICKEN,PIZZA,0.7139973009925297
COFFEE,PIZZA,0.8887766963856839
DINNER,PIZZA,0.9495289607048022
DRINK,PIZZA,0.9219991989064401
EAT,PIZZA,0.8645250975233455
EGG,PIZZA,0.7318724696804965
FISH,PIZZA,0.7644683402877274
CHIPS,PIZZA,0.9158816011746703
BANANA,PIZZA,0.8494722034691843
ICE CREAM,PIZZA,0.8728876734409742
JAM,PIZZA,0.8645250975233455
JUICE,PIZZA,0.9284993252481325
LAMB,PIZZA,0.4111709222199931
LUNCH,PIZZA,0.9364439082211619
MEAT,PIZZA,0.8946305996289688
MEDICINE,PIZZA,0.6853970310917826
MILK,PIZZA,0.9046657193303934
PASTA,PIZZA,1.0
PIZZA,PIZZA,1.0
TEA (DRINK),PIZZA,0.8990579214096045
BISCUIT,PIZZA,0.8728876734409742
FEED,PIZZA,0.27658134109811594
DUCK,PIZZA,0.21725580124299637
ME,PIZZA,0.1961004676001128
NASTY,PIZZA,0.19173149037007464
KISS,PIZZA,0.18965897181171698
MOUTH,PIZZA,0.14199190297758846
PIG,PIZZA,0.12411673428962144
GOOD,PIZZA,0.10834454344745648
HOT,PIZZA,0.0746971839173246
IT,PIZZA,0.07049122822572074
HUNGRY,PIZZA,0.0433505730993583
GOOSE,PIZZA,0.036622502606557084
APPLE,DINNER,0.9035441597462356
BREAD,DINNER,0.7897924492713438
BREAKFAST,DINNER,0.8460631942983646
