source,target,weight
BUMP,BUMP,1.0
BABY,BUMP,0.171194994440391
BROOM,BUMP,0.0382489677051141
ARM,BUMP,0.12697804283393843
BLANKET,BUMP,0.21624979736410754
BASKET,BUMP,0.30495156474629503
BATH,BUMP,0.21624979736410754
BOWL,BUMP,0.23775315832708777
BED,BUMP,0.32376709868349374
BUMP,PILLOW,0.5122384631597396
BABY,PILLOW,0.5755641346013727
NOSE,PILLOW,0.0670956299909562
CATCH,PILLOW,0.22234240389100646
JEANS,PILLOW,0.4383583476430064
FINGER,PILLOW,0.604874283823313
HIT,PILLOW,0.0683063561759325
CHAIR,PILLOW,0.42423428457799983
FRIDGE,PILLOW,0.29024584667792563
OUCH,PILLOW,0.604874283823313
HEAD,PILLOW,0.042882844057126945
MAKE,PILLOW,0.0711312184393822
BROOM,PILLOW,0.41011022151299303
SOFA,PILLOW,0.31049801634045915
ARM,PILLOW,0.5205350530924657
FLOWER,PILLOW,0.21237234559393237
ICE CREAM,PILLOW,0.09937934456939557
MEAT,PILLOW,0.016121500605363215
BUTTON,PILLOW,0.4877928166227714
HOT,PILLOW,0.6111712019455031
APPLE,PILLOW,0.18412421946391921
GENTLE,PILLOW,0.1766903060726719
CARRY,PILLOW,0.0670956299909562
JACKET,PILLOW,0.4915314953895835
EAR,PILLOW,0.0711312184393822
CUDDLE,PILLOW,0.7654433375428638
DUMMY,PILLOW,0.17000015639891264
CUT,PILLOW,0.2716937083696507
HORSE,PILLOW,0.2522523305299862
CAT,PILLOW,0.3640209514962287
BICYCLE,PILLOW,0.17000015639891264
ME,PILLOW,0.5238665981821482
RABBIT,PILLOW,0.14457664428010708
GLASS,PILLOW,0.23021348948068376
MUG,PILLOW,0.0964060274651386
BLANKET,PILLOW,0.6316358755273188
JUMPER,PILLOW,0.604874283823313
BISCUIT,PILLOW,0.18412421946391921
BREAD,PILLOW,0.0964060274651386
TROUSERS,PILLOW,0.1954234202654761
PERSON,PILLOW,0.042882844057126945
DOLL,PILLOW,0.0727927706961069
COLD,PILLOW,0.604874283823313
BASKET,PILLOW,0.7420269448018586
DISH,PILLOW,0.3818618471307378
HAND,PILLOW,0.3733875085926308
BOOTS,PILLOW,0.22234240389100646
BOX,PILLOW,0.2569748329324473
FORK,PILLOW,0.3818618471307378
PENNY,PILLOW,0.10270269733508663
HARD,PILLOW,0.831008988965436
BATH,PILLOW,0.6316358755273188
PAPER,PILLOW,0.6583974672313246
BATH (FURNITURE),PILLOW,0.21237234559393237
KITTEN,PILLOW,0.5513513486675432
KNEE,PILLOW,0.34796399647382525
BOWL,PILLOW,0.6583974672313246
HAMMER,PILLOW,0.31049801634045915
COAT,PILLOW,0.5513513486675432
PEN,PILLOW,0.7119204023870944
DOG,PILLOW,0.46162156875060356
KISS,PILLOW,0.46660672202526166
KICK,PILLOW,0.31049801634045915
BROKEN,PILLOW,0.1924324772520265
CHEEK,PILLOW,0.016121500605363215
LOVE,PILLOW,0.042882844057126945
KEY,PILLOW,0.371892037085906
HAT,PILLOW,0.0727927706961069
FOOD,PILLOW,0.33725935979222266
BALLOON,PILLOW,0.12762771895165081
PILLOW,PILLOW,1.0
