source,target,weight
AEROPLANE,AEROPLANE,1.0
AEROPLANE,EYE,0.20020365525791117
ANIMAL,EYE,0.31128652664887513
EYE,EYE,1.0
EAR,EYE,0.38639963187295345
DRIVE,EYE,0.661461823282554
DOG,EYE,0.08795165945284755
BAD,EYE,0.228266757106943
BEACH,EYE,0.15810920827989516
BED,EYE,0.4287169554115171
BIG,EYE,0.15577054786063216
BIRD,EYE,0.27796164465203277
BLUE,EYE,0.2841330410487999
BOOK,EYE,0.5960624729378876
BROTHER,EYE,0.15810920827989516
RABBIT,EYE,0.25165253811744837
CALL,EYE,0.29842430593399083
CAR,EYE,0.321810086944496
CHEEK,EYE,0.18149498929040053
CHURCH,EYE,0.5790545012421817
CLOCK,EYE,0.08520037899305066
CLOSE,EYE,0.1113374404633527
COLD,EYE,0.228266757106943
CRY,EYE,0.7111846990199193
DARK,EYE,0.3940937094068315
DIRTY,EYE,0.08795165945284755
DOCTOR,EYE,0.1113374404633527
ASLEEP,EYE,0.6079430489678119
BATH,EYE,0.06690433306607368
BEDROOM,EYE,0.04468788226519971
CAT,EYE,0.04117989163630509
CAREFUL,EYE,0.017794110625799497
BOY,EYE,0.017794110625799497
AEROPLANE,SEE,0.16139679189461953
HEAR,SEE,0.8005367970642032
FACE,SEE,0.7642735664694871
FIRE ENGINE,SEE,0.13268852105452944
FLOWER,SEE,0.3767099550707196
GLASSES,SEE,0.5704917607701034
GOOD,SEE,0.18292814937133595
GREEN,SEE,0.18292814937133595
HAIR,SEE,0.5264039782745773
HAPPY,SEE,0.30191706769355897
HAT,SEE,0.6350858332002522
HEAD,SEE,0.7778723293913885
HELP,SEE,0.23931962350942304
ANIMAL,SEE,0.26905337348266967
HER,SEE,0.09680292526000223
HOT,SEE,0.23392345887958332
HOUSE,SEE,0.25982570764851465
KNOW,SEE,0.6084279032398803
LADY,SEE,0.1259334885306036
LIKE,SEE,0.41523961185316427
LOOK,SEE,0.7427422089927709
LOVE,SEE,0.3623557167529088
MAN,SEE,0.22725733002523896
ME,SEE,0.5058978941354859
EYE,SEE,0.9365240146921545
EAR,SEE,0.3418498384093489
DRIVE,SEE,0.6084279032398803
DOG,SEE,0.052607100110471094
BAD,SEE,0.1885943177384224
BEACH,SEE,0.12060070892444696
BED,SEE,0.38286180089200017
BIG,SEE,0.11833428273671842
BIRD,SEE,0.2367564401653608
BLUE,SEE,0.24273747569554782
BOOK,SEE,0.5450457606943706
BROTHER,SEE,0.12060070892444696
RABBIT,SEE,0.2112587854112371
CALL,SEE,0.25658792655239826
CAR,SEE,0.279252394225213
CHEEK,SEE,0.14326517659726168
CHURCH,SEE,0.5285623618083009
CLOCK,SEE,0.049940607409626914
CLOSE,SEE,0.07527156778328581
COLD,SEE,0.1885943177384224
CRY,SEE,0.6566169848814372
DARK,SEE,0.34930642789994715
DIRTY,SEE,0.052607100110471094
DOCTOR,SEE,0.07527156778328581
MEDICINE,SEE,0.07527156778328581
MINE,SEE,0.052607100110471094
MUMMY,SEE,0.3472460030391884
RADIO,SEE,0.7109579123442744
READ,SEE,0.7642735664694871
RED,SEE,0.25258829039889763
SAD,SEE,0.5674159407572288
SCARED,SEE,0.44437984751374304
SCHOOL,SEE,0.07527156778328581
SEE,SEE,1.0
RAIN,SEE,0.3245815353663737
PUPPY,SEE,0.22599086432476856
MOON,SEE,0.19271516745993988
PRETTY,SEE,0.11833428273671842
MORNING,SEE,0.14326517659726168
MOTORCYCLE,SEE,0.07527156778328581
NASTY,SEE,0.12060070892444696
NIGHT,SEE,0.4843665366587697
NO,SEE,0.3336474459128185
NOSE,SEE,0.5965559706222763
OLD,SEE,0.40802833063603994
OUCH,SEE,0.12060070892444696
OUTSIDE,SEE,0.3032502111462152
OWL,SEE,0.17096628410649362
