source,target,weight
ZOO,ZOO,1.0
SCISSORS,SCISSORS,1.0
CUT,CUT,1.0
FINGER,FINGER,1.0
FIND,FIND,1.0
FEED,FEED,1.0
FAST,FAST,1.0
DADDY,DADDY,1.0
SEE,SEE,1.0
DANCE,SEE,0.3876207762471706
OUTSIDE,SEE,0.3263827963422665
FALL,SEE,0.030399802098105333
NOSE,SEE,0.11350824255638603
SCRATCH,SEE,0.11024918955147012
CUP,SEE,0.4182397661996218
PEN,SEE,0.08143145201885815
ANIMAL,SEE,0.48288004786464445
KITTEN,SEE,0.14266943192376136
BATH,SEE,0.020193472113954947
KNEE,SEE,0.1273596492994331
PENGUIN,SEE,0.36006351270110226
FLOWER,SEE,0.15967979013194444
LAMB,SEE,0.17869160383952654
LAMP,SEE,0.657787928559717
FISH,SEE,0.3840188467036967
PRETTY,SEE,1.0
BOX,SEE,0.2651448164373633
PERSON,SEE,0.3653527860157002
EYE,SEE,0.5475197542334609
RED,SEE,0.48288004786464445
BALLOON,SEE,0.09503950846692177
LOOK,SEE,0.09503950846692177
DIRTY,SEE,0.1273596492994331
BOOK,SEE,0.4182397661996218
PICTURE,SEE,0.5713347159618811
ELEPHANT,SEE,0.24371158100026769
PUPPY,SEE,0.4764160196981422
DOG,SEE,0.5209030999836042
ROCKING CHAIR,SEE,0.17869160383952654
LION,SEE,0.7946727571358307
DARK,SEE,0.6325726958667843
BASKET,SEE,0.5636798246497161
BOWL,SEE,0.4488587561520738
PEOPLE,SEE,0.030399802098105333
PENNY,SEE,0.3840188467036967
DAY,SEE,0.08143145201885815
BOTTLE,SEE,0.0418067752634137
LIVING ROOM,SEE,0.4182397661996218
FACE,SEE,0.9418237465014796
DEER,SEE,0.2651448164373633
POOL,SEE,0.17869160383952654
BATHROOM,SEE,0.6509436296012909
HORSE,SEE,0.5893455142716606
BEACH,SEE,0.3535994845346
PARTY,SEE,0.657787928559717
GRANDMA,SEE,0.11024918955147012
CHAIR,SEE,0.24371158100026769
BUTTERFLY,SEE,0.49096008307277206
HOUSE,SEE,0.8545599415499057
GLASSES,SEE,0.4764160196981422
BEDROOM,SEE,0.4524612609917531
HER,SEE,0.11854496083671151
HAT,SEE,0.3840188467036967
HAND,SEE,0.1273596492994331
BEAR,SEE,0.2039068365324601
HAIR,SEE,0.28895977816578355
CAR,SEE,0.28895977816578355
PAPER,SEE,0.2039068365324601
GREEN,SEE,0.3876207762471706
CAT,SEE,0.7550480803803854
HEAD,SEE,0.3876207762471706
GLASS,SEE,0.08143145201885815
BROKEN,SEE,0.3840188467036967
BEE,SEE,0.4182397661996218
BROOM,SEE,0.030399802098105333
OWL,SEE,0.5893455142716606
CLOCK,SEE,0.2039068365324601
KEY,SEE,0.17869160383952654
BABY,SEE,0.27972569876915365
FRIDGE,SEE,0.18239133373795813
KITCHEN,SEE,0.3535994845346
JEANS,SEE,0.22431949650076088
GIRL,SEE,0.4182397661996218
GIRAFFE,SEE,0.09503950846692177
CHILD,SEE,0.0691833958009127
CHURCH,SEE,0.1273596492994331
BUS,SEE,0.14266943192376136
POLICE,SEE,0.28895977816578355
CLEAN,SEE,0.6364001415228664
RABBIT,SEE,0.5345916979004564
READ,SEE,0.4182397661996218
HAMMER,SEE,0.08143145201885815
MOON,SEE,0.7414400239323227
DUCK,SEE,0.3263827963422665
MONEY,SEE,0.22431949650076088
PURSE,SEE,0.5475197542334609
MOTORCYCLE,SEE,0.054639907722489056
NIGHT,SEE,0.7091198830998113
PLANT,SEE,0.17702209425077697
DOOR,SEE,0.5893455142716606
BLUE,SEE,0.36006351270110226
DONKEY,SEE,0.4182397661996218
BISCUIT,SEE,0.09503950846692177
AEROPLANE,SEE,0.030399802098105333
PILLOW,SEE,0.657787928559717
PLATE,SEE,0.36006351270110226
SEE,SHIRT,0.7672961365983308
DANCE,SHIRT,0.17968686627527308
OUTSIDE,SHIRT,0.12092611183182989
CUP,SHIRT,0.20906781879320135
ANIMAL,SHIRT,0.2710928039074121
PENGUIN,SHIRT,0.15324452677572342
LAMP,SHIRT,0.43892626716180505
FISH,SHIRT,0.17623048667182495
PRETTY,SHIRT,0.7672961365983308
BOX,SHIRT,0.06216535738838491
PERSON,SHIRT,0.15831978990182627
EYE,SHIRT,0.33311836431782815
RED,SHIRT,0.2710928039074121
BOOK,SHIRT,0.20906781879320135
PICTURE,SHIRT,0.35596970490181157
ELEPHANT,SHIRT,0.041599093333180015
PUPPY,SHIRT,0.26489053551447306
DOG,SHIRT,0.3075786645649172
LION,SHIRT,0.570273869758692
DARK,SHIRT,0.41473045934525565
BASKET,SHIRT,0.3486248982444833
BOWL,SHIRT,0.2384481960149234
PENNY,SHIRT,0.17623048667182495
LIVING ROOM,SHIRT,0.20906781879320135
FACE,SHIRT,0.7114728445808538
DEER,SHIRT,0.06216535738838491
BATHROOM,SHIRT,0.43235868567828817
SHIRT,SHIRT,1.0
HORSE,SHIRT,0.37325217821525847
BEACH,SHIRT,0.14704225838278528
PARTY,SHIRT,0.43892626716180505
CHAIR,SHIRT,0.041599093333180015
BUTTERFLY,SHIRT,0.2788460708707392
HOUSE,SHIRT,0.627739057147048
