source,target,weight
LAMB,SHEEP,1.0
SHEEP,LAMB,1.0
DISH,PLATE,0.9019337016574587
PLATE,DISH,0.9019337016574587
GOOSE,CHICKEN,0.87707182320442
CHICKEN,GOOSE,0.87707182320442
DISH,BOWL,0.8743093922651934
BOWL,DISH,0.8743093922651934
DUCK,GOOSE,0.8383977900552487
GOOSE,DUCK,0.8383977900552487
BOOTS,SHOES,0.8301104972375691
SHOES,BOOTS,0.8301104972375691
LION,TIGER,0.8121546961325967
TIGER,LION,0.8121546961325967
CAT,DOG,0.8052486187845305
DOG,CAT,0.8052486187845305
HORSE,PONY,0.7831491712707183
PONY,HORSE,0.7831491712707183
COW,SHEEP,0.7734806629834254
SHEEP,COW,0.7734806629834254
BUS,CAR,0.7513812154696132
CAR,BUS,0.7513812154696132
DOG,DONKEY,0.7320441988950276
DONKEY,DOG,0.7320441988950276
SPOON,FORK,0.7279005524861879
FORK,SPOON,0.7279005524861879
SHIRT,COAT,0.7182320441988951
COAT,SHIRT,0.7182320441988951
BOWL,PLATE,0.7113259668508288
PLATE,BOWL,0.7113259668508288
GOOSE,OWL,0.7085635359116023
OWL,GOOSE,0.7085635359116023
DONKEY,HORSE,0.6892265193370166
HORSE,DONKEY,0.6892265193370166
DEER,DONKEY,0.6795580110497238
DONKEY,DEER,0.6795580110497238
SQUIRREL,CAT,0.6657458563535912
CAT,SQUIRREL,0.6657458563535912
PONY,DONKEY,0.6616022099447514
DONKEY,PONY,0.6616022099447514
PENGUIN,GOOSE,0.6477900552486188
SQUIRREL,PONY,0.6477900552486188
PONY,SQUIRREL,0.6477900552486188
GOOSE,PENGUIN,0.6477900552486188
CHICKEN,TURKEY,0.6381215469613261
TURKEY,CHICKEN,0.6381215469613261
CHICKEN,DUCK,0.6367403314917127
DUCK,CHICKEN,0.6367403314917127
SQUIRREL,MOUSE,0.6353591160220995
MOUSE,SQUIRREL,0.6353591160220995
LION,BEAR,0.6243093922651934
BEAR,LION,0.6243093922651934
DONKEY,SQUIRREL,0.6077348066298343
SQUIRREL,DONKEY,0.6077348066298343
GOOSE,TURKEY,0.6022099447513813
TURKEY,GOOSE,0.6022099447513813
PIG,DONKEY,0.600828729281768
DONKEY,PIG,0.600828729281768
ELEPHANT,LION,0.5980662983425415
LION,ELEPHANT,0.5980662983425415
HORSE,ELEPHANT,0.5911602209944752
ELEPHANT,HORSE,0.5911602209944752
DONKEY,ELEPHANT,0.589779005524862
ELEPHANT,DONKEY,0.589779005524862
COW,DONKEY,0.5870165745856354
DONKEY,COW,0.5870165745856354
COW,BEAR,0.585635359116022
BEAR,COW,0.585635359116022
APPLE,BANANA,0.5842541436464089
BANANA,APPLE,0.5842541436464089
CAT,DONKEY,0.5814917127071824
DONKEY,CAT,0.5814917127071824
BEAR,CAT,0.5801104972375691
CAT,BEAR,0.5801104972375691
PONY,MOUSE,0.5759668508287293
MOUSE,PONY,0.5759668508287293
DONKEY,SHEEP,0.5732044198895028
SHEEP,DONKEY,0.5732044198895028
COW,HORSE,0.5718232044198895
HORSE,COW,0.5718232044198895
TURTLE,FROG,0.5704419889502763
FROG,TURTLE,0.5704419889502763
SQUIRREL,DEER,0.5676795580110497
DEER,SQUIRREL,0.5676795580110497
CHAIR,TABLE,0.5607734806629835
TABLE,CHAIR,0.5607734806629835
DEER,DOG,0.5566298342541438
DOG,DEER,0.5566298342541438
COW,ELEPHANT,0.5469613259668509
ELEPHANT,COW,0.5469613259668509
COAT,JACKET,0.5441988950276243
JACKET,COAT,0.5441988950276243
PIG,PONY,0.5290055248618786
CAT,DEER,0.5290055248618786
DEER,CAT,0.5290055248618786
PONY,PIG,0.5290055248618786
SQUIRREL,COW,0.526243093922652
COW,SQUIRREL,0.526243093922652
BEAR,TIGER,0.5179558011049724
TIGER,BEAR,0.5179558011049724
LION,HORSE,0.5179558011049724
HORSE,LION,0.5179558011049724
DOG,SQUIRREL,0.5138121546961326
SQUIRREL,DOG,0.5138121546961326
SQUIRREL,HORSE,0.5124309392265194
HORSE,SQUIRREL,0.5124309392265194
PENGUIN,DUCK,0.5110497237569062
DUCK,PENGUIN,0.5110497237569062
ELEPHANT,BEAR,0.5110497237569062
BEAR,ELEPHANT,0.5110497237569062
CHICKEN,OWL,0.5082872928176796
OWL,CHICKEN,0.5082872928176796
PENGUIN,CHICKEN,0.5027624309392265
CHICKEN,PENGUIN,0.5027624309392265
JACKET,SHIRT,0.4986187845303867
SHIRT,JACKET,0.4986187845303867
CAT,MOUSE,0.4944751381215469
MOUSE,CAT,0.4944751381215469
LAMB,COW,0.4930939226519337
COW,CAT,0.4930939226519337
CAT,COW,0.4930939226519337
COW,LAMB,0.4930939226519337
PILLOW,BED,0.4903314917127071
BED,PILLOW,0.4903314917127071
JACKET,JEANS,0.48204419889502764
JEANS,JACKET,0.48204419889502764
PIG,SQUIRREL,0.4792817679558011
SQUIRREL,PIG,0.4792817679558011
DEER,BEAR,0.47237569060773477
BEAR,DEER,0.47237569060773477
CAT,PONY,0.46961325966850825
PONY,CAT,0.46961325966850825
HORSE,DEER,0.4668508287292818
DEER,HORSE,0.4668508287292818
DOG,PONY,0.46408839779005523
PONY,DOG,0.46408839779005523
SHIRT,TROUSERS,0.46270718232044195
TROUSERS,SHIRT,0.46270718232044195
