source,target,weight
MOO,COW,1.0
IN,OUT,0.9791666666666666
OFF,ON,0.9343750000000001
SCISSORS,CUT,0.915625
ON,OFF,0.9145833333333334
TROUSERS,TROUSERS,0.8812500000000001
UP,DOWN,0.8802083333333334
COT,BABY,0.8770833333333334
MEOW,CAT,0.8739583333333335
YES,NO,0.8645833333333334
DAY,NIGHT,0.8531250000000001
QUACK,DUCK,0.8520833333333333
OUT,IN,0.8375000000000001
KITTEN,CAT,0.8218750000000001
NO,YES,0.7927083333333332
GOOD,BAD,0.7895833333333334
TABLE,CHAIR,0.7875
PUPPY,DOG,0.7833333333333334
PONY,HORSE,0.7833333333333334
BAD,GOOD,0.78125
BROTHER,SISTER,0.7770833333333333
AUNT,UNCLE,0.7770833333333333
GIRL,BOY,0.76875
RABBIT,RABBIT,0.765625
NAP,SLEEP,0.7604166666666667
OPEN,CLOSE,0.753125
UNCLE,AUNT,0.7354166666666667
YOU,ME,0.7302083333333333
BOY,GIRL,0.7302083333333333
NIGHT,DAY,0.7145833333333333
LOOK,SEE,0.7062499999999999
HOT,COLD,0.7041666666666666
ARM,LEG,0.7010416666666667
DOG,CAT,0.6947916666666668
SLEEPY,TIRED,0.6875000000000001
I,ME,0.6802083333333334
ZOO,ANIMAL,0.6760416666666668
BED,SLEEP,0.6645833333333334
SAD,HAPPY,0.6604166666666668
HAPPY,SAD,0.6541666666666667
SOCK,SHOES,0.6427083333333333
STOP,GO,0.640625
SPOON,FORK,0.6395833333333334
SPLASH,WATER,0.6385416666666667
TOE,FOOT,0.6302083333333334
PULL,PUSH,0.61875
NAPPY,BABY,0.615625
INSIDE,OUTSIDE,0.6114583333333334
DOWN,UP,0.6052083333333333
NOW,LATER,0.6000000000000001
JACKET,COAT,0.5875
HARD,SOFT,0.5875
GRANDPA,GRANDMA,0.5760416666666667
MOUSE,CAT,0.5656249999999999
GO,STOP,0.5614583333333334
GRANDMA,GRANDPA,0.5604166666666667
SISTER,BROTHER,0.5604166666666667
CLEAN,DIRTY,0.5489583333333334
TOMORROW,TODAY,0.5489583333333334
SKY,BLUE,0.5437500000000001
GARAGE,CAR,0.540625
CAT,DOG,0.534375
SOFT,HARD,0.5302083333333334
SOFA,SOFA,0.5281250000000001
TODAY,TOMORROW,0.5239583333333334
LEG,ARM,0.5239583333333334
ME,YOU,0.5208333333333334
OUTSIDE,INSIDE,0.5177083333333334
RUN,WALK,0.5135416666666667
BREAD,BUTTER,0.5072916666666667
DRIVE,CAR,0.5
TIRED,SLEEP,0.49895833333333334
BREAKFAST,LUNCH,0.49270833333333336
WALK,RUN,0.48437500000000006
JAM,JAM,0.471875
CLOSE,OPEN,0.4666666666666667
GIVE,TAKE,0.4625
COFFEE,TEA (DRINK),0.4604166666666667
FORK,SPOON,0.45937500000000003
ZIP,TROUSERS,0.45208333333333334
BOOK,READ,0.44270833333333337
FRIDGE,FOOD,0.4416666666666667
BOOTS,SHOES,0.4375
COLD,HOT,0.43020833333333336
TAKE,GIVE,0.42916666666666675
HOW,WHY,0.42916666666666675
HUG,KISS,0.4281250000000001
