word,UID,ProbOfUnderstanding,ProbOfSaying
AEROPLANE,49709,1,0
AGAIN,49502,1,0
ALL,49500,1,0
ALL GONE,49350,1,0
ANIMAL,49639,1,0
ANOTHER,49504,1,0
APPLE,49329,1,0
ARM,49387,1,0
ASLEEP,49352,1,0
AUNT,49582,0,0
AWAY,49478,1,0
BAA BAA,49615,1,1
BABY,49583,1,0
BABYSITTER,49599,1,0
BACK (PLACE),49480,1,0
BAD,49354,1,0
BALL,49729,1,0
BALLOON,49731,1,0
BANANA,49331,1,0
BASKET,49543,1,0
BATH,49603,1,0
BATH (FURNITURE),49465,1,0
BATHROOM,49467,1,0
BEACH,49511,1,0
BEAR,49641,1,0
BED,49469,1,0
BEDROOM,49471,1,0
BEE,49643,1,0
BELLY BUTTON,49389,1,0
BIB,49427,1,0
BICYCLE,49711,1,0
BIG,49356,1,0
BIRD,49645,1,0
BISCUIT,49333,1,0
BITE,49632,1,0
BLANKET,49544,1,0
BLOCK,49733,1,0
BLOW,49634,1,0
BLUE,49358,1,0
BOAT,49713,1,0
BOOK,49735,1,0
BOOTS,49429,1,0
BOTTLE,49545,1,0
BOWL,49546,1,0
BOX,49547,1,0
BOY,49584,1,0
BREAD,49335,1,0
BREAK,49636,1,0
BREAKFAST,49604,1,0
BRING,49638,1,0
BROKEN,49360,1,0
BROOM,49548,1,0
BROTHER,49585,0,0
BRUSH (OBJECT),49549,1,0
BUBBLES,49737,1,0
BUCKET,49513,1,0
BUMP,49640,0,0
BUS,49719,1,0
BUTTER,49337,1,0
BUTTERFLY,49649,1,0
BUTTON,49431,1,0
BYE BYE,49605,1,0
CAKE,49339,1,0
CALL,49642,1,0
CAR,49721,1,0
CAREFUL,49362,1,0
CARROTS,49341,1,0
CARRY,49644,1,0
CAT,49651,1,0
CATCH,49646,1,0
CEREAL,49343,1,0
CHAIR,49473,1,0
CHASE,49518,1,0
CHEEK,49391,1,0
CHEESE,49345,1,0
CHICKEN,49347,1,0
CHICKEN (ANIMAL),49653,1,0
CHILD,49586,1,0
CHIPS,49349,1,0
CHOO CHOO,49617,1,0
CHURCH,49515,1,0
CLEAN,49364,1,0
CLEAN (ACTION),49648,1,0
CLOCK,49550,1,0
CLOSE,49734,1,0
COAT,49433,1,0
COCKADOODLEDOO,49619,1,0
COFFEE,49351,1,0
COLD,49366,1,0
COMB (OBJECT),49551,1,0
COOKER,49475,1,0
COT,49477,1,0
COW,49655,1,0
CRY,49650,1,0
CUDDLE,49652,1,0
CUP,49552,1,0
CUT,49654,1,0
DADDY,49587,1,0
DANCE,49656,1,0
DARK,49368,1,0
DAY,49440,1,0
DEER,49657,1,0
DINNER,49606,1,0
DIRTY,49370,1,0
DISH,49553,1,0
DOCTOR,49588,0,0
DOG,49659,1,0
DOLL,49739,1,0
DON'T,49607,1,0
DONKEY,49661,1,0
DOOR,49479,1,0
DOWN,49482,1,0
DRAW,49658,1,0
DRAWER,49481,1,0
DRESS (OBJECT),49435,1,0
DRINK,49353,1,0
DRINK (ACTION),49660,1,0
DRIVE,49662,1,0
DROP,49664,1,0
DRY (DESCRIPTION),49372,1,0
DUCK,49663,1,0
DUMMY,49554,1,0
EAR,49393,1,0
EAT,49666,1,0
EGG,49355,1,0
ELEPHANT,49665,1,0
EMPTY,49374,1,0
EYE,49395,1,0
FACE,49397,1,0
FALL,49668,1,0
FAST,49376,1,0
FEED,49670,1,0
FIND,49672,1,0
FINE,49378,1,0
FINGER,49399,1,0
FINISH,49674,1,0
FIRE ENGINE,49723,1,0
FISH,49667,1,0
FISH (FOOD),49357,1,0
FLOWER,49517,1,0
FOOD,49359,1,0
FOOT,49401,1,0
FORK,49555,1,0
FRIDGE,49495,1,0
FRIEND,49589,1,0
FROG,49669,1,0
GARAGE,49483,1,0
GARDEN,49519,1,0
GENTLE,49380,1,0
GET,49676,1,0
GIRAFFE,49671,1,0
GIRL,49593,1,0
GIVE,49678,1,0
GLASS,49556,1,0
GLASSES,49437,1,0
GO,49680,1,0
GOOD,49382,1,0
GOODNIGHT,49612,1,0
GOOSE,49673,1,0
GRANDMA,49594,1,0
GRANDPA,49595,1,0
GREEN,49384,1,0
GRR,49621,1,0
HAIR,49407,1,0
HAMMER,49557,0,0
HAND,49409,1,0
HAPPY,49386,1,0
HARD,49388,1,0
HAT,49439,1,0
HAVE,49682,1,0
HEAD,49411,1,0
HEAR,49684,1,0
HELLO,49608,1,0
HELP,49686,1,0
HER,49456,1,0
HI,49609,1,0
HIGH CHAIR,49485,1,0
HIS,49458,1,0
HIT,49688,1,0
HOOVER,49558,1,0
HORSE,49675,1,0
HOT,49390,1,0
HOUSE,49521,1,0
HOW,49428,1,0
HUG,49690,1,0
HUNGRY,49392,1,0
HURRY,49692,1,0
HURT,49394,1,0
I,49460,1,0
ICE CREAM,49361,1,0
IN,49484,1,0
INSIDE,49486,1,0
IT,49462,1,0
JACKET,49441,1,0
JAM,49363,1,0
JEANS,49443,1,0
JUG,49559,1,0
JUICE,49365,1,0
JUMP,49694,1,0
JUMPER,49445,1,0
KEY,49560,1,0
KICK,49696,1,0
KISS,49698,1,0
KITCHEN,49487,1,0
KITTEN,49677,1,0
KNEE,49413,1,0
KNOW,49700,1,0
LADY,49596,1,0
LAMB,49679,1,0
LAMP,49561,1,0
LATER,49442,1,0
LEG,49415,1,0
LIGHT (OBJECT),49562,1,0
LIKE,49702,1,0
LION,49681,1,0
LITTLE (DESCRIPTION),49396,1,0
LIVING ROOM,49489,1,0
LOOK,49704,1,0
LORRY,49715,1,0
LOVE,49706,1,0
LUNCH,49610,1,0
